Produto;Descricao;Categoria;EstoqueAtual;CustoUnitario
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;36,0;4242,13
PC000002;BOMBA INJETORA LEVE PARALELA B;MOTOR;43,0;4752,68
PC000003;TAMBOR DE FREIO REFORCADO ORIGINAL;FREIOS;22,0;300,79
PC000004;ROLAMENTO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;20,0;8285,64
PC000005;PINO REI REFORCADO PARALELA A;ARTICULACAO_5RODA;108,0;2141,14
PC000006;PARA-LAMA LEVE ORIGINAL;CARROCERIA;0,0;813,97
PC000007;VALVULA DE ADMISSAO REFORCADO PARALELA B;MOTOR;7,0;5705,8
PC000008;PNEU RADIAL 295/80 PESADO ORIGINAL;RODAS_PNEUS;17,0;80,57
PC000009;MACANETA DE PORTA PESADO PARALELA A;CARROCERIA;26,0;762,63
PC000010;CUBO DE RODA REFORCADO REMANUFATURADO;RODAS_PNEUS;112,0;817,15
PC000011;BOMBA D AGUA LEVE PARALELA A;ARREFECIMENTO;17,0;670,95
PC000012;PASTILHA DE FREIO PESADO PARALELA B;FREIOS;82,0;156,93
PC000013;CAIXA DE CAMBIO COMPLETA PESADO ORIGINAL;TRANSMISSAO;4,0;5521,4
PC000014;ALTERNADOR LEVE PARALELA A;ELETRICA;35,0;183,33
PC000015;LANTERNA TRASEIRA PESADO PARALELA B;ELETRICA;16,0;273,31
PC000016;MOTOR DE PARTIDA PESADO PARALELA A;ELETRICA;11,0;1385,75
PC000017;JUNTA DE CABECOTE PESADO ORIGINAL;MOTOR;7,0;4121,35
PC000018;SENSOR ABS REFORCADO PARALELA A;ELETRICA;16,0;690,31
PC000019;RESERVATORIO EXPANSAO PESADO PARALELA B;ARREFECIMENTO;142,0;362,45
PC000020;TURBO COMPRESSOR LEVE PARALELA A;MOTOR;0,0;2941,33
PC000021;MANGUEIRA RADIADOR PESADO ORIGINAL;ARREFECIMENTO;224,0;82,8
PC000022;PINO MESTRE STD ORIGINAL;SUSPENSAO;9,0;1048,27
PC000023;QUINTA RODA COMPLETA REFORCADO ORIGINAL;ARTICULACAO_5RODA;10,0;457,2
PC000024;EIXO CARDAN PESADO ORIGINAL;TRANSMISSAO;4,0;1285,27
PC000025;PLATO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;2,0;4867,73
PC000027;BATERIA 150AH  PARALELA A;ELETRICA;5,0;534,68
PC000028;DISCO DE FREIO REFORCADO PARALELA B;FREIOS;18,0;221,77
PC000029;CILINDRO MESTRE PESADO ORIGINAL;FREIOS;26,0;64,01
PC000030;CHICOTE ELETRICO STD PARALELA A;ELETRICA;2,0;1227,62
PC000031;PARAFUSO DE RODA STD PARALELA A;RODAS_PNEUS;0,0;263,71
PC000032;RADIADOR COMPLETO PESADO ORIGINAL;ARREFECIMENTO;4,0;586,0
PC000033;FILTRO DE OLEO CAMBIO LEVE ORIGINAL;FILTROS;2,0;112,91
PC000034;ESPELHO RETROVISOR REFORCADO PARALELA A;CARROCERIA;8,0;776,19
PC000035;RODA DE ACO ARO 22 LEVE PARALELA B;RODAS_PNEUS;21,0;914,49
PC000036;VIDRO LATERAL LEVE REMANUFATURADO;CARROCERIA;4,0;1037,51
PC000037;MANGOTE PNEUMATICO LEVE ORIGINAL;ARTICULACAO_5RODA;6,0;2062,53
PC000038;PARA-BRISA REFORCADO PARALELA B;CARROCERIA;3,0;240,32
PC000039;AMORTECEDOR DIANTEIRO REFORCADO ORIGINAL;SUSPENSAO;4,0;687,52
PC000040;FILTRO DE COMBUSTIVEL STD PARALELA B;FILTROS;5,0;16,41
PC000041;FILTRO DE AR MOTOR REFORCADO ORIGINAL;FILTROS;2,0;18,41
PC000043;CAMARA DE AR STD PARALELA B;RODAS_PNEUS;9,0;193,59
PC000044;FEIXE DE MOLA REFORCADO PARALELA A;SUSPENSAO;1,0;346,08
PC000045;CORREIA DENTADA REFORCADO PARALELA A;MOTOR;4,0;1099,71
PC000046;ROLAMENTO DE RODA STD ORIGINAL;RODAS_PNEUS;17,0;287,3
PC000047;SINCRONIZADOR LEVE REMANUFATURADO;TRANSMISSAO;20,0;2817,85
PC000048;BOLSA DE AR SUSPENSAO STD ORIGINAL;SUSPENSAO;56,0;386,1
PC000049;MANGUEIRA DE FREIO AR LEVE PARALELA A;FREIOS;14,0;91,57
PC000050;FILTRO SEPARADOR AGUA STD ORIGINAL;FILTROS;6,0;108,51
PC000051;LONA DE FREIO PESADO ORIGINAL;FREIOS;5,0;249,59
PC000052;CRUZETA CARDAN  ORIGINAL;TRANSMISSAO;33,0;911,19
PC000053;PARA-CHOQUE DIANTEIRO  REMANUFATURADO;CARROCERIA;113,0;565,17
PC000054;VALVULA DE FREIO LEVE ORIGINAL;FREIOS;55,0;253,52
PC000055;FAROL DIANTEIRO LED PESADO PARALELA A;ELETRICA;23,0;813,7
PC000056;BARRA ESTABILIZADORA LEVE ORIGINAL;SUSPENSAO;583,0;769,69
PC000057;AMORTECEDOR TRASEIRO PESADO PARALELA B;SUSPENSAO;124,0;1295,12
PC000058;FILTRO DE CABINE PESADO REMANUFATURADO;FILTROS;10,0;24,94
PC000059;ENGATE DE REBOQUE REFORCADO ORIGINAL;ARTICULACAO_5RODA;1,0;746,69
PC000060;DISCO DE EMBREAGEM REFORCADO REMANUFATURADO;TRANSMISSAO;21,0;5013,71
PC000061;SAPATA DE FREIO PESADO ORIGINAL;FREIOS;6,0;169,71
PC000062;BICO INJETOR LEVE PARALELA A;MOTOR;11,0;1647,35
PC000063;BUCHA DE MOLA STD PARALELA A;SUSPENSAO;36,0;487,04
PC000064;VENTOINHA PESADO PARALELA B;ARREFECIMENTO;49,0;571,45
PC000065;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;28,0;638,0
PC000066;BOMBA INJETORA  ORIGINAL;MOTOR;3,0;1077,47
PC000067;TAMBOR DE FREIO STD ORIGINAL;FREIOS;112,0;122,92
PC000068;ROLAMENTO DE EMBREAGEM LEVE ORIGINAL;TRANSMISSAO;14,0;2474,86
PC000069;PINO REI LEVE PARALELA A;ARTICULACAO_5RODA;4,0;396,72
PC000070;PARA-LAMA PESADO ORIGINAL;CARROCERIA;14,0;815,3
PC000071;VALVULA DE ADMISSAO PESADO REMANUFATURADO;MOTOR;5,0;2118,7
PC000072;PNEU RADIAL 295/80 STD REMANUFATURADO;RODAS_PNEUS;1,0;505,31
PC000073;MACANETA DE PORTA STD ORIGINAL;CARROCERIA;39,0;256,31
PC000074;CUBO DE RODA PESADO ORIGINAL;RODAS_PNEUS;7,0;1720,54
PC000075;BOMBA D AGUA STD PARALELA A;ARREFECIMENTO;0,0;692,25
PC000076;PASTILHA DE FREIO REFORCADO REMANUFATURADO;FREIOS;17,0;297,74
PC000077;CAIXA DE CAMBIO COMPLETA STD ORIGINAL;TRANSMISSAO;102,0;1327,3
PC000078;ALTERNADOR REFORCADO PARALELA A;ELETRICA;30,0;1123,98
PC000079;LANTERNA TRASEIRA  PARALELA A;ELETRICA;82,0;843,67
PC000080;MOTOR DE PARTIDA STD PARALELA B;ELETRICA;74,0;601,79
PC000081;JUNTA DE CABECOTE STD ORIGINAL;MOTOR;52,0;3712,71
PC000082;SENSOR ABS LEVE PARALELA B;ELETRICA;4,0;402,34
PC000083;RESERVATORIO EXPANSAO STD PARALELA A;ARREFECIMENTO;1,0;805,35
PC000084;TURBO COMPRESSOR REFORCADO PARALELA B;MOTOR;4,0;5107,5
PC000085;MANGUEIRA RADIADOR  REMANUFATURADO;ARREFECIMENTO;46,0;407,15
PC000086;PINO MESTRE  PARALELA A;SUSPENSAO;6,0;911,79
PC000087;QUINTA RODA COMPLETA REFORCADO PARALELA A;ARTICULACAO_5RODA;14,0;2117,67
PC000088;EIXO CARDAN LEVE REMANUFATURADO;TRANSMISSAO;8,0;5441,38
PC000089;PLATO DE EMBREAGEM STD PARALELA B;TRANSMISSAO;99,0;5248,06
PC000090;FILTRO DE OLEO MOTOR  PARALELA A;MOTOR;3,0;4014,3
PC000091;BATERIA 150AH STD PARALELA A;ELETRICA;15,0;1211,36
PC000092;DISCO DE FREIO  PARALELA B;FREIOS;23,0;205,3
PC000093;CILINDRO MESTRE  PARALELA A;FREIOS;6,0;326,71
PC000094;CHICOTE ELETRICO  ORIGINAL;ELETRICA;64,0;158,54
PC000095;PARAFUSO DE RODA STD REMANUFATURADO;RODAS_PNEUS;18,0;546,32
PC000096;RADIADOR COMPLETO STD ORIGINAL;ARREFECIMENTO;4,0;62,79
PC000097;FILTRO DE OLEO CAMBIO  PARALELA A;FILTROS;3,0;60,27
PC000098;ESPELHO RETROVISOR PESADO ORIGINAL;CARROCERIA;16,0;227,68
PC000099;RODA DE ACO ARO 22 LEVE ORIGINAL;RODAS_PNEUS;6,0;1054,24
PC000100;VIDRO LATERAL PESADO ORIGINAL;CARROCERIA;41,0;804,26
PC000101;MANGOTE PNEUMATICO  ORIGINAL;ARTICULACAO_5RODA;5,0;862,92
PC000102;PARA-BRISA STD PARALELA A;CARROCERIA;114,0;422,17
PC000103;AMORTECEDOR DIANTEIRO STD PARALELA A;SUSPENSAO;2,0;270,16
PC000104;FILTRO DE COMBUSTIVEL STD PARALELA A;FILTROS;121,0;29,81
PC000105;FILTRO DE AR MOTOR STD ORIGINAL;FILTROS;3,0;96,99
PC000106;VALVULA TERMOSTATICA PESADO PARALELA A;ARREFECIMENTO;1,0;954,63
PC000107;CAMARA DE AR REFORCADO ORIGINAL;RODAS_PNEUS;23,0;746,94
PC000108;FEIXE DE MOLA LEVE REMANUFATURADO;SUSPENSAO;60,0;715,97
PC000109;CORREIA DENTADA  PARALELA A;MOTOR;8,0;4311,91
PC000110;ROLAMENTO DE RODA LEVE PARALELA A;RODAS_PNEUS;318,0;1089,69
PC000111;SINCRONIZADOR  ORIGINAL;TRANSMISSAO;3,0;3186,77
PC000112;BOLSA DE AR SUSPENSAO PESADO REMANUFATURADO;SUSPENSAO;1,0;933,36
PC000113;MANGUEIRA DE FREIO AR LEVE REMANUFATURADO;FREIOS;7,0;126,68
PC000114;FILTRO SEPARADOR AGUA PESADO PARALELA B;FILTROS;1,0;54,4
PC000116;CRUZETA CARDAN STD PARALELA B;TRANSMISSAO;28,0;614,57
PC000117;PARA-CHOQUE DIANTEIRO PESADO PARALELA B;CARROCERIA;28,0;412,62
PC000118;VALVULA DE FREIO REFORCADO PARALELA B;FREIOS;56,0;115,38
PC000120;BARRA ESTABILIZADORA  ORIGINAL;SUSPENSAO;12,0;1078,11
PC000121;AMORTECEDOR TRASEIRO  PARALELA B;SUSPENSAO;78,0;464,78
PC000122;FILTRO DE CABINE PESADO PARALELA B;FILTROS;134,0;74,69
PC000123;ENGATE DE REBOQUE LEVE REMANUFATURADO;ARTICULACAO_5RODA;20,0;1809,71
PC000124;DISCO DE EMBREAGEM REFORCADO PARALELA B;TRANSMISSAO;123,0;6381,78
PC000125;SAPATA DE FREIO STD ORIGINAL;FREIOS;1,0;134,16
PC000126;BICO INJETOR  ORIGINAL;MOTOR;106,0;4846,44
PC000127;BUCHA DE MOLA LEVE REMANUFATURADO;SUSPENSAO;6,0;437,76
PC000128;VENTOINHA LEVE ORIGINAL;ARREFECIMENTO;54,0;489,21
PC000129;CAMISA DE CILINDRO STD ORIGINAL;MOTOR;1,0;2688,23
PC000130;BOMBA INJETORA STD PARALELA A;MOTOR;143,0;1940,12
PC000131;TAMBOR DE FREIO REFORCADO REMANUFATURADO;FREIOS;112,0;178,14
PC000132;ROLAMENTO DE EMBREAGEM  PARALELA A;TRANSMISSAO;18,0;2724,87
PC000133;PINO REI  PARALELA A;ARTICULACAO_5RODA;0,0;1662,5
PC000134;PARA-LAMA  PARALELA A;CARROCERIA;84,0;618,97
PC000135;VALVULA DE ADMISSAO LEVE ORIGINAL;MOTOR;12,0;1548,8
PC000136;PNEU RADIAL 295/80  PARALELA B;RODAS_PNEUS;1,0;1338,63
PC000137;MACANETA DE PORTA REFORCADO REMANUFATURADO;CARROCERIA;2,0;430,45
PC000138;CUBO DE RODA REFORCADO PARALELA A;RODAS_PNEUS;2,0;1290,82
PC000139;BOMBA D AGUA PESADO PARALELA A;ARREFECIMENTO;14,0;95,15
PC000140;PASTILHA DE FREIO REFORCADO REMANUFATURADO;FREIOS;0,0;193,24
PC000141;CAIXA DE CAMBIO COMPLETA  ORIGINAL;TRANSMISSAO;64,0;4432,31
PC000142;ALTERNADOR STD PARALELA B;ELETRICA;15,0;199,2
