Produto;Motivo;MesesHistorico;MinimoExigido
PC000019;Histórico insuficiente;11;12
PC006611;Histórico insuficiente;8;12
PC003040;Histórico insuficiente;10;12
PC005034;Histórico insuficiente;11;12
PC005331;Histórico insuficiente;10;12
PC004448;Histórico insuficiente;7;12
PC002003;Histórico insuficiente;11;12
PC006293;Histórico insuficiente;9;12
PC009130;Histórico insuficiente;8;12
PC008587;Histórico insuficiente;11;12
PC007338;Histórico insuficiente;10;12
PC006880;Histórico insuficiente;10;12
PC000971;Histórico insuficiente;9;12
PC009427;Histórico insuficiente;9;12
PC001152;Histórico insuficiente;9;12
PC007978;Histórico insuficiente;11;12
PC000211;Histórico insuficiente;11;12
PC008085;Histórico insuficiente;11;12
PC003306;Histórico insuficiente;11;12
PC001408;Histórico insuficiente;9;12
PC001235;Histórico insuficiente;9;12
PC003029;Histórico insuficiente;9;12
PC005077;Histórico insuficiente;11;12
PC004501;Histórico insuficiente;10;12
PC005973;Histórico insuficiente;8;12
PC007115;Histórico insuficiente;8;12
PC005418;Histórico insuficiente;7;12
PC000523;Histórico insuficiente;10;12
PC007253;Histórico insuficiente;9;12
PC007435;Histórico insuficiente;11;12
PC003296;Histórico insuficiente;11;12
PC009875;Histórico insuficiente;11;12
PC001130;Histórico insuficiente;11;12
PC007637;Histórico insuficiente;10;12
PC008672;Histórico insuficiente;10;12
PC002560;Histórico insuficiente;9;12
PC000405;Histórico insuficiente;10;12
PC007829;Histórico insuficiente;10;12
PC005195;Histórico insuficiente;9;12
PC009898;Histórico insuficiente;11;12
PC003411;Histórico insuficiente;11;12
PC004778;Histórico insuficiente;10;12
PC005866;Histórico insuficiente;9;12
PC002645;Histórico insuficiente;10;12
PC009504;Histórico insuficiente;11;12
PC000106;Histórico insuficiente;10;12
PC001365;Histórico insuficiente;8;12
PC009749;Histórico insuficiente;7;12
PC006848;Histórico insuficiente;10;12
PC003242;Histórico insuficiente;11;12
PC007466;Histórico insuficiente;9;12
PC001856;Histórico insuficiente;8;12
PC009811;Histórico insuficiente;8;12
PC002955;Histórico insuficiente;7;12
PC000608;Histórico insuficiente;8;12
PC004416;Histórico insuficiente;8;12
PC000042;Histórico insuficiente;9;12
PC007891;Histórico insuficiente;10;12
PC006080;Histórico insuficiente;11;12
PC001024;Histórico insuficiente;8;12
PC006944;Histórico insuficiente;11;12
PC004160;Histórico insuficiente;11;12
PC007616;Histórico insuficiente;10;12
PC008864;Histórico insuficiente;10;12
PC002346;Histórico insuficiente;11;12
PC001547;Histórico insuficiente;11;12
