Produto;Motivo;MesesHistorico;MinimoExigido
PC000587;Histórico insuficiente;13;18
PC000833;Histórico insuficiente;14;18
PC000755;Histórico insuficiente;16;18
PC000080;Histórico insuficiente;4;18
PC000771;Histórico insuficiente;13;18
PC000903;Histórico insuficiente;6;18
PC000318;Histórico insuficiente;5;18
PC000022;Histórico insuficiente;14;18
PC000883;Histórico insuficiente;4;18
PC000939;Histórico insuficiente;8;18
PC000705;Histórico insuficiente;10;18
PC000983;Histórico insuficiente;11;18
PC000091;Histórico insuficiente;6;18
PC000372;Histórico insuficiente;8;18
PC000958;Histórico insuficiente;10;18
PC000847;Histórico insuficiente;10;18
PC000843;Histórico insuficiente;5;18
PC000084;Histórico insuficiente;9;18
PC000435;Histórico insuficiente;9;18
PC000369;Histórico insuficiente;7;18
PC000590;Histórico insuficiente;4;18
PC000506;Histórico insuficiente;13;18
PC000357;Histórico insuficiente;6;18
PC000459;Histórico insuficiente;13;18
PC000961;Histórico insuficiente;9;18
PC000203;Histórico insuficiente;11;18
PC000558;Histórico insuficiente;5;18
PC000340;Histórico insuficiente;11;18
PC000810;Histórico insuficiente;6;18
PC000577;Histórico insuficiente;15;18
