Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC000563;48;Prophet;47497,240000000005;[40781.49, 42565.64, 50141.03, 50490.71, 61948.64, 62397.59];-14,1;ok;"{""ARIMA"": 91419742.63093297, ""ExponentialSmoothing"": 53656661.23537464, ""SARIMAX"": 92477559.87856776, ""Holt"": 92510831.89268808, ""Prophet"": 44641593.96953682, ""Croston"": 123008095.66876481, ""TSB"": 123008095.66876481}"
PC000656;48;Prophet;28805,89;[38650.62, 40178.17, 49532.14, 50894.93, 62446.07, 65460.19];34,2;ok;"{""ARIMA"": 146901073.47467354, ""ExponentialSmoothing"": 102468409.52366282, ""SARIMAX"": 189612031.66069266, ""Holt"": 138808750.6608906, ""Prophet"": 66192167.69418481, ""Croston"": 144811762.88274172, ""TSB"": 144811762.88274172}"
PC000334;48;Holt;46811,99;[46615.01, 46615.12, 46615.21, 46615.28, 46615.33, 46615.38];-0,4;ok;"{""ARIMA"": 120316030.63838775, ""ExponentialSmoothing"": 142314840.16195834, ""SARIMAX"": 113616484.97125436, ""Holt"": 90479996.2797059, ""Prophet"": 147577027.81413367, ""Croston"": 114806087.92878173, ""TSB"": 114806087.92878173, ""Ensemble"": 90713133.43256277}"
PC000084;48;SARIMAX;46568,240000000005;[41062.88, 48804.29, 40199.67, 53146.53, 61836.3, 66235.83];-11,8;ok;"{""ARIMA"": 174513953.36303887, ""ExponentialSmoothing"": 42485814.54531985, ""SARIMAX"": 38285135.4208921, ""Holt"": 152288070.19970515, ""Prophet"": 84487654.27869593, ""Croston"": 56284454.513040476, ""TSB"": 56284454.513040476}"
PC000611;48;SARIMAX;38945,08;[42379.7, 42168.64, 47596.83, 51204.58, 49362.08, 65408.24];8,8;ok;"{""ARIMA"": 144908243.55142578, ""ExponentialSmoothing"": 83252683.65615298, ""SARIMAX"": 64678080.7923043, ""Holt"": 118596939.61194031, ""Prophet"": 88784193.32255392, ""Croston"": 100924813.77155562, ""TSB"": 100924813.77155562}"
PC000600;48;SARIMAX;31895,300000000003;[26210.06, 23196.51, 29448.01, 38209.19, 38579.86, 51055.99];-17,8;ok;"{""ARIMA"": 236599205.38347897, ""ExponentialSmoothing"": 42807450.891482085, ""SARIMAX"": 19944190.537912592, ""Holt"": 223926478.65950215, ""Prophet"": 52413408.16882106, ""Croston"": 56062082.14115801, ""TSB"": 56062082.14115801}"
PC000690;48;Ensemble;31657,23;[34146.87, 35249.23, 37182.39, 37697.18, 37605.6, 39296.98];7,9;ok;"{""ARIMA"": 31119531.773799226, ""ExponentialSmoothing"": 49903462.09172395, ""SARIMAX"": 17822929.27478772, ""Holt"": 27809080.736430418, ""Prophet"": 54793109.54763932, ""Croston"": 20389782.867386024, ""TSB"": 20389782.867386024, ""Ensemble"": 11835575.285877863}"
PC000425;48;SARIMAX;30918,38;[36200.26, 33884.29, 39857.69, 38645.61, 48080.25, 48928.34];17,1;ok;"{""ARIMA"": 142527288.89624795, ""ExponentialSmoothing"": 40271671.52275596, ""SARIMAX"": 19554647.709923, ""Holt"": 131881216.69057219, ""Prophet"": 21208744.23859682, ""Croston"": 107675047.57985151, ""TSB"": 107675047.57985151}"
PC000668;48;Prophet;22925,79;[25062.98, 22012.17, 24642.98, 36547.42, 43920.48, 33731.02];9,3;ok;"{""ARIMA"": 104123539.70117448, ""ExponentialSmoothing"": 56887509.2406252, ""SARIMAX"": 66850617.72878463, ""Holt"": 103188155.58821617, ""Prophet"": 31684196.211103458, ""Croston"": 73697242.87403946, ""TSB"": 73697242.87403946}"
PC000945;48;SARIMAX;30745,329999999998;[31104.09, 37418.07, 35623.75, 41641.27, 43870.99, 53464.28];1,2;ok;"{""ARIMA"": 121465335.72068147, ""ExponentialSmoothing"": 88061791.97335751, ""SARIMAX"": 49228448.31148213, ""Holt"": 88065550.83950764, ""Prophet"": 93767934.58003111, ""Croston"": 90674533.45901942, ""TSB"": 90674533.45901942}"
