Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank;_ProdutoUnico
PC000334;15;Holt;26618,22;[26431.55];-0,7;ok;"{""ARIMA"": 27474742.719557807, ""ExponentialSmoothing"": 220827588.72780368, ""SARIMAX"": Infinity, ""Holt"": 4821573.928618744, ""Prophet"": 46159900372.81397, ""Croston"": 26036961.71448708, ""TSB"": 26036961.71448708, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 16757465.858895198}";PC000334
PC000751;13;Média Móvel;16086,97;[14708.09];-8,6;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000751
PC000473;14;Croston;10129,52;[12476.14];23,2;ok;"{""ARIMA"": 5228229.203031383, ""ExponentialSmoothing"": 30027356.988842826, ""SARIMAX"": Infinity, ""Holt"": 5031893.885233515, ""Prophet"": 79356494370.10658, ""Croston"": 3198839.4775583185, ""TSB"": 3198839.4775583185, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4441795.930441967}";PC000473
PC000529;6;Média Móvel;23236,99;[25081.2];7,9;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000529
PC000611;12;Média Móvel;10348,62;[10156.98];-1,9;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000611
PC000318;9;Média Móvel;9419,56;[9584.81];1,8;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000318
PC000348;6;Média Móvel;11103,21;[11949.17];7,6;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000348
PC000958;12;Média Móvel;4469,97;[4908.2];9,8;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000958
PC000441;7;Média Móvel;7428,06;[7653.15];3,0;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000441
PC000373;5;Média Móvel;10587,76;;;falhou ao treinar;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000373
PC000100;6;Média Móvel;6872,45;[7381.52];7,4;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000100
PC000671;15;Ensemble;3006,89;[3116.25];3,6;ok;"{""ARIMA"": 84563.38925801504, ""ExponentialSmoothing"": 196115.59118317612, ""SARIMAX"": Infinity, ""Holt"": 84088.20785321973, ""Prophet"": 624254612.7239578, ""Croston"": 85193.15111578157, ""TSB"": 85193.15111578157, ""Ensemble"": 82667.13875409433, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 501334.1588579803}";PC000671
