Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank;_ProdutoUnico
PC000587;13;Média Móvel;25493,33;[22924.23];-10,1;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000587
PC000833;14;Holt;5860,73;[5877.97];0,3;ok;"{""ARIMA"": 235469.8525145358, ""ExponentialSmoothing"": 2076436.251385047, ""SARIMAX"": Infinity, ""Holt"": 130025.88627031173, ""Prophet"": 883310509.4258356, ""Croston"": 621043.6206539095, ""TSB"": 621043.6206539095, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 249738.22493439904}";PC000833
PC000755;16;ARIMA;3226,08;[3341.06];3,6;ok;"{""ARIMA"": 92573.96446013277, ""ExponentialSmoothing"": 963637.9395095925, ""SARIMAX"": Infinity, ""Holt"": 666782.9234541877, ""Prophet"": 3482405625.9363747, ""Croston"": 143946.15070205127, ""TSB"": 143946.15070205127, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 97627.3662618512}";PC000755
PC000080;4;Média Móvel;11154,39;;;falhou ao treinar;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000080
PC000771;13;Média Móvel;2282,15;[2567.41];12,5;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000771
PC000903;6;Média Móvel;5430,27;[5430.27];0,0;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000903
PC000318;5;Média Móvel;5996,88;;;falhou ao treinar;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000318
PC000022;14;ARIMA;2102,53;[2116.09];0,6;ok;"{""ARIMA"": 80449.84838638762, ""ExponentialSmoothing"": 265022.6626470588, ""SARIMAX"": Infinity, ""Holt"": 94959.3044680131, ""Prophet"": 12862727933.730469, ""Croston"": 84632.8532008544, ""TSB"": 84632.8532008544, ""Ensemble"": 83078.05016612887, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 87621.68544265894}";PC000022
PC000883;4;Média Móvel;7434,71;;;falhou ao treinar;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000883
PC000939;8;Média Móvel;3401,74;[3968.7];16,7;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000939
