Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank;_ProdutoUnico
PC000857;15;Holt;13175,57;[12982.52];-1,5;ok;"{""ARIMA"": 5306418.297472059, ""ExponentialSmoothing"": 3984685.8229935896, ""SARIMAX"": Infinity, ""Holt"": 2604277.6488717594, ""Prophet"": 6352117785.592578, ""Croston"": 2887116.3280785065, ""TSB"": 2887116.3280785065, ""Ensemble"": 2770593.9936564323, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4264692.459121718}";PC000857
PC000334;15;Croston;8347,3;[10738.63];28,6;ok;"{""ARIMA"": 8281455.594574791, ""ExponentialSmoothing"": 21785707.29294138, ""SARIMAX"": Infinity, ""Holt"": 13293139.469914207, ""Prophet"": 1518333733.6350448, ""Croston"": 3065127.862439888, ""TSB"": 3065127.862439888, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 8920533.332550595}";PC000334
PC000336;14;SARIMAX (c/ sazonalidade+promoção);9466,99;[9049.97];-4,4;ok;"{""ARIMA"": 1955532.783840319, ""ExponentialSmoothing"": 983747.5241767928, ""SARIMAX"": Infinity, ""Holt"": 1231157.9344316649, ""Prophet"": 58567190304.814644, ""Croston"": 755725.0163816976, ""TSB"": 755725.0163816976, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 750936.2120113218}";PC000336
PC000313;12;Média Móvel;6193,68;[7043.8];13,7;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000313
PC000487;16;Ensemble;5435,23;[5945.08];9,4;ok;"{""ARIMA"": 490789.15553933615, ""ExponentialSmoothing"": 3266053.465547697, ""SARIMAX"": Infinity, ""Holt"": 446011.69123285095, ""Prophet"": 3987645845.5434327, ""Croston"": 385376.7701802395, ""TSB"": 385376.7701802395, ""Ensemble"": 381516.42270591453, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 448309.22501074825}";PC000487
PC000719;7;Média Móvel;10838,07;[12644.42];16,7;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000719
PC000851;14;Croston;5282,73;[5945.18];12,5;ok;"{""ARIMA"": 399471.25415994023, ""ExponentialSmoothing"": 2828998.3250195566, ""SARIMAX"": Infinity, ""Holt"": 4461081.393077259, ""Prophet"": 2277311745.2701745, ""Croston"": 361366.16563306004, ""TSB"": 361366.16563306004, ""Ensemble"": 372575.66324258735, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 490272.3922376554}";PC000851
PC000529;15;SARIMAX (c/ sazonalidade+promoção);4454,98;[4245.74];-4,7;ok;"{""ARIMA"": 292626.06811636244, ""ExponentialSmoothing"": 159723.24823443944, ""SARIMAX"": Infinity, ""Holt"": 195671.589600452, ""Prophet"": 7793328193.392017, ""Croston"": 154332.704914181, ""TSB"": 154332.704914181, ""Ensemble"": 155970.26865243792, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 153422.01144646187}";PC000529
PC000974;11;Média Móvel;4110,46;[5343.6];30,0;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000974
PC000450;13;Média Móvel;3365,84;[3552.83];5,6;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000450
PC000953;10;Média Móvel;3539,15;[4063.47];14,8;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000953
PC000343;4;Média Móvel;10313,09;;;falhou ao treinar;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000343
PC000730;12;Média Móvel;2085,47;[2259.26];8,3;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000730
PC000067;12;Média Móvel;1982,22;[2102.36];6,1;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000067
PC000802;7;Média Móvel;3579,62;[3579.62];0,0;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000802
PC000656;8;Média Móvel;3215,63;[3215.63];0,0;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000656
PC000695;8;Média Móvel;3306,05;[3306.05];0,0;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000695
PC000776;11;Média Móvel;1901,29;[1901.29];0,0;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000776
PC000939;15;SARIMAX (c/ sazonalidade+promoção);1298,4;[1298.26];-0,0;ok;"{""ARIMA"": 9668.916520100445, ""ExponentialSmoothing"": 91440.56442082574, ""SARIMAX"": Infinity, ""Holt"": 18161.72488351425, ""Prophet"": 1074799943.6476197, ""Croston"": 10335.715292678446, ""TSB"": 10335.715292678446, ""Ensemble"": 10050.120264111432, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 0.04702114590593348}";PC000939
PC000614;9;Média Móvel;2268,93;[2062.66];-9,1;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}";PC000614
PC000641;14;Croston;1112,92;[1164.57];4,6;ok;"{""ARIMA"": 63778.79215976392, ""ExponentialSmoothing"": 294335.90170274355, ""SARIMAX"": Infinity, ""Holt"": 93395.06218081589, ""Prophet"": 69624794.65082164, ""Croston"": 9447.052696402507, ""TSB"": 9447.052696402507, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 39863.88824449361}";PC000641
