Ano;Mês;Conta;Valor;Filial
2024;Janeiro;Receita de Vendas;272139,72;Loja Centro
2024;Janeiro;Receita de Vendas;117663,5;Loja Norte
2024;Janeiro;Receita de Vendas;162196,77;Loja Sul
2024;Janeiro;Receita de Serviços;20706,28;Loja Centro
2024;Janeiro;Receita de Serviços;8952,66;Loja Norte
2024;Janeiro;Receita de Serviços;12341,06;Loja Sul
2024;Janeiro;Outras Receitas Operacionais;2958,04;Loja Centro
2024;Janeiro;Outras Receitas Operacionais;1278,95;Loja Norte
2024;Janeiro;Outras Receitas Operacionais;1763,01;Loja Sul
2024;Janeiro;Impostos sobre Vendas;-35496,49;Loja Centro
2024;Janeiro;Impostos sobre Vendas;-15347,41;Loja Norte
2024;Janeiro;Impostos sobre Vendas;-21156,1;Loja Sul
2024;Janeiro;Devoluções;-2958,04;Loja Centro
2024;Janeiro;Devoluções;-1278,95;Loja Norte
2024;Janeiro;Devoluções;-1763,01;Loja Sul
2024;Janeiro;Descontos Concedidos;-1479,02;Loja Centro
2024;Janeiro;Descontos Concedidos;-639,48;Loja Norte
2024;Janeiro;Descontos Concedidos;-881,5;Loja Sul
2024;Janeiro;CMV;-133111,82;Loja Centro
2024;Janeiro;CMV;-57552,8;Loja Norte
2024;Janeiro;CMV;-79335,38;Loja Sul
2024;Janeiro;Mão de Obra Direta;-23664,32;Loja Centro
2024;Janeiro;Mão de Obra Direta;-10231,61;Loja Norte
2024;Janeiro;Mão de Obra Direta;-14104,07;Loja Sul
2024;Janeiro;Materiais e Insumos;-14790,2;Loja Centro
2024;Janeiro;Materiais e Insumos;-6394,76;Loja Norte
2024;Janeiro;Materiais e Insumos;-8815,04;Loja Sul
2024;Janeiro;Fretes de Produção;-5916,08;Loja Centro
2024;Janeiro;Fretes de Produção;-2557,9;Loja Norte
2024;Janeiro;Fretes de Produção;-3526,02;Loja Sul
2024;Janeiro;Salários Comerciais;-11832,16;Loja Centro
2024;Janeiro;Salários Comerciais;-5115,8;Loja Norte
2024;Janeiro;Salários Comerciais;-7052,03;Loja Sul
2024;Janeiro;Comissões;-7395,1;Loja Centro
2024;Janeiro;Comissões;-3197,38;Loja Norte
2024;Janeiro;Comissões;-4407,52;Loja Sul
2024;Janeiro;Marketing e Publicidade;-5916,08;Loja Centro
2024;Janeiro;Marketing e Publicidade;-2557,9;Loja Norte
2024;Janeiro;Marketing e Publicidade;-3526,02;Loja Sul
2024;Janeiro;Viagens Comerciais;-1479,02;Loja Centro
2024;Janeiro;Viagens Comerciais;-639,48;Loja Norte
2024;Janeiro;Viagens Comerciais;-881,5;Loja Sul
2024;Janeiro;Salários Administrativos;-14790,2;Loja Centro
2024;Janeiro;Salários Administrativos;-6394,76;Loja Norte
2024;Janeiro;Salários Administrativos;-8815,04;Loja Sul
2024;Janeiro;Pró-Labore;-4437,06;Loja Centro
2024;Janeiro;Pró-Labore;-1918,43;Loja Norte
2024;Janeiro;Pró-Labore;-2644,51;Loja Sul
2024;Janeiro;Aluguel;-3549,65;Loja Centro
2024;Janeiro;Aluguel;-1534,74;Loja Norte
2024;Janeiro;Aluguel;-2115,61;Loja Sul
2024;Janeiro;Energia Elétrica;-1183,22;Loja Centro
2024;Janeiro;Energia Elétrica;-511,58;Loja Norte
2024;Janeiro;Energia Elétrica;-705,2;Loja Sul
2024;Janeiro;Internet e Telefonia;-591,61;Loja Centro
2024;Janeiro;Internet e Telefonia;-255,79;Loja Norte
2024;Janeiro;Internet e Telefonia;-352,6;Loja Sul
2024;Janeiro;Contabilidade;-887,41;Loja Centro
2024;Janeiro;Contabilidade;-383,69;Loja Norte
2024;Janeiro;Contabilidade;-528,9;Loja Sul
2024;Janeiro;Sistemas e Licenças;-1183,22;Loja Centro
2024;Janeiro;Sistemas e Licenças;-511,58;Loja Norte
2024;Janeiro;Sistemas e Licenças;-705,2;Loja Sul
2024;Janeiro;Material de Escritório;-295,8;Loja Centro
2024;Janeiro;Material de Escritório;-127,9;Loja Norte
2024;Janeiro;Material de Escritório;-176,3;Loja Sul
2024;Janeiro;Manutenção;-591,61;Loja Centro
2024;Janeiro;Manutenção;-255,79;Loja Norte
2024;Janeiro;Manutenção;-352,6;Loja Sul
2024;Janeiro;Seguros;-591,61;Loja Centro
2024;Janeiro;Seguros;-255,79;Loja Norte
2024;Janeiro;Seguros;-352,6;Loja Sul
2024;Janeiro;Treinamentos;-295,8;Loja Centro
2024;Janeiro;Treinamentos;-127,9;Loja Norte
2024;Janeiro;Treinamentos;-176,3;Loja Sul
2024;Janeiro;Depreciação;-2958,04;Loja Centro
2024;Janeiro;Depreciação;-1278,95;Loja Norte
2024;Janeiro;Depreciação;-1763,01;Loja Sul
2024;Janeiro;Receitas Financeiras;887,41;Loja Centro
2024;Janeiro;Receitas Financeiras;383,69;Loja Norte
2024;Janeiro;Receitas Financeiras;528,9;Loja Sul
2024;Janeiro;Juros Ativos;295,8;Loja Centro
2024;Janeiro;Juros Ativos;127,9;Loja Norte
2024;Janeiro;Juros Ativos;176,3;Loja Sul
2024;Janeiro;Despesas Financeiras;-1183,22;Loja Centro
2024;Janeiro;Despesas Financeiras;-511,58;Loja Norte
2024;Janeiro;Despesas Financeiras;-705,2;Loja Sul
2024;Janeiro;Juros Bancários;-591,61;Loja Centro
2024;Janeiro;Juros Bancários;-255,79;Loja Norte
2024;Janeiro;Juros Bancários;-352,6;Loja Sul
2024;Janeiro;Tarifas Bancárias;-147,9;Loja Centro
2024;Janeiro;Tarifas Bancárias;-63,95;Loja Norte
2024;Janeiro;Tarifas Bancárias;-88,15;Loja Sul
2024;Janeiro;IRPJ;-8874,12;Loja Centro
2024;Janeiro;IRPJ;-3836,85;Loja Norte
2024;Janeiro;IRPJ;-5289,03;Loja Sul
2024;Janeiro;CSLL;-2958,04;Loja Centro
2024;Janeiro;CSLL;-1278,95;Loja Norte
2024;Janeiro;CSLL;-1763,01;Loja Sul
2024;Fevereiro;Receita de Vendas;229850,39;Loja Centro
2024;Fevereiro;Receita de Vendas;139447,79;Loja Norte
2024;Fevereiro;Receita de Vendas;188221,82;Loja Sul
2024;Fevereiro;Receita de Serviços;17488,62;Loja Centro
2024;Fevereiro;Receita de Serviços;10610,16;Loja Norte
2024;Fevereiro;Receita de Serviços;14321,23;Loja Sul
2024;Fevereiro;Outras Receitas Operacionais;2498,37;Loja Centro
2024;Fevereiro;Outras Receitas Operacionais;1515,74;Loja Norte
2024;Fevereiro;Outras Receitas Operacionais;2045,89;Loja Sul
2024;Fevereiro;Impostos sobre Vendas;-29980,49;Loja Centro
2024;Fevereiro;Impostos sobre Vendas;-18188,84;Loja Norte
2024;Fevereiro;Impostos sobre Vendas;-24550,67;Loja Sul
2024;Fevereiro;Devoluções;-2498,37;Loja Centro
2024;Fevereiro;Devoluções;-1515,74;Loja Norte
2024;Fevereiro;Devoluções;-2045,89;Loja Sul
2024;Fevereiro;Descontos Concedidos;-1249,19;Loja Centro
2024;Fevereiro;Descontos Concedidos;-757,87;Loja Norte
2024;Fevereiro;Descontos Concedidos;-1022,94;Loja Sul
2024;Fevereiro;CMV;-112426,82;Loja Centro
2024;Fevereiro;CMV;-68208,16;Loja Norte
2024;Fevereiro;CMV;-92065,02;Loja Sul
2024;Fevereiro;Mão de Obra Direta;-19986,99;Loja Centro
2024;Fevereiro;Mão de Obra Direta;-12125,89;Loja Norte
2024;Fevereiro;Mão de Obra Direta;-16367,11;Loja Sul
2024;Fevereiro;Materiais e Insumos;-12491,87;Loja Centro
2024;Fevereiro;Materiais e Insumos;-7578,68;Loja Norte
2024;Fevereiro;Materiais e Insumos;-10229,45;Loja Sul
2024;Fevereiro;Fretes de Produção;-4996,75;Loja Centro
2024;Fevereiro;Fretes de Produção;-3031,47;Loja Norte
2024;Fevereiro;Fretes de Produção;-4091,78;Loja Sul
2024;Fevereiro;Salários Comerciais;-9993,5;Loja Centro
2024;Fevereiro;Salários Comerciais;-6062,95;Loja Norte
2024;Fevereiro;Salários Comerciais;-8183,56;Loja Sul
2024;Fevereiro;Comissões;-6245,93;Loja Centro
2024;Fevereiro;Comissões;-3789,34;Loja Norte
2024;Fevereiro;Comissões;-5114,72;Loja Sul
2024;Fevereiro;Marketing e Publicidade;-4996,75;Loja Centro
2024;Fevereiro;Marketing e Publicidade;-3031,47;Loja Norte
2024;Fevereiro;Marketing e Publicidade;-4091,78;Loja Sul
2024;Fevereiro;Viagens Comerciais;-1249,19;Loja Centro
2024;Fevereiro;Viagens Comerciais;-757,87;Loja Norte
2024;Fevereiro;Viagens Comerciais;-1022,94;Loja Sul
2024;Fevereiro;Salários Administrativos;-12491,87;Loja Centro
2024;Fevereiro;Salários Administrativos;-7578,68;Loja Norte
2024;Fevereiro;Salários Administrativos;-10229,45;Loja Sul
2024;Fevereiro;Pró-Labore;-3747,56;Loja Centro
2024;Fevereiro;Pró-Labore;-2273,61;Loja Norte
2024;Fevereiro;Pró-Labore;-3068,83;Loja Sul
2024;Fevereiro;Aluguel;-2998,05;Loja Centro
2024;Fevereiro;Aluguel;-1818,88;Loja Norte
2024;Fevereiro;Aluguel;-2455,07;Loja Sul
2024;Fevereiro;Energia Elétrica;-999,35;Loja Centro
2024;Fevereiro;Energia Elétrica;-606,29;Loja Norte
2024;Fevereiro;Energia Elétrica;-818,36;Loja Sul
2024;Fevereiro;Internet e Telefonia;-499,67;Loja Centro
2024;Fevereiro;Internet e Telefonia;-303,15;Loja Norte
2024;Fevereiro;Internet e Telefonia;-409,18;Loja Sul
2024;Fevereiro;Contabilidade;-749,51;Loja Centro
2024;Fevereiro;Contabilidade;-454,72;Loja Norte
2024;Fevereiro;Contabilidade;-613,77;Loja Sul
2024;Fevereiro;Sistemas e Licenças;-999,35;Loja Centro
2024;Fevereiro;Sistemas e Licenças;-606,29;Loja Norte
2024;Fevereiro;Sistemas e Licenças;-818,36;Loja Sul
2024;Fevereiro;Material de Escritório;-249,84;Loja Centro
2024;Fevereiro;Material de Escritório;-151,57;Loja Norte
2024;Fevereiro;Material de Escritório;-204,59;Loja Sul
2024;Fevereiro;Manutenção;-499,67;Loja Centro
2024;Fevereiro;Manutenção;-303,15;Loja Norte
2024;Fevereiro;Manutenção;-409,18;Loja Sul
2024;Fevereiro;Seguros;-499,67;Loja Centro
2024;Fevereiro;Seguros;-303,15;Loja Norte
2024;Fevereiro;Seguros;-409,18;Loja Sul
2024;Fevereiro;Treinamentos;-249,84;Loja Centro
2024;Fevereiro;Treinamentos;-151,57;Loja Norte
2024;Fevereiro;Treinamentos;-204,59;Loja Sul
2024;Fevereiro;Depreciação;-2498,37;Loja Centro
2024;Fevereiro;Depreciação;-1515,74;Loja Norte
2024;Fevereiro;Depreciação;-2045,89;Loja Sul
2024;Fevereiro;Receitas Financeiras;749,51;Loja Centro
2024;Fevereiro;Receitas Financeiras;454,72;Loja Norte
2024;Fevereiro;Receitas Financeiras;613,77;Loja Sul
2024;Fevereiro;Juros Ativos;249,84;Loja Centro
2024;Fevereiro;Juros Ativos;151,57;Loja Norte
2024;Fevereiro;Juros Ativos;204,59;Loja Sul
2024;Fevereiro;Despesas Financeiras;-999,35;Loja Centro
2024;Fevereiro;Despesas Financeiras;-606,29;Loja Norte
2024;Fevereiro;Despesas Financeiras;-818,36;Loja Sul
2024;Fevereiro;Juros Bancários;-499,67;Loja Centro
2024;Fevereiro;Juros Bancários;-303,15;Loja Norte
2024;Fevereiro;Juros Bancários;-409,18;Loja Sul
2024;Fevereiro;Tarifas Bancárias;-124,92;Loja Centro
2024;Fevereiro;Tarifas Bancárias;-75,79;Loja Norte
2024;Fevereiro;Tarifas Bancárias;-102,29;Loja Sul
2024;Fevereiro;IRPJ;-7495,12;Loja Centro
2024;Fevereiro;IRPJ;-4547,21;Loja Norte
2024;Fevereiro;IRPJ;-6137,67;Loja Sul
2024;Fevereiro;CSLL;-2498,37;Loja Centro
2024;Fevereiro;CSLL;-1515,74;Loja Norte
2024;Fevereiro;CSLL;-2045,89;Loja Sul
2024;Março;Receita de Vendas;245646,31;Loja Centro
2024;Março;Receita de Vendas;132903,93;Loja Norte
2024;Março;Receita de Vendas;184489,77;Loja Sul
2024;Março;Receita de Serviços;18690,48;Loja Centro
2024;Março;Receita de Serviços;10112,26;Loja Norte
2024;Março;Receita de Serviços;14037,26;Loja Sul
2024;Março;Outras Receitas Operacionais;2670,07;Loja Centro
2024;Março;Outras Receitas Operacionais;1444,61;Loja Norte
2024;Março;Outras Receitas Operacionais;2005,32;Loja Sul
2024;Março;Impostos sobre Vendas;-32040,82;Loja Centro
2024;Março;Impostos sobre Vendas;-17335,29;Loja Norte
2024;Março;Impostos sobre Vendas;-24063,88;Loja Sul
2024;Março;Devoluções;-2670,07;Loja Centro
2024;Março;Devoluções;-1444,61;Loja Norte
2024;Março;Devoluções;-2005,32;Loja Sul
2024;Março;Descontos Concedidos;-1335,03;Loja Centro
2024;Março;Descontos Concedidos;-722,3;Loja Norte
2024;Março;Descontos Concedidos;-1002,66;Loja Sul
2024;Março;CMV;-120153,08;Loja Centro
2024;Março;CMV;-65007,36;Loja Norte
2024;Março;CMV;-90239,56;Loja Sul
2024;Março;Mão de Obra Direta;-21360,55;Loja Centro
