_ProdutoUnico;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC000646;48;SARIMAX;30534,59;[32413.44, 30786.84, 39102.48];6,2;ok;"{""ARIMA"": 16336072.750139274, ""ExponentialSmoothing"": 21487124.667279392, ""SARIMAX"": 10414724.753297197, ""Holt"": 15553075.953734552, ""Prophet"": 22755788.88862668, ""Croston"": 14539290.528193846, ""TSB"": 14539290.528193846}"
PC000782;48;Ensemble;30246,86;[30141.55, 30088.74, 30064.25];-0,3;ok;"{""ARIMA"": 2568500.1086470657, ""ExponentialSmoothing"": 15218012.222154707, ""SARIMAX"": 5132969.96613272, ""Holt"": 6762025.483622734, ""Prophet"": 11472149.987837398, ""Croston"": 2824018.883085922, ""TSB"": 2824018.883085922, ""Ensemble"": 2552250.71027353}"
PC000123;48;Ensemble;27201,79;[28173.07, 28372.33, 31998.13];3,6;ok;"{""ARIMA"": 8252480.136125802, ""ExponentialSmoothing"": 8272191.630576647, ""SARIMAX"": 9105228.788174871, ""Holt"": 17274058.823054966, ""Prophet"": 12375658.639239306, ""Croston"": 8504968.687478332, ""TSB"": 8504968.687478332, ""Ensemble"": 7579486.751738458}"
PC000410;48;Prophet;25355,88;[26419.3, 26701.63, 33371.96];4,2;ok;"{""ARIMA"": 12717031.71896653, ""ExponentialSmoothing"": 7558446.660989635, ""SARIMAX"": 6234907.308448203, ""Holt"": 16753926.211541882, ""Prophet"": 4774086.290649176, ""Croston"": 13722791.685639247, ""TSB"": 13722791.685639247}"
PC000954;48;Prophet;24044,74;[25325.06, 26282.99, 33733.23];5,3;ok;"{""ARIMA"": 7465152.612678374, ""ExponentialSmoothing"": 10169714.657117466, ""SARIMAX"": 6354484.645351805, ""Holt"": 9253641.617929203, ""Prophet"": 5979397.630658183, ""Croston"": 8297444.7236759635, ""TSB"": 8297444.7236759635, ""Ensemble"": 5986731.646031189}"
PC000845;48;SARIMAX;24150,1;[27908.32, 26359.95, 34683.66];15,6;ok;"{""ARIMA"": 6431934.616723795, ""ExponentialSmoothing"": 5013189.121690831, ""SARIMAX"": 4495011.886097056, ""Holt"": 9195614.029788671, ""Prophet"": 5929490.080292884, ""Croston"": 7657000.216910447, ""TSB"": 7657000.216910447}"
PC000713;48;ARIMA;26041,41;[25706.15, 25531.48, 25440.47];-1,3;ok;"{""ARIMA"": 3152727.589332735, ""ExponentialSmoothing"": 15294389.09839978, ""SARIMAX"": 18702539.63505425, ""Holt"": 13261027.18546412, ""Prophet"": 10208309.3237386, ""Croston"": 8602649.816946568, ""TSB"": 8602649.816946568}"
PC000554;48;ExponentialSmoothing;18898,5;[23537.53, 21995.26, 28554.0];24,5;ok;"{""ARIMA"": 8629317.283667918, ""ExponentialSmoothing"": 5660206.9097063495, ""SARIMAX"": 9158029.232015492, ""Holt"": 24859979.175952096, ""Prophet"": 6901784.894474451, ""Croston"": 15112615.142812552, ""TSB"": 15112615.142812552}"
PC000701;48;SARIMAX;21357,42;[23855.39, 23361.47, 33035.84];11,7;ok;"{""ARIMA"": 2524310.687104719, ""ExponentialSmoothing"": 5124658.404701355, ""SARIMAX"": 2502043.926922302, ""Holt"": 4183903.455288692, ""Prophet"": 4590071.8039299445, ""Croston"": 6002834.809590754, ""TSB"": 6002834.809590754}"
PC000118;48;Ensemble;18401,18;[21581.81, 21296.93, 27067.33];17,3;ok;"{""ARIMA"": 5339651.487068567, ""ExponentialSmoothing"": 5164712.234279332, ""SARIMAX"": 5702359.447684728, ""Holt"": 20163489.63204205, ""Prophet"": 5923342.65512633, ""Croston"": 9545126.130910479, ""TSB"": 9545126.130910479, ""Ensemble"": 4962483.955072445}"
