Produto;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;CapitalParado
PC000015;Fornecedor Alfa;D;Média;113,0;2,0;;40;75;15;0,22;6,35;🟡 Estoque excessivo;0,0;319,86;0,0;36144,18
PC000520;Fornecedor Beta;D;Média;65,0;2,5;782,5;40;75;15;0,47;6,35;🟡 Estoque excessivo;0,0;417,75;0,0;27153,75
PC000118;Fornecedor Gamma;E;Média;46,0;1,8;746,9;55;100;15;0,49;4,71;🟡 Estoque excessivo;0,0;395,84;0,0;18208,64
PC000099;Fornecedor Beta;D;Média;50,0;2,9;524,3;40;75;15;0,7;6,35;🟡 Estoque excessivo;0,0;352,58;0,0;17629,0
PC000935;Fornecedor Delta;D;Média;49,0;2,4;617,9;40;75;15;0,59;6,35;🟡 Estoque excessivo;0,0;307,0;0,0;15043,0
PC000038;Fornecedor Delta;E;Baixa;45,0;3,7;368,2;55;100;15;0,99;4,71;🟡 Estoque excessivo;0,0;328,35;0,0;14775,750000000002
PC000996;Fornecedor Alfa;D;Média;42,0;3,0;417,3;40;75;15;0,87;6,35;🟡 Estoque excessivo;0,0;298,37;0,0;12531,54
PC000699;Fornecedor Beta;C;Baixa;21,0;3,7;171,9;30;55;15;2,12;8,59;🟡 Estoque excessivo;0,0;433,7;0,0;9107,699999999999
PC000617;Fornecedor Delta;E;Média;19,0;3,0;190,0;55;100;15;1,92;4,71;🟡 Estoque excessivo;0,0;447,41;0,0;8500,79
PC000868;Fornecedor Gamma;E;Média;64,0;3,0;642,5;55;100;15;0,57;4,71;🟡 Estoque excessivo;0,0;80,85;0,0;5174,4
PC000286;Fornecedor Delta;E;Baixa;21,0;1,0;630,0;55;100;15;0,58;4,71;🟡 Estoque excessivo;0,0;236,83;0,0;4973,43
PC000920;Fornecedor Alfa;E;Baixa;24,0;1,0;720,0;55;100;15;0,51;4,71;🟡 Estoque excessivo;0,0;190,38;0,0;4569,12
PC000564;Fornecedor Alfa;E;Baixa;32,0;2,5;378,8;55;100;15;0,96;4,71;🟡 Estoque excessivo;0,0;129,46;0,0;4142,72
PC000683;Fornecedor Alfa;D;Média;14,0;2,7;154,1;40;75;15;2,37;6,35;🟡 Estoque excessivo;0,0;291,31;0,0;4078,34
PC000901;Fornecedor Delta;E;Média;10,0;2,6;117,0;55;100;15;3,12;4,71;🟡 Estoque excessivo;0,0;252,97;0,0;2529,7
PC000695;Fornecedor Beta;E;Média;11,0;3,0;111,8;55;100;15;3,27;4,71;🟡 Estoque excessivo;0,0;170,45;0,0;1874,9499999999998
PC000435;Fornecedor Delta;E;Média;21,0;1,0;630,9;55;100;15;0,58;4,71;🟡 Estoque excessivo;0,0;69,73;0,0;1464,3300000000002
PC000843;Fornecedor Beta;D;Média;7,0;2,7;77,0;40;75;15;4,74;6,35;🟡 Estoque excessivo;0,0;202,22;0,0;1415,54
PC000577;Fornecedor Alfa;E;Baixa;65,0;2,9;666,8;55;100;15;0,55;4,71;🟡 Estoque excessivo;0,0;18,45;0,0;1199,25
PC000202;Fornecedor Beta;E;Média;62,0;2,0;930,0;55;100;15;0,39;4,71;🟡 Estoque excessivo;0,0;18,87;0,0;1169,94
PC000677;Fornecedor Gamma;E;Média;17,0;0,9;542,2;55;100;15;0,67;4,71;🟡 Estoque excessivo;0,0;43,77;0,0;744,09
PC000515;Fornecedor Gamma;E;Média;6,0;0,9;195,6;55;100;15;1,87;4,71;🟡 Estoque excessivo;0,0;94,53;0,0;567,1800000000001
PC000441;Fornecedor Beta;D;Baixa;1,0;2,4;12,7;40;75;15;28,71;6,35;🚨 RUPTURA IMINENTE;5,0;436,7;2139,26;436,7
PC000629;Fornecedor Gamma;E;Média;8,0;1,3;180,0;55;100;15;2,03;4,71;🟡 Estoque excessivo;0,0;50,73;0,0;405,84
