Produto;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido
PC000563;Fornecedor Alfa;A;Baixa;39,0;71,6;16,3;15;30;15;22,34;16,22;🟢 OK;0,0;352,99;0,0
PC000656;Fornecedor Alfa;A;Baixa;13,0;56,1;7,0;15;30;15;52,48;16,22;🚨 RUPTURA IMINENTE;43,0;422,14;18184,38
PC000334;Fornecedor Alfa;A;Baixa;69,0;60,7;34,1;15;30;15;10,71;16,22;🟡 Estoque excessivo;0,0;448,38;0,0
PC000084;Fornecedor Alfa;A;Baixa;22,0;56,4;11,7;15;30;15;31,21;16,22;🚨 RUPTURA IMINENTE;34,0;396,57;13652,26
PC000611;Fornecedor Alfa;A;Baixa;57,0;61,5;27,8;15;30;15;13,12;16,22;🟢 OK;0,0;396,99;0,0
PC000600;Fornecedor Gamma;A;Baixa;33,0;38,2;25,9;15;30;15;14,07;16,22;🟢 OK;0,0;403,23;0,0
PC000690;Fornecedor Beta;A;Baixa;25,0;57,0;13,2;15;30;15;27,73;16,22;🚨 RUPTURA IMINENTE;32,0;346,05;11065,72
PC000425;Fornecedor Delta;A;Baixa;153,0;52,7;87,1;15;30;15;4,19;16,22;🟡 Estoque excessivo;0,0;444,09;0,0
PC000668;Fornecedor Beta;A;Baixa;11,0;35,1;9,4;15;30;15;38,84;16,22;🚨 RUPTURA IMINENTE;24,0;419,32;10112,38
PC000945;Fornecedor Alfa;A;Baixa;58,0;47,5;36,6;15;30;15;9,97;16,22;🟡 Estoque excessivo;0,0;356,57;0,0
PC000547;Fornecedor Beta;A;Baixa;38,0;47,6;24,0;15;30;15;15,23;16,22;🟢 OK;0,0;364,25;0,0
PC000410;Fornecedor Beta;A;Baixa;10,0;42,7;7,0;15;30;15;52,0;16,22;🚨 RUPTURA IMINENTE;33,0;391,78;12828,05
PC000755;Fornecedor Beta;A;Baixa;18,0;51,4;10,5;15;30;15;34,75;16,22;🚨 RUPTURA IMINENTE;33,0;439,34;14677,58
PC000295;Fornecedor Alfa;A;Baixa;32,0;32,5;29,5;15;30;15;12,36;16,22;🟢 OK;0,0;361,86;0,0
PC000666;Fornecedor Delta;A;Baixa;27,0;40,5;20,0;15;30;15;18,25;16,22;🟢 OK;0,0;384,33;0,0
