Produto;Categoria;Emissao;Quantidade;Vlr.Total;Filial;_data_ml;_periodo_ml;_periodo_val
PC000005;Arrefecimento;01/09/2022;4;2147,33;Loja Centro;2022-09-01;2022-09;2022-09
PC000005;Arrefecimento;01/10/2022;4;2147,33;Loja Centro;2022-10-01;2022-10;2022-10
PC000005;Arrefecimento;01/11/2022;6;3221,0;Loja Centro;2022-11-01;2022-11;2022-11
PC000005;Arrefecimento;01/12/2022;6;3221,0;Loja Centro;2022-12-01;2022-12;2022-12
PC000005;Arrefecimento;01/01/2023;4;2147,33;Loja Centro;2023-01-01;2023-01;2023-01
PC000005;Arrefecimento;01/02/2023;5;2684,17;Loja Centro;2023-02-01;2023-02;2023-02
PC000005;Arrefecimento;01/03/2023;5;2684,17;Loja Centro;2023-03-01;2023-03;2023-03
PC000005;Arrefecimento;01/04/2023;5;2684,17;Loja Centro;2023-04-01;2023-04;2023-04
PC000005;Arrefecimento;01/05/2023;4;2147,33;Loja Centro;2023-05-01;2023-05;2023-05
PC000005;Arrefecimento;01/06/2023;4;2147,33;Loja Centro;2023-06-01;2023-06;2023-06
PC000005;Arrefecimento;01/07/2023;4;2147,33;Loja Centro;2023-07-01;2023-07;2023-07
PC000005;Arrefecimento;01/08/2023;4;2147,33;Loja Centro;2023-08-01;2023-08;2023-08
PC000005;Arrefecimento;01/09/2023;4;2147,33;Loja Centro;2023-09-01;2023-09;2023-09
PC000005;Arrefecimento;01/10/2023;5;2684,17;Loja Centro;2023-10-01;2023-10;2023-10
PC000005;Arrefecimento;01/11/2023;6;3221,0;Loja Centro;2023-11-01;2023-11;2023-11
PC000005;Arrefecimento;01/12/2023;6;3221,0;Loja Centro;2023-12-01;2023-12;2023-12
PC000005;Arrefecimento;01/01/2024;4;2147,33;Loja Centro;2024-01-01;2024-01;2024-01
PC000005;Arrefecimento;01/02/2024;5;2684,17;Loja Centro;2024-02-01;2024-02;2024-02
PC000005;Arrefecimento;01/03/2024;5;2684,17;Loja Centro;2024-03-01;2024-03;2024-03
PC000005;Arrefecimento;01/04/2024;4;2147,33;Loja Centro;2024-04-01;2024-04;2024-04
PC000005;Arrefecimento;01/05/2024;5;2684,17;Loja Centro;2024-05-01;2024-05;2024-05
