Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC000005;48;ExponentialSmoothing;474982,35;[478570.62, 415287.22, 440757.86, 409397.35, 443916.69, 432569.2];0,8;ok;"{""ARIMA"": 1081150101.5260017, ""ExponentialSmoothing"": 832060198.6944898, ""SARIMAX"": 2364014353.8523154, ""Holt"": 1461707488.8199947, ""Prophet"": 1605782164.3635042, ""Croston"": 984375889.5394416, ""TSB"": 984375889.5394416, ""Ensemble"": 863965219.7931675}"
PC000001;48;Prophet;141911,17;[266413.55, 139916.22, 148415.03, 138829.38, 138446.34, 148888.04];87,7;ok;"{""ARIMA"": 2140636684.2373483, ""ExponentialSmoothing"": 95084596.61890851, ""SARIMAX"": 107709487.48031943, ""Holt"": 2690239924.58705, ""Prophet"": 59935263.26891065, ""Croston"": 2183318615.114239, ""TSB"": 2183318615.114239}"
PC000002;48;Ensemble;108182,79;[113115.73, 116291.72, 111984.17, 111793.87, 108556.92, 111939.72];4,6;ok;"{""ARIMA"": 46413017.47071904, ""ExponentialSmoothing"": 39164682.787534386, ""SARIMAX"": 41257755.39636364, ""Holt"": 48115653.58877324, ""Prophet"": 42578818.24386176, ""Croston"": 44111280.65451956, ""TSB"": 44111280.65451956, ""Ensemble"": 39119546.760983415}"
PC000004;48;Prophet;108681,76;[104757.95, 104672.9, 99861.45, 106828.63, 107483.63, 103166.46];-3,6;ok;"{""ARIMA"": 62853858.97212634, ""ExponentialSmoothing"": 12255601.686740108, ""SARIMAX"": 159968074.24368927, ""Holt"": 38279901.374044456, ""Prophet"": 1897923.7723854699, ""Croston"": 43270987.66460193, ""TSB"": 43270987.66460193}"
PC000007;48;Prophet;84543,36;[80890.55, 85233.69, 87254.08, 82995.76, 87902.55, 90728.14];-4,3;ok;"{""ARIMA"": 42251492.32396178, ""ExponentialSmoothing"": 23096283.879518438, ""SARIMAX"": 70746551.47734214, ""Holt"": 27953812.51733415, ""Prophet"": 16689754.488737794, ""Croston"": 72894734.87496956, ""TSB"": 72894734.87496956}"
PC000010;21;Croston;92162,26;[86027.23, 86027.23, 86027.23, 86027.23, 86027.23, 86027.23];-6,7;ok;"{""ARIMA"": 54971925.37949767, ""ExponentialSmoothing"": 20012204.789632473, ""SARIMAX"": Infinity, ""Holt"": 18623383.814671054, ""Prophet"": 1353231972.646022, ""Croston"": 15395439.474639162, ""TSB"": 15395439.474639162, ""Ensemble"": 15607890.475984022}"
PC000009;48;Ensemble;14542,77;[14365.21, 14161.64, 14187.66, 13954.94, 13834.35, 14614.65];-1,2;ok;"{""ARIMA"": 900904.6740557792, ""ExponentialSmoothing"": 901897.0002016742, ""SARIMAX"": 891481.168292549, ""Holt"": 1281744.8645823097, ""Prophet"": 730259.2985003153, ""Croston"": 1365414.5775668125, ""TSB"": 1365414.5775668125, ""Ensemble"": 721983.9061886306}"
PC000003;48;Ensemble;3983,48;[4210.04, 4175.71, 4237.02, 4221.8, 4253.06, 4314.48];5,7;ok;"{""ARIMA"": 194902.01645292682, ""ExponentialSmoothing"": 129101.49983266626, ""SARIMAX"": 202500.3028215605, ""Holt"": 217830.8941568126, ""Prophet"": 121020.79061655379, ""Croston"": 109948.41227367248, ""TSB"": 109948.41227367248, ""Ensemble"": 106380.43022784816}"
PC000008;13;Média Móvel;2226,89;[2243.44, 2243.44, 2243.44, 2243.44, 2243.44, 2243.44];0,7;ok;"{""ARIMA"": Infinity, ""ExponentialSmoothing"": Infinity, ""SARIMAX"": Infinity, ""Holt"": Infinity, ""Prophet"": Infinity, ""Croston"": Infinity, ""TSB"": Infinity}"
PC000006;14;Croston;1134,68;[1155.83, 1155.83, 1155.83, 1155.83, 1155.83, 1155.83];1,9;ok;"{""ARIMA"": 16174.153611662381, ""ExponentialSmoothing"": 37240.65860640798, ""SARIMAX"": Infinity, ""Holt"": 17410.97641971578, ""Prophet"": 426762274.6727964, ""Croston"": 7482.8874837189915, ""TSB"": 7482.8874837189915}"
