Vencimento;Valor
2026-08-06;101666,67
2026-08-14;85000,0
2026-08-28;148333,33
2026-09-06;101666,67
2026-09-11;86666,67
2026-09-14;85000,0
2026-09-25;104000,0
2026-09-28;148333,33
2026-10-06;101666,67
2026-10-09;112500,0
2026-10-11;86666,67
2026-10-14;85000,0
2026-10-23;76000,0
2026-10-25;104000,0
2026-10-28;148333,33
2026-11-06;101666,67
2026-11-09;112500,0
2026-11-11;86666,67
2026-11-13;98333,33
2026-11-14;85000,0
2026-11-23;76000,0
2026-11-25;104000,0
2026-11-28;148333,33
2026-12-06;101666,67
2026-12-09;112500,0
2026-12-13;98333,33
2026-12-23;76000,0
2026-12-25;104000,0
2026-12-28;148333,33
2027-01-06;101666,67
2027-01-09;112500,0
2027-01-13;98333,33
2027-01-23;76000,0
2027-01-25;104000,0
2027-01-28;148333,33
2027-02-23;76000,0
