Produto;Descricao;Categoria;Emissao;Quantidade;Vlr.Unitario;Vlr.Total;Custo Total;Promocao;_data_ml;_periodo_ml;_periodo_val
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/01/2021;37,0;7008,51;259349,24;156977,39;0;2021-01-15;2021-01;2021-01
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/02/2021;18,47;7008,51;129438,83;78345,98;0;2021-02-15;2021-02;2021-02
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/03/2021;17,24;7008,51;120818,18;73128,12;0;2021-03-15;2021-03;2021-03
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/04/2021;18,59;7008,51;130321,56;78880,27;0;2021-04-15;2021-04;2021-04
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/05/2021;17,65;7008,51;123680,13;74860,38;0;2021-05-15;2021-05;2021-05
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/06/2021;20,1;7008,51;140901,11;85283,8;0;2021-06-15;2021-06;2021-06
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/07/2021;36,21;7008,51;253795,49;153615,85;0;2021-07-15;2021-07;2021-07
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/08/2021;17,58;7008,51;123235,05;74590,99;0;2021-08-15;2021-08;2021-08
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/09/2021;19,74;7008,51;138339,31;83733,21;0;2021-09-15;2021-09;2021-09
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/10/2021;20,88;7008,51;146343,72;88578,07;0;2021-10-15;2021-10;2021-10
PC000001;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;15/11/2021;23,9;6447,83;154127,07;101401,23;1;2021-11-15;2021-11;2021-11
