Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC004109;48;ExponentialSmoothing;2499087,07;[4792227.04, 2741468.7, 2598121.49, 2515132.52, 2565273.25, 2519750.47];91,8;ok;"{""ARIMA"": 639029094197.5118, ""ExponentialSmoothing"": 34314351276.15187, ""SARIMAX"": 154090147233.33978, ""Holt"": 767110045886.6265, ""Prophet"": 52847266623.349785, ""Croston"": 653693939561.6061, ""TSB"": 653693939561.6061}"
PC008728;48;Prophet;2600846,32;[4679798.6, 2352184.6, 2428384.91, 2362038.26, 2449442.86, 2451734.73];79,9;ok;"{""ARIMA"": 684957505180.9882, ""ExponentialSmoothing"": 21166712995.33278, ""SARIMAX"": 103390653288.75853, ""Holt"": 995604456441.7588, ""Prophet"": 19857792894.69281, ""Croston"": 719828680818.4948, ""TSB"": 719828680818.4948}"
PC008559;48;ARIMA;2233758,52;[2261678.24, 2262085.97, 2262091.92, 2262092.01, 2262092.01, 2262092.01];1,2;ok;"{""ARIMA"": 31326073837.31133, ""ExponentialSmoothing"": 52637140317.094055, ""SARIMAX"": 107046647198.57556, ""Holt"": 40697899314.46133, ""Prophet"": 51049524496.63401, ""Croston"": 34841734584.94397, ""TSB"": 34841734584.94397, ""Ensemble"": 33539943259.694744}"
PC001624;48;ExponentialSmoothing;2127990,98;[2397338.95, 2316654.84, 2459539.15, 2667077.15, 2863217.05, 2911880.07];12,7;ok;"{""ARIMA"": 176184110560.81693, ""ExponentialSmoothing"": 10089024763.726683, ""SARIMAX"": 21420257943.29962, ""Holt"": 162360460087.12253, ""Prophet"": 12968789725.518057, ""Croston"": 51788929376.9029, ""TSB"": 51788929376.9029}"
PC000879;48;Croston;2299075,64;[2268080.02, 2268080.02, 2268080.02, 2268080.02, 2268080.02, 2268080.02];-1,3;ok;"{""ARIMA"": 23741703719.513256, ""ExponentialSmoothing"": 14304079385.233116, ""SARIMAX"": 70826129701.52028, ""Holt"": 3822307661.385994, ""Prophet"": 25677190459.17209, ""Croston"": 2734526831.8807244, ""TSB"": 2734526831.8807244}"
PC003508;48;Croston;2139433,59;[2213199.46, 2213199.46, 2213199.46, 2213199.46, 2213199.46, 2213199.46];3,4;ok;"{""ARIMA"": 236380777640.29428, ""ExponentialSmoothing"": 36702057421.86413, ""SARIMAX"": 93163742842.53352, ""Holt"": 42236745647.3815, ""Prophet"": 37673291539.4519, ""Croston"": 32285240291.068302, ""TSB"": 32285240291.068302, ""Ensemble"": 33074819692.578167}"
PC001007;48;Croston;2034089,2;[1921959.56, 1921959.56, 1921959.56, 1921959.56, 1921959.56, 1921959.56];-5,5;ok;"{""ARIMA"": 47780248047.15634, ""ExponentialSmoothing"": 30885957347.61632, ""SARIMAX"": 98951815558.29399, ""Holt"": 28954227835.837452, ""Prophet"": 43015732396.74681, ""Croston"": 18645055108.914066, ""TSB"": 18645055108.914066}"
PC004564;48;Prophet;1673456,99;[3233919.06, 1718381.92, 1689986.88, 1723482.0, 1668042.52, 1720357.84];93,2;ok;"{""ARIMA"": 299042221785.8958, ""ExponentialSmoothing"": 16131643216.923761, ""SARIMAX"": 63764743625.334076, ""Holt"": 554026655728.1274, ""Prophet"": 15696082330.990362, ""Croston"": 319902972353.2544, ""TSB"": 319902972353.2544}"
PC002178;48;Ensemble;1682588,32;[3016618.04, 1706755.67, 1634772.9, 1756509.06, 1717418.12, 1813935.06];79,3;ok;"{""ARIMA"": 282125991856.5943, ""ExponentialSmoothing"": 23937394685.682972, ""SARIMAX"": 27981693581.887638, ""Holt"": 324791402799.9222, ""Prophet"": 22018668811.88794, ""Croston"": 287817941495.98224, ""TSB"": 287817941495.98224, ""Ensemble"": 19596959247.925385}"
PC007676;48;ExponentialSmoothing;1542201,36;[2809136.29, 1613268.56, 1545382.4, 1495625.05, 1557057.77, 1663199.87];82,2;ok;"{""ARIMA"": 159256963105.69064, ""ExponentialSmoothing"": 7199699341.120201, ""SARIMAX"": 71827820539.76932, ""Holt"": 242748620303.38513, ""Prophet"": 11684126134.431013, ""Croston"": 162235198781.1625, ""TSB"": 162235198781.1625}"
PC000815;48;SARIMAX;1578043,46;[1746228.49, 1864407.59, 1834138.6, 1937851.3, 1902606.23, 1981622.95];10,7;ok;"{""ARIMA"": 44565001511.57827, ""ExponentialSmoothing"": 13536236677.80668, ""SARIMAX"": 10423361410.84344, ""Holt"": 39565181504.071304, ""Prophet"": 11001100711.797829, ""Croston"": 22385300337.537678, ""TSB"": 22385300337.537678, ""Ensemble"": 10779878918.018942}"
PC006612;48;Prophet;1384837,26;[2777373.93, 1440596.17, 1449190.69, 1536581.66, 1458834.38, 1562084.07];100,6;ok;"{""ARIMA"": 375624640128.4421, ""ExponentialSmoothing"": 47993275991.96448, ""SARIMAX"": 125138396480.9989, ""Holt"": 474896396595.39764, ""Prophet"": 34627800584.81228, ""Croston"": 394277890604.813, ""TSB"": 394277890604.813}"
PC008084;48;Ensemble;1563718,35;[1650313.6, 1715524.05, 1710424.9, 1773050.34, 1755866.26, 1839409.1];5,5;ok;"{""ARIMA"": 229247933340.04785, ""ExponentialSmoothing"": 18452402816.891743, ""SARIMAX"": 41246780723.052216, ""Holt"": 143150209808.16882, ""Prophet"": 32273813599.24635, ""Croston"": 21124017372.44069, ""TSB"": 21124017372.44069, ""Ensemble"": 16496562890.724785}"
PC008962;48;Ensemble;1341801,89;[2749543.0, 1366293.92, 1417931.48, 1482640.33, 1439580.04, 1474236.98];104,9;ok;"{""ARIMA"": 230866892184.7225, ""ExponentialSmoothing"": 14577256442.87468, ""SARIMAX"": 16169981746.320433, ""Holt"": 276490300847.36017, ""Prophet"": 14600389161.622656, ""Croston"": 244050614957.44778, ""TSB"": 244050614957.44778, ""Ensemble"": 13005146956.499594}"
PC007693;48;ExponentialSmoothing;1340482,78;[2344773.44, 1209494.05, 1264840.79, 1215131.29, 1263232.04, 1197164.01];74,9;ok;"{""ARIMA"": 147306183183.16702, ""ExponentialSmoothing"": 9315681044.167913, ""SARIMAX"": 15102266662.718634, ""Holt"": 187200822977.74655, ""Prophet"": 11698183023.187277, ""Croston"": 152763989469.298, ""TSB"": 152763989469.298}"
PC004689;48;Ensemble;1553140,71;[1455095.42, 1495240.19, 1494936.3, 1523740.89, 1456610.0, 1486074.4];-6,3;ok;"{""ARIMA"": 9452214896.006575, ""ExponentialSmoothing"": 7401315059.301624, ""SARIMAX"": 10308859564.374605, ""Holt"": 7816361830.03777, ""Prophet"": 11103897286.187458, ""Croston"": 8474434962.264909, ""TSB"": 8474434962.264909, ""Ensemble"": 5521903361.423047}"
PC003117;48;ExponentialSmoothing;1028992,91;[1171488.5, 1175521.02, 1338071.39, 1315810.88, 1338084.32, 1565486.46];13,8;ok;"{""ARIMA"": 34378267487.74503, ""ExponentialSmoothing"": 4651908360.064586, ""SARIMAX"": 27491534604.71875, ""Holt"": 27479649584.033764, ""Prophet"": 5558129427.078458, ""Croston"": 15837198414.957525, ""TSB"": 15837198414.957525}"
PC007791;48;Prophet;1317912,61;[1298385.13, 1310756.35, 1309544.96, 1333847.82, 1330386.11, 1345433.16];-1,5;ok;"{""ARIMA"": 15143046835.5196, ""ExponentialSmoothing"": 10261848610.86907, ""SARIMAX"": 15823704252.518679, ""Holt"": 9757110230.013884, ""Prophet"": 7122090196.975184, ""Croston"": 8091394778.450367, ""TSB"": 8091394778.450367, ""Ensemble"": 7279346286.924294}"
PC003771;48;Croston;1299780,86;[1295922.67, 1295922.67, 1295922.67, 1295922.67, 1295922.67, 1295922.67];-0,3;ok;"{""ARIMA"": 24256215988.903233, ""ExponentialSmoothing"": 12285892322.237432, ""SARIMAX"": 15815212136.057444, ""Holt"": 12915299124.280724, ""Prophet"": 10088796070.892694, ""Croston"": 8049542976.460297, ""TSB"": 8049542976.460297, ""Ensemble"": 8060671468.276427}"
PC008785;48;Prophet;1080901,16;[1995522.64, 1154223.45, 1107213.84, 1107791.42, 1135552.31, 1169898.84];84,6;ok;"{""ARIMA"": 108296623866.0661, ""ExponentialSmoothing"": 3929624746.453299, ""SARIMAX"": 67279432816.2463, ""Holt"": 103481542570.94562, ""Prophet"": 3277792065.0360093, ""Croston"": 101468953501.55597, ""TSB"": 101468953501.55597}"
PC001677;48;ExponentialSmoothing;940047,78;[1121323.32, 1141312.53, 1214670.86, 1266816.21, 1285968.79, 1301853.15];19,3;ok;"{""ARIMA"": 22101051979.929485, ""ExponentialSmoothing"": 4667289127.620242, ""SARIMAX"": 19325244399.90164, ""Holt"": 24782571036.77654, ""Prophet"": 7827047000.727664, ""Croston"": 20047265789.01684, ""TSB"": 20047265789.01684}"
PC007252;48;SARIMAX;974804,29;[1825128.13, 844862.75, 833031.55, 888240.22, 974070.97, 805999.36];87,2;ok;"{""ARIMA"": 91177674927.92332, ""ExponentialSmoothing"": 6099779386.663346, ""SARIMAX"": 3171770947.6749516, ""Holt"": 99255820771.38506, ""Prophet"": 4358947051.53721, ""Croston"": 95207022444.59845, ""TSB"": 95207022444.59845}"
PC002074;48;SARIMAX;1102692,44;[1244644.65, 1230961.49, 1133697.31, 1184384.2, 1255230.23, 1239724.35];12,9;ok;"{""ARIMA"": 8463031086.336665, ""ExponentialSmoothing"": 13885049303.73311, ""SARIMAX"": 5264166677.211098, ""Holt"": 7956732091.994906, ""Prophet"": 12538212758.779625, ""Croston"": 7992821343.129059, ""TSB"": 7992821343.129059}"
PC004212;48;SARIMAX;1073137,17;[1136977.35, 1176533.9, 1139357.8, 1164155.01, 1156077.82, 1174164.34];5,9;ok;"{""ARIMA"": 7113298872.181745, ""ExponentialSmoothing"": 3301302806.6970406, ""SARIMAX"": 1945494284.2504292, ""Holt"": 7238957585.222766, ""Prophet"": 2353541931.2080703, ""Croston"": 7145406057.91125, ""TSB"": 7145406057.91125}"
PC009924;48;ExponentialSmoothing;960206,18;[1862678.82, 953736.06, 977365.67, 945867.23, 933726.37, 1014348.8];94,0;ok;"{""ARIMA"": 92861219227.42393, ""ExponentialSmoothing"": 8023424075.740363, ""SARIMAX"": 13565948482.24475, ""Holt"": 150717156005.0834, ""Prophet"": 12379806442.082415, ""Croston"": 97744333460.37366, ""TSB"": 97744333460.37366}"
