Ano;Mês;Conta;Valor;Filial
2024;Abr;Aplicações Financeiras;696451;(Todas as filiais)
2024;Abr;Caixa e Bancos;449466,2;Loja Centro
2024;Abr;Caixa e Bancos;225610,11;Loja Norte
2024;Abr;Caixa e Bancos;310938,76;Loja Sul
2024;Abr;Capital Social;2048385;(Todas as filiais)
2024;Abr;Clientes;754289,31;Loja Centro
2024;Abr;Clientes;374700,88;Loja Norte
2024;Abr;Clientes;527513,95;Loja Sul
2024;Abr;Empréstimos CP;614516;(Todas as filiais)
2024;Abr;Empréstimos LP;1802579;(Todas as filiais)
2024;Abr;Estoques;352268,4;Loja Centro
2024;Abr;Estoques;174792,34;Loja Norte
2024;Abr;Estoques;245974,78;Loja Sul
2024;Abr;Fornecedores;427869,37;Loja Centro
2024;Abr;Fornecedores;212710,26;Loja Norte
2024;Abr;Fornecedores;298097,72;Loja Sul
2024;Abr;Imobilizado;3441287;(Todas as filiais)
2024;Abr;Impostos a Recolher;126193,65;Loja Centro
2024;Abr;Impostos a Recolher;63389,12;Loja Norte
2024;Abr;Impostos a Recolher;87938,9;Loja Sul
2024;Abr;Impostos a Recuperar;43065,83;Loja Centro
2024;Abr;Impostos a Recuperar;21650,84;Loja Norte
2024;Abr;Impostos a Recuperar;29940,27;Loja Sul
2024;Abr;Lucros Acumulados;1065160;(Todas as filiais)
2024;Abr;Reservas;802967;(Todas as filiais)
2024;Abr;Resultado Exercício;0;(Todas as filiais)
2024;Abr;Salários e Encargos;104414,4;Loja Centro
2024;Abr;Salários e Encargos;52005,3;Loja Norte
2024;Abr;Salários e Encargos;72127,74;Loja Sul
2024;Ago;Aplicações Financeiras;719006;(Todas as filiais)
2024;Ago;Caixa e Bancos;494739,03;Loja Centro
2024;Ago;Caixa e Bancos;248026,29;Loja Norte
2024;Ago;Caixa e Bancos;345680,82;Loja Sul
2024;Ago;Capital Social;2114724;(Todas as filiais)
2024;Ago;Clientes;830737,9;Loja Centro
2024;Ago;Clientes;420021,84;Loja Norte
