Ano;Mês;Conta;Valor;Filial
2024;Abr;Aplicações Financeiras;16903601,95;(Todas as filiais)
2024;Abr;Caixa e Bancos;9774692,69;Loja Centro
2024;Abr;Caixa e Bancos;6625623,01;Loja Norte
2024;Abr;Caixa e Bancos;7564798,49;Loja Sul
2024;Abr;Capital Social;49716469,17;(Todas as filiais)
2024;Abr;Clientes;16403783,43;Loja Centro
2024;Abr;Clientes;11004058,17;Loja Norte
2024;Abr;Clientes;12833834,97;Loja Sul
2024;Abr;Empréstimos CP;14914952,89;(Todas as filiais)
2024;Abr;Empréstimos LP;43750497,73;(Todas as filiais)
2024;Abr;Estoques;7660899,43;Loja Centro
2024;Abr;Estoques;5133228,07;Loja Norte
2024;Abr;Estoques;5984296,21;Loja Sul
2024;Abr;Fornecedores;11555733,4;Loja Centro
2024;Abr;Fornecedores;8052976,56;Loja Norte
2024;Abr;Fornecedores;9052511;Loja Sul
2024;Abr;Imobilizado;83523673,06;(Todas as filiais)
2024;Abr;Impostos a Recolher;2744375,77;Loja Centro
2024;Abr;Impostos a Recolher;1861585,07;Loja Norte
2024;Abr;Impostos a Recolher;2139456,84;Loja Sul
2024;Abr;Impostos a Recuperar;936567,1;Loja Centro
2024;Abr;Impostos a Recuperar;635832,78;Loja Norte
2024;Abr;Impostos a Recuperar;728413,88;Loja Sul
2024;Abr;Lucros Acumulados;25852559,12;(Todas as filiais)
2024;Abr;Reservas;19488857,86;(Todas as filiais)
2024;Abr;Resultado Exercício;0;(Todas as filiais)
2024;Abr;Salários e Encargos;2270735,09;Loja Centro
2024;Abr;Salários e Encargos;1527269,82;Loja Norte
2024;Abr;Salários e Encargos;1754788,69;Loja Sul
2024;Ago;Aplicações Financeiras;14801228,06;(Todas as filiais)
2024;Ago;Caixa e Bancos;9154071,68;Loja Centro
2024;Ago;Caixa e Bancos;6083589,86;Loja Norte
2024;Ago;Caixa e Bancos;7183533,48;Loja Sul
2024;Ago;Capital Social;43533033,4;(Todas as filiais)
2024;Ago;Clientes;15371001,32;Loja Centro
2024;Ago;Clientes;10302297,42;Loja Norte
2024;Ago;Clientes;12007777,23;Loja Sul
2024;Ago;Empréstimos CP;13059905,9;(Todas as filiais)
2024;Ago;Empréstimos LP;38309066,92;(Todas as filiais)
2024;Ago;Estoques;7209718,73;Loja Centro
2024;Ago;Estoques;4759703,84;Loja Norte
2024;Ago;Estoques;5603242,36;Loja Sul
2024;Ago;Fornecedores;10136793,89;Loja Centro
2024;Ago;Fornecedores;6894522,71;Loja Norte
2024;Ago;Fornecedores;7839703,64;Loja Sul
2024;Ago;Imobilizado;73135510,1;(Todas as filiais)
2024;Ago;Impostos a Recolher;2369164,03;Loja Centro
2024;Ago;Impostos a Recolher;1590806,14;Loja Norte
2024;Ago;Impostos a Recolher;1866261,28;Loja Sul
2024;Ago;Impostos a Recuperar;884030,38;Loja Centro
2024;Ago;Impostos a Recuperar;579785,6;Loja Norte
2024;Ago;Impostos a Recuperar;687331,48;Loja Sul
2024;Ago;Lucros Acumulados;22637188,07;(Todas as filiais)
2024;Ago;Reservas;17064953,04;(Todas as filiais)
2024;Ago;Resultado Exercício;0;(Todas as filiais)
2024;Ago;Salários e Encargos;1941908,91;Loja Centro
2024;Ago;Salários e Encargos;1320827,13;Loja Norte
2024;Ago;Salários e Encargos;1538113,93;Loja Sul
2024;Dez;Aplicações Financeiras;24619690,91;(Todas as filiais)
2024;Dez;Caixa e Bancos;14600062,5;Loja Centro
2024;Dez;Caixa e Bancos;9304182,6;Loja Norte
2024;Dez;Caixa e Bancos;11487696,19;Loja Sul
2024;Dez;Capital Social;72410863,42;(Todas as filiais)
2024;Dez;Clientes;24478989,08;Loja Centro
2024;Dez;Clientes;15857510,65;Loja Norte
2024;Dez;Clientes;19159013,92;Loja Sul
2024;Dez;Empréstimos CP;21723272,29;(Todas as filiais)
2024;Dez;Empréstimos LP;63721541,23;(Todas as filiais)
2024;Dez;Estoques;11367458,2;Loja Centro
2024;Dez;Estoques;7473100,88;Loja Norte
2024;Dez;Estoques;8940729,14;Loja Sul
2024;Dez;Fornecedores;18035037,28;Loja Centro
2024;Dez;Fornecedores;12531913,26;Loja Norte
2024;Dez;Fornecedores;14038785,03;Loja Sul
2024;Dez;Imobilizado;121650245,2;(Todas as filiais)
2024;Dez;Impostos a Recolher;4205154,26;Loja Centro
2024;Dez;Impostos a Recolher;2744612,2;Loja Norte
2024;Dez;Impostos a Recolher;3274888,24;Loja Sul
2024;Dez;Impostos a Recuperar;1392630,9;Loja Centro
2024;Dez;Impostos a Recuperar;905486,64;Loja Norte
2024;Dez;Impostos a Recuperar;1102262,84;Loja Sul
2024;Dez;Lucros Acumulados;37653641,02;(Todas as filiais)
2024;Dez;Reservas;28385055,01;(Todas as filiais)
2024;Dez;Resultado Exercício;0;(Todas as filiais)
2024;Dez;Salários e Encargos;3482659,56;Loja Centro
2024;Dez;Salários e Encargos;2233071,18;Loja Norte
2024;Dez;Salários e Encargos;2698499,8;Loja Sul
2024;Fev;Aplicações Financeiras;16937126,76;(Todas as filiais)
2024;Fev;Caixa e Bancos;10162973,86;Loja Centro
2024;Fev;Caixa e Bancos;6604590,83;Loja Norte
2024;Fev;Caixa e Bancos;7866816,94;Loja Sul
2024;Fev;Capital Social;49815078,71;(Todas as filiais)
2024;Fev;Clientes;17104253,1;Loja Centro
2024;Fev;Clientes;11002874,97;Loja Norte
2024;Fev;Clientes;13261917,9;Loja Sul
2024;Fev;Empréstimos CP;14944523,61;(Todas as filiais)
2024;Fev;Empréstimos LP;43837269,27;(Todas as filiais)
2024;Fev;Estoques;7921442,1;Loja Centro
2024;Fev;Estoques;5226523,61;Loja Norte
2024;Fev;Estoques;6177473,44;Loja Sul
2024;Fev;Fornecedores;12197656,12;Loja Centro
2024;Fev;Fornecedores;8258886,6;Loja Norte
2024;Fev;Fornecedores;9304356,89;Loja Sul
2024;Fev;Imobilizado;83689332,23;(Todas as filiais)
2024;Fev;Impostos a Recolher;2871316,81;Loja Centro
2024;Fev;Impostos a Recolher;1835828,31;Loja Norte
2024;Fev;Impostos a Recolher;2228111,49;Loja Sul
2024;Fev;Impostos a Recuperar;992045,21;Loja Centro
2024;Fev;Impostos a Recuperar;618834,32;Loja Norte
2024;Fev;Impostos a Recuperar;750027,25;Loja Sul
2024;Fev;Lucros Acumulados;25903840,93;(Todas as filiais)
2024;Fev;Reservas;19527510,85;(Todas as filiais)
2024;Fev;Resultado Exercício;0;(Todas as filiais)
2024;Fev;Salários e Encargos;2340943,15;Loja Centro
2024;Fev;Salários e Encargos;1542823,23;Loja Norte
2024;Fev;Salários e Encargos;1834683,77;Loja Sul
2024;Jan;Aplicações Financeiras;16469963,64;(Todas as filiais)
2024;Jan;Caixa e Bancos;9879363,67;Loja Centro
2024;Jan;Caixa e Bancos;6630539,61;Loja Norte
2024;Jan;Caixa e Bancos;7730191,09;Loja Sul
2024;Jan;Capital Social;48441069,54;(Todas as filiais)
2024;Jan;Clientes;16647331,82;Loja Centro
2024;Jan;Clientes;10821419,57;Loja Norte
2024;Jan;Clientes;13204280,08;Loja Sul
2024;Jan;Empréstimos CP;14532320,86;(Todas as filiais)
2024;Jan;Empréstimos LP;42628141,19;(Todas as filiais)
2024;Jan;Estoques;7781742,72;Loja Centro
2024;Jan;Estoques;5107824,72;Loja Norte
2024;Jan;Estoques;6097272,48;Loja Sul
2024;Jan;Fornecedores;11208255,93;Loja Centro
2024;Jan;Fornecedores;7973808,59;Loja Norte
2024;Jan;Fornecedores;8932996,31;Loja Sul
2024;Jan;Imobilizado;81380996,82;(Todas as filiais)
2024;Jan;Impostos a Recolher;2689935,62;Loja Centro
2024;Jan;Impostos a Recolher;1785825,07;Loja Norte
2024;Jan;Impostos a Recolher;2114750,16;Loja Sul
2024;Jan;Impostos a Recuperar;948046,27;Loja Centro
2024;Jan;Impostos a Recuperar;627063,45;Loja Norte
2024;Jan;Impostos a Recuperar;750698,62;Loja Sul
2024;Jan;Lucros Acumulados;25189356,16;(Todas as filiais)
2024;Jan;Reservas;18988899,26;(Todas as filiais)
2024;Jan;Resultado Exercício;0;(Todas as filiais)
2024;Jan;Salários e Encargos;2219847,03;Loja Centro
2024;Jan;Salários e Encargos;1457187,84;Loja Norte
2024;Jan;Salários e Encargos;1747964,39;Loja Sul
2024;Jul;Aplicações Financeiras;15243198,13;(Todas as filiais)
2024;Jul;Caixa e Bancos;9158764,78;Loja Centro
2024;Jul;Caixa e Bancos;6038205,26;Loja Norte
2024;Jul;Caixa e Bancos;7214475,77;Loja Sul
2024;Jul;Capital Social;44832931,91;(Todas as filiais)
2024;Jul;Clientes;15491418,22;Loja Centro
2024;Jul;Clientes;10102597,57;Loja Norte
2024;Jul;Clientes;12038189,72;Loja Sul
2024;Jul;Empréstimos CP;13449873,16;(Todas as filiais)
2024;Jul;Empréstimos LP;39452978,37;(Todas as filiais)
2024;Jul;Estoques;7170540,77;Loja Centro
2024;Jul;Estoques;4672023,51;Loja Norte
2024;Jul;Estoques;5721021,72;Loja Sul
2024;Jul;Fornecedores;10048054,62;Loja Centro
2024;Jul;Fornecedores;7025275,2;Loja Norte
2024;Jul;Fornecedores;7994917,56;Loja Sul
2024;Jul;Imobilizado;75319306,8;(Todas as filiais)
2024;Jul;Impostos a Recolher;2462193,27;Loja Centro
2024;Jul;Impostos a Recolher;1610198,48;Loja Norte
2024;Jul;Impostos a Recolher;1941479,66;Loja Sul
2024;Jul;Impostos a Recuperar;876139,13;Loja Centro
2024;Jul;Impostos a Recuperar;580160,07;Loja Norte
2024;Jul;Impostos a Recuperar;695661,87;Loja Sul
2024;Jul;Lucros Acumulados;23313117,75;(Todas as filiais)
2024;Jul;Reservas;17574512,04;(Todas as filiais)
2024;Jul;Resultado Exercício;0;(Todas as filiais)
2024;Jul;Salários e Encargos;2023824,94;Loja Centro
2024;Jul;Salários e Encargos;1323664,19;Loja Norte
2024;Jul;Salários e Encargos;1605281,09;Loja Sul
2024;Jun;Aplicações Financeiras;15788313,65;(Todas as filiais)
2024;Jun;Caixa e Bancos;9405830,23;Loja Centro
2024;Jun;Caixa e Bancos;6146048,45;Loja Norte
2024;Jun;Caixa e Bancos;7168227,35;Loja Sul
2024;Jun;Capital Social;46436190,38;(Todas as filiais)
2024;Jun;Clientes;15788533,15;Loja Centro
2024;Jun;Clientes;10363914,41;Loja Norte
2024;Jun;Clientes;12024569,18;Loja Sul
2024;Jun;Empréstimos CP;13930857,11;(Todas as filiais)
2024;Jun;Empréstimos LP;40863843,07;(Todas as filiais)
2024;Jun;Estoques;7330396,79;Loja Centro
2024;Jun;Estoques;4755347,6;Loja Norte
2024;Jun;Estoques;5722063,4;Loja Sul
2024;Jun;Fornecedores;11075500,28;Loja Centro
2024;Jun;Fornecedores;7838996,63;Loja Norte
2024;Jun;Fornecedores;8688005,24;Loja Sul
2024;Jun;Imobilizado;78012817,69;(Todas as filiais)
2024;Jun;Impostos a Recolher;2699784;Loja Centro
2024;Jun;Impostos a Recolher;1762269,23;Loja Norte
2024;Jun;Impostos a Recolher;2119337,35;Loja Sul
2024;Jun;Impostos a Recuperar;899833,23;Loja Centro
2024;Jun;Impostos a Recuperar;581942,13;Loja Norte
2024;Jun;Impostos a Recuperar;698479,91;Loja Sul
2024;Jun;Lucros Acumulados;24146823,46;(Todas as filiais)
2024;Jun;Reservas;18202993,77;(Todas as filiais)
2024;Jun;Resultado Exercício;0;(Todas as filiais)
2024;Jun;Salários e Encargos;2242351,88;Loja Centro
2024;Jun;Salários e Encargos;1490715,68;Loja Norte
2024;Jun;Salários e Encargos;1690796,5;Loja Sul
2024;Mai;Aplicações Financeiras;16434726,66;(Todas as filiais)
2024;Mai;Caixa e Bancos;9862485,92;Loja Centro
2024;Mai;Caixa e Bancos;6305769,63;Loja Norte
2024;Mai;Caixa e Bancos;7644073,63;Loja Sul
2024;Mai;Capital Social;48337395,56;(Todas as filiais)
2024;Mai;Clientes;16571638,06;Loja Centro
2024;Mai;Clientes;10486820,74;Loja Norte
2024;Mai;Clientes;12932302,49;Loja Sul
2024;Mai;Empréstimos CP;14501228,03;(Todas as filiais)
2024;Mai;Empréstimos LP;42536899,67;(Todas as filiais)
2024;Mai;Estoques;7750407,43;Loja Centro
2024;Mai;Estoques;4949271,41;Loja Norte
2024;Mai;Estoques;5968015,9;Loja Sul
2024;Mai;Fornecedores;11373175,23;Loja Centro
2024;Mai;Fornecedores;7800167,26;Loja Norte
2024;Mai;Fornecedores;8582311;Loja Sul
2024;Mai;Imobilizado;81206825,48;(Todas as filiais)
2024;Mai;Impostos a Recolher;2762095,87;Loja Centro
2024;Mai;Impostos a Recolher;1732522,87;Loja Norte
2024;Mai;Impostos a Recolher;2144041,98;Loja Sul
2024;Mai;Impostos a Recuperar;951350,91;Loja Centro
2024;Mai;Impostos a Recuperar;601056,16;Loja Norte
2024;Mai;Impostos a Recuperar;732552,3;Loja Sul
2024;Mai;Lucros Acumulados;25135435,39;(Todas as filiais)
2024;Mai;Reservas;18948267,86;(Todas as filiais)
2024;Mai;Resultado Exercício;0;(Todas as filiais)
2024;Mai;Salários e Encargos;2262370;Loja Centro
2024;Mai;Salários e Encargos;1461652,96;Loja Norte
2024;Mai;Salários e Encargos;1748840,72;Loja Sul
2024;Mar;Aplicações Financeiras;17094725,59;(Todas as filiais)
2024;Mar;Caixa e Bancos;9881718,35;Loja Centro
2024;Mar;Caixa e Bancos;6615596,56;Loja Norte
2024;Mar;Caixa e Bancos;7722034,78;Loja Sul
2024;Mar;Capital Social;50278569,73;(Todas as filiais)
2024;Mar;Clientes;16763361,62;Loja Centro
2024;Mar;Clientes;10939701,06;Loja Norte
2024;Mar;Clientes;12939812,78;Loja Sul
2024;Mar;Empréstimos CP;15083561,02;(Todas as filiais)
2024;Mar;Empréstimos LP;44245150,27;(Todas as filiais)
2024;Mar;Estoques;7785752,63;Loja Centro
2024;Mar;Estoques;5111541,85;Loja Norte
2024;Mar;Estoques;6074734,7;Loja Sul
2024;Mar;Fornecedores;11750627,35;Loja Centro
2024;Mar;Fornecedores;8099794,71;Loja Norte
2024;Mar;Fornecedores;8999911,41;Loja Sul
2024;Mar;Imobilizado;84467996,16;(Todas as filiais)
2024;Mar;Impostos a Recolher;2801470,76;Loja Centro
2024;Mar;Impostos a Recolher;1821867,55;Loja Norte
2024;Mar;Impostos a Recolher;2165274,7;Loja Sul
2024;Mar;Impostos a Recuperar;947054,76;Loja Centro
2024;Mar;Impostos a Recuperar;637361,56;Loja Norte
2024;Mar;Impostos a Recuperar;741169,19;Loja Sul
2024;Mar;Lucros Acumulados;26144867,15;(Todas as filiais)
2024;Mar;Reservas;19709194,98;(Todas as filiais)
2024;Mar;Resultado Exercício;0;(Todas as filiais)
2024;Mar;Salários e Encargos;2284974,9;Loja Centro
2024;Mar;Salários e Encargos;1514878,52;Loja Norte
2024;Mar;Salários e Encargos;1795589,37;Loja Sul
2024;Nov;Aplicações Financeiras;20631441,04;(Todas as filiais)
2024;Nov;Caixa e Bancos;12241398,23;Loja Centro
2024;Nov;Caixa e Bancos;7953275,89;Loja Norte
2024;Nov;Caixa e Bancos;9555962,57;Loja Sul
2024;Nov;Capital Social;60680700,7;(Todas as filiais)
2024;Nov;Clientes;20657286,63;Loja Centro
2024;Nov;Clientes;13319141,09;Loja Norte
2024;Nov;Clientes;15988815,14;Loja Sul
2024;Nov;Empréstimos CP;18204196,2;(Todas as filiais)
2024;Nov;Empréstimos LP;53398994,2;(Todas as filiais)
2024;Nov;Estoques;9633452,97;Loja Centro
2024;Nov;Estoques;6187961,96;Loja Norte
2024;Nov;Estoques;7492813,95;Loja Sul
2024;Nov;Fornecedores;15478768,21;Loja Centro
2024;Nov;Fornecedores;10594189;Loja Norte
2024;Nov;Fornecedores;12013442,36;Loja Sul
2024;Nov;Imobilizado;101943554,8;(Todas as filiais)
2024;Nov;Impostos a Recolher;3574603,08;Loja Centro
2024;Nov;Impostos a Recolher;2291521,37;Loja Norte
2024;Nov;Impostos a Recolher;2790501,22;Loja Sul
2024;Nov;Impostos a Recuperar;1173049,62;Loja Centro
2024;Nov;Impostos a Recuperar;763597,71;Loja Norte
2024;Nov;Impostos a Recuperar;919650,57;Loja Sul
2024;Nov;Lucros Acumulados;31553958,76;(Todas as filiais)
2024;Nov;Reservas;23786836,91;(Todas as filiais)
2024;Nov;Resultado Exercício;0;(Todas as filiais)
2024;Nov;Salários e Encargos;2943805,2;Loja Centro
2024;Nov;Salários e Encargos;1903519,35;Loja Norte
2024;Nov;Salários e Encargos;2283818,08;Loja Sul
2024;Out;Aplicações Financeiras;14712752,13;(Todas as filiais)
2024;Out;Caixa e Bancos;8915984,49;Loja Centro
2024;Out;Caixa e Bancos;5854281,97;Loja Norte
2024;Out;Caixa e Bancos;6924278,82;Loja Sul
2024;Out;Capital Social;43272818,16;(Todas as filiais)
2024;Out;Clientes;14865458,5;Loja Centro
2024;Out;Clientes;9889457,16;Loja Norte
2024;Out;Clientes;11713850,18;Loja Sul
2024;Out;Empréstimos CP;12981855,52;(Todas as filiais)
2024;Out;Empréstimos LP;38080088,03;(Todas as filiais)
2024;Out;Estoques;7012440,58;Loja Centro
2024;Out;Estoques;4601561,74;Loja Norte
2024;Out;Estoques;5393496,93;Loja Sul
2024;Out;Fornecedores;10681326,22;Loja Centro
2024;Out;Fornecedores;7406687,76;Loja Norte
2024;Out;Fornecedores;8371339,25;Loja Sul
2024;Out;Imobilizado;72698342,56;(Todas as filiais)
2024;Out;Impostos a Recolher;2485981,12;Loja Centro
2024;Out;Impostos a Recolher;1667142,98;Loja Norte
2024;Out;Impostos a Recolher;1952111,6;Loja Sul
2024;Out;Impostos a Recuperar;854304,54;Loja Centro
2024;Out;Impostos a Recuperar;558039,74;Loja Norte
2024;Out;Impostos a Recuperar;669940,04;Loja Sul
2024;Out;Lucros Acumulados;22501857,39;(Todas as filiais)
2024;Out;Reservas;16962935,86;(Todas as filiais)
2024;Out;Resultado Exercício;0;(Todas as filiais)
2024;Out;Salários e Encargos;2055671,23;Loja Centro
2024;Out;Salários e Encargos;1346438,43;Loja Norte
2024;Out;Salários e Encargos;1620792,27;Loja Sul
2024;Set;Aplicações Financeiras;14568402,95;(Todas as filiais)
2024;Set;Caixa e Bancos;8662653,06;Loja Centro
2024;Set;Caixa e Bancos;5924184,27;Loja Norte
2024;Set;Caixa e Bancos;6797283,79;Loja Sul
