Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC001173;48;Prophet;439708,54;[462070.55, 462059.84, 449418.96, 445837.18, 482499.07, 477896.76];5,1;ok;"{""ARIMA"": 2083020883.2812893, ""ExponentialSmoothing"": 1421941861.210005, ""SARIMAX"": 1408620203.5849545, ""Holt"": 2126311190.3211977, ""Prophet"": 1193890396.05127, ""Croston"": 2872709477.430823, ""TSB"": 2872709477.430823, ""Ensemble"": 1276076523.2451878}"
PC002592;48;Prophet;336417,7;[331388.7, 344525.37, 333837.75, 397869.36, 392454.79, 409636.05];-1,5;ok;"{""ARIMA"": 2584099557.79443, ""ExponentialSmoothing"": 132773051.38725348, ""SARIMAX"": 399454072.84075195, ""Holt"": 2634821779.898592, ""Prophet"": 56024109.884842515, ""Croston"": 714279305.9536719, ""TSB"": 714279305.9536719}"
PC002709;48;ARIMA;284417,47;[281459.43, 281621.89, 281612.97, 281613.46, 281613.43, 281613.43];-1,0;ok;"{""ARIMA"": 85294622.02209929, ""ExponentialSmoothing"": 104614439.85906811, ""SARIMAX"": 268635987.79162025, ""Holt"": 117781006.83456765, ""Prophet"": 177780245.23795572, ""Croston"": 88615619.17955242, ""TSB"": 88615619.17955242, ""Ensemble"": 86975117.21041442}"
PC003083;48;Prophet;225316,31;[263294.31, 247770.35, 262060.5, 286294.8, 295791.8, 302883.85];16,9;ok;"{""ARIMA"": 3389757680.045653, ""ExponentialSmoothing"": 354967176.47386354, ""SARIMAX"": 694181843.3664516, ""Holt"": 2250463069.11557, ""Prophet"": 338973681.38940865, ""Croston"": 871373804.3404932, ""TSB"": 871373804.3404932}"
PC000960;48;Holt;236657,72;[250354.35, 250219.48, 250111.58, 250025.26, 249956.2, 249900.95];5,8;ok;"{""ARIMA"": 441721451.975074, ""ExponentialSmoothing"": 230971497.72692737, ""SARIMAX"": 448342351.440217, ""Holt"": 148526415.13501355, ""Prophet"": 212522867.90382385, ""Croston"": 150163204.8112633, ""TSB"": 150163204.8112633, ""Ensemble"": 149605305.7714611}"
PC000661;48;Ensemble;217697,23;[238123.74, 237516.11, 240833.19, 254065.57, 259794.84, 259404.9];9,4;ok;"{""ARIMA"": 1348810935.2447364, ""ExponentialSmoothing"": 153594213.6516151, ""SARIMAX"": 503183992.08942884, ""Holt"": 1160320262.9848754, ""Prophet"": 215756278.31617966, ""Croston"": 190570957.91211525, ""TSB"": 190570957.91211525, ""Ensemble"": 108445656.38182604}"
PC005395;48;Prophet;221437,89;[197096.72, 201329.07, 196849.33, 204193.37, 204888.76, 207920.22];-11,0;ok;"{""ARIMA"": 378016096.7493825, ""ExponentialSmoothing"": 335520876.5517848, ""SARIMAX"": 762724995.0155491, ""Holt"": 271248496.834343, ""Prophet"": 184537641.51166224, ""Croston"": 264352238.9040948, ""TSB"": 264352238.9040948}"
PC008800;48;ExponentialSmoothing;185868,9;[332705.48, 165531.48, 156727.59, 163424.61, 178964.5, 195753.86];79,0;ok;"{""ARIMA"": 3031006134.73588, ""ExponentialSmoothing"": 435088024.37621135, ""SARIMAX"": 552385418.2172164, ""Holt"": 3584382952.9161854, ""Prophet"": 633424347.212535, ""Croston"": 3101858628.844549, ""TSB"": 3101858628.844549}"
PC004563;48;Prophet;171379,67;[178733.01, 184015.95, 189201.15, 213508.92, 216222.7, 211083.89];4,3;ok;"{""ARIMA"": 1826602069.8914099, ""ExponentialSmoothing"": 163404878.81997797, ""SARIMAX"": 734895050.5503292, ""Holt"": 1398079024.2761052, ""Prophet"": 92730832.64383613, ""Croston"": 249574945.89364803, ""TSB"": 249574945.89364803}"
PC001450;48;ARIMA;188435,96;[189264.47, 189452.48, 189495.15, 189504.83, 189507.03, 189507.53];0,4;ok;"{""ARIMA"": 50318715.912544094, ""ExponentialSmoothing"": 99690785.3618015, ""SARIMAX"": 179984855.5362773, ""Holt"": 176829293.13493934, ""Prophet"": 182687897.71906185, ""Croston"": 76554589.94437426, ""TSB"": 76554589.94437426}"
PC000672;48;SARIMAX;164330,47;[325587.05, 170105.6, 182469.86, 171774.78, 171668.69, 195919.34];98,1;ok;"{""ARIMA"": 3960076673.728865, ""ExponentialSmoothing"": 828685856.1794575, ""SARIMAX"": 546456999.7708516, ""Holt"": 4988379688.3875265, ""Prophet"": 760798540.0906545, ""Croston"": 3957873980.7793865, ""TSB"": 3957873980.7793865}"
PC003019;48;ExponentialSmoothing;157815,79;[287711.7, 158301.47, 150302.05, 142706.29, 140861.54, 160234.73];82,3;ok;"{""ARIMA"": 1924070210.9144328, ""ExponentialSmoothing"": 323426369.1042039, ""SARIMAX"": 363614709.4622734, ""Holt"": 2488006722.7063594, ""Prophet"": 422019002.36319375, ""Croston"": 1940537365.0306137, ""TSB"": 1940537365.0306137}"
PC003925;48;ExponentialSmoothing;135764,1;[247275.79, 129469.15, 140825.14, 133017.59, 133591.84, 130350.2];82,1;ok;"{""ARIMA"": 1793178255.460552, ""ExponentialSmoothing"": 102224121.7386675, ""SARIMAX"": 601322262.2042246, ""Holt"": 2298267815.2794538, ""Prophet"": 164631190.08636707, ""Croston"": 1844195955.0066397, ""TSB"": 1844195955.0066397}"
PC002154;48;Prophet;104420,49;[237396.17, 126821.25, 126595.38, 127123.74, 135793.12, 123463.12];127,3;ok;"{""ARIMA"": 1663481248.2643669, ""ExponentialSmoothing"": 194571587.11067072, ""SARIMAX"": 234392174.95632255, ""Holt"": 1968146015.4509382, ""Prophet"": 176235108.34363273, ""Croston"": 1768687193.4811935, ""TSB"": 1768687193.4811935}"
PC004811;48;Holt;151942,38;[148232.81, 148311.37, 148374.23, 148424.51, 148464.74, 148496.92];-2,4;ok;"{""ARIMA"": 101102373.50466718, ""ExponentialSmoothing"": 162433455.0685266, ""SARIMAX"": 162170404.22580972, ""Holt"": 69877882.87327315, ""Prophet"": 171996307.71626154, ""Croston"": 100941256.08664863, ""TSB"": 100941256.08664863}"
PC003795;48;ARIMA;142610,97;[144551.66, 142637.03, 144525.95, 142662.39, 144500.93, 142687.08];1,4;ok;"{""ARIMA"": 80438869.3304722, ""ExponentialSmoothing"": 152347692.97601202, ""SARIMAX"": 203558794.31977245, ""Holt"": 154128721.26787335, ""Prophet"": 126895412.63128519, ""Croston"": 110858529.63400011, ""TSB"": 110858529.63400011}"
PC009877;48;ExponentialSmoothing;133631,6;[131793.68, 130658.58, 132503.52, 131978.18, 136155.27, 132505.12];-1,4;ok;"{""ARIMA"": 315529955.1393917, ""ExponentialSmoothing"": 61533248.1332885, ""SARIMAX"": 569463208.1141895, ""Holt"": 239990944.33979288, ""Prophet"": 68891534.0897747, ""Croston"": 79353858.92818753, ""TSB"": 79353858.92818753, ""Ensemble"": 61878769.01429715}"
PC008523;48;ExponentialSmoothing;126215,78;[133042.02, 134974.07, 136604.62, 134721.68, 139001.46, 144149.74];5,4;ok;"{""ARIMA"": 147393379.75176534, ""ExponentialSmoothing"": 34493518.86105369, ""SARIMAX"": 340356737.3785677, ""Holt"": 57449846.51151068, ""Prophet"": 76125407.71097219, ""Croston"": 70349341.04564503, ""TSB"": 70349341.04564503}"
PC003936;48;Prophet;93294,83;[97269.21, 103999.04, 112419.53, 115974.3, 121012.43, 137707.61];4,3;ok;"{""ARIMA"": 1383127822.319763, ""ExponentialSmoothing"": 43734797.02744932, ""SARIMAX"": 218703679.38925552, ""Holt"": 1138987495.5807126, ""Prophet"": 41377017.40314631, ""Croston"": 172969536.31470817, ""TSB"": 172969536.31470817}"
PC009813;48;Prophet;103990,8;[180805.32, 101584.36, 107289.22, 97057.65, 100164.51, 106689.24];73,9;ok;"{""ARIMA"": 1132931116.7673657, ""ExponentialSmoothing"": 99962688.84797508, ""SARIMAX"": 117817814.24503654, ""Holt"": 1238968869.64619, ""Prophet"": 59090608.70859638, ""Croston"": 1127584729.439386, ""TSB"": 1127584729.439386}"
PC008512;48;ExponentialSmoothing;84519,31;[179806.24, 89400.28, 94424.12, 90757.11, 90472.29, 91705.04];112,7;ok;"{""ARIMA"": 1056316870.1331006, ""ExponentialSmoothing"": 62293727.92667294, ""SARIMAX"": 195961542.4032904, ""Holt"": 1633366799.5667706, ""Prophet"": 82512464.41453838, ""Croston"": 1152287109.7676144, ""TSB"": 1152287109.7676144}"
PC004629;48;ExponentialSmoothing;96941,07;[172292.68, 98744.09, 91776.57, 97742.49, 95578.85, 92614.76];77,7;ok;"{""ARIMA"": 494582793.03214926, ""ExponentialSmoothing"": 48011043.38624597, ""SARIMAX"": 122274176.90356873, ""Holt"": 887564354.0811759, ""Prophet"": 52949695.71979617, ""Croston"": 551135610.152088, ""TSB"": 551135610.152088}"
PC000587;48;Croston;100045,35;[104323.76, 104323.76, 104323.76, 104323.76, 104323.76, 104323.76];4,3;ok;"{""ARIMA"": 125101735.40693307, ""ExponentialSmoothing"": 63902437.04651717, ""SARIMAX"": 35504565.7983903, ""Holt"": 36984607.26198182, ""Prophet"": 39607239.16851369, ""Croston"": 31972697.81764652, ""TSB"": 31972697.81764652, ""Ensemble"": 32502713.768364493}"
PC004171;48;Ensemble;97357,9;[104206.75, 104510.68, 106921.54, 106722.87, 106907.2, 105825.12];7,0;ok;"{""ARIMA"": 55151005.93583355, ""ExponentialSmoothing"": 33456835.22950837, ""SARIMAX"": 31691347.998361785, ""Holt"": 84975278.087626, ""Prophet"": 27366415.817844827, ""Croston"": 27979180.857527692, ""TSB"": 27979180.857527692, ""Ensemble"": 26024041.890972856}"
PC003690;48;ExponentialSmoothing;89480,61;[157520.89, 84703.72, 86991.38, 85173.5, 94538.5, 83457.86];76,0;ok;"{""ARIMA"": 1014166015.9922365, ""ExponentialSmoothing"": 26383708.034212727, ""SARIMAX"": 56148514.70430244, ""Holt"": 1329193727.039026, ""Prophet"": 26622109.187829863, ""Croston"": 1057262097.3710448, ""TSB"": 1057262097.3710448}"
PC002515;48;Prophet;119667,72;[116340.37, 119913.7, 113748.55, 114563.2, 112824.29, 115224.97];-2,8;ok;"{""ARIMA"": 60291851.679936804, ""ExponentialSmoothing"": 50596830.88464012, ""SARIMAX"": 84114375.4138067, ""Holt"": 58790064.58267217, ""Prophet"": 44957021.5969146, ""Croston"": 91256681.95258129, ""TSB"": 91256681.95258129}"
PC000403;48;Prophet;88013,54;[115784.78, 110542.17, 112145.86, 113431.25, 114043.22, 118982.92];31,6;ok;"{""ARIMA"": 181687185.11306205, ""ExponentialSmoothing"": 139094993.1799798, ""SARIMAX"": 171410249.63930795, ""Holt"": 165936186.6660327, ""Prophet"": 127034772.68724303, ""Croston"": 199550842.95640787, ""TSB"": 199550842.95640787}"
PC002624;48;ExponentialSmoothing;115026,54;[110144.82, 103560.46, 110742.98, 103477.25, 114009.9, 108309.0];-4,2;ok;"{""ARIMA"": 53215417.58344302, ""ExponentialSmoothing"": 34677578.7595435, ""SARIMAX"": 66153419.75393635, ""Holt"": 46881579.771894954, ""Prophet"": 75217430.70938744, ""Croston"": 50584977.39219076, ""TSB"": 50584977.39219076}"
PC004051;48;Croston;88782,42;[98168.56, 98168.56, 98168.56, 98168.56, 98168.56, 98168.56];10,6;ok;"{""ARIMA"": 112883761.00265521, ""ExponentialSmoothing"": 55279840.8603298, ""SARIMAX"": 117890295.59081429, ""Holt"": 67045804.44843758, ""Prophet"": 52715870.34669613, ""Croston"": 33965221.89777115, ""TSB"": 33965221.89777115}"
PC000339;48;SARIMAX;71897,35;[84782.68, 82718.09, 86213.63, 89192.4, 95957.75, 94812.76];17,9;ok;"{""ARIMA"": 189627590.16577163, ""ExponentialSmoothing"": 66532257.90764169, ""SARIMAX"": 45755442.41651978, ""Holt"": 201878573.33502027, ""Prophet"": 57955227.42555257, ""Croston"": 101110202.05747509, ""TSB"": 101110202.05747509}"
PC006419;48;Ensemble;92888,34;[93150.54, 93168.35, 93170.49, 93170.74, 93170.77, 93170.78];0,3;ok;"{""ARIMA"": 8598814.62426465, ""ExponentialSmoothing"": 25715474.401986197, ""SARIMAX"": 33823988.94343696, ""Holt"": 11152992.30106506, ""Prophet"": 25899481.351473227, ""Croston"": 9795772.361948034, ""TSB"": 9795772.361948034, ""Ensemble"": 7922737.239071463}"
