Produto;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido
PC001173;Não informado;A;Baixa;282,0;393,7;21,5;15;30;15;16,98;16,22;🟢 OK;0,0;700,94;0,0
PC002592;Não informado;A;Baixa;481,0;277,9;51,9;15;30;15;7,03;16,22;🟡 Estoque excessivo;0,0;645,78;0,0
PC002709;Não informado;A;Baixa;256,0;221,7;34,6;15;30;15;10,54;16,22;🟡 Estoque excessivo;0,0;888,13;0,0
PC003083;Não informado;A;Baixa;334,0;214,5;46,7;15;30;15;7,81;16,22;🟡 Estoque excessivo;0,0;833,6;0,0
PC000960;Não informado;A;Baixa;537,0;229,4;70,2;15;30;15;5,2;16,22;🟡 Estoque excessivo;0,0;781,29;0,0
PC000661;Não informado;A;Baixa;234,0;206,2;34,0;15;30;15;10,72;16,22;🟡 Estoque excessivo;0,0;664,27;0,0
PC005395;Não informado;A;Baixa;173,0;187,0;27,8;15;30;15;13,15;16,22;🟢 OK;0,0;777,99;0,0
PC008800;Não informado;A;Baixa;798,0;438,9;54,5;15;30;15;6,69;16,22;🟡 Estoque excessivo;0,0;429,23;0,0
PC004563;Não informado;A;Baixa;349,0;207,7;50,4;15;30;15;7,24;16,22;🟡 Estoque excessivo;0,0;631,29;0,0
PC001450;Não informado;A;Baixa;384,0;170,1;67,7;15;30;15;5,39;16,22;🟡 Estoque excessivo;0,0;603,24;0,0
PC000672;Não informado;A;Baixa;506,0;321,0;47,3;15;30;15;7,72;16,22;🟡 Estoque excessivo;0,0;567,05;0,0
PC003019;Não informado;A;Média;240,0;289,6;24,9;15;30;15;14,68;16,22;🟢 OK;0,0;540,14;0,0
PC003925;Não informado;A;Baixa;566,0;469,0;36,2;15;30;15;10,08;16,22;🟡 Estoque excessivo;0,0;373,91;0,0
PC002154;Não informado;A;Baixa;379,0;190,4;59,7;15;30;15;6,11;16,22;🟡 Estoque excessivo;0,0;816,91;0,0
PC004811;Não informado;A;Baixa;310,0;195,5;47,6;15;30;15;7,67;16,22;🟡 Estoque excessivo;0,0;493,51;0,0
PC003795;Não informado;A;Baixa;417,0;137,7;90,9;15;30;15;4,02;16,22;🟡 Estoque excessivo;0,0;571,2;0,0
PC009877;Não informado;A;Baixa;141,0;104,4;40,5;15;30;15;9,01;16,22;🟡 Estoque excessivo;0,0;670,74;0,0
PC008523;Não informado;A;Baixa;190,0;111,9;50,9;15;30;15;7,17;16,22;🟡 Estoque excessivo;0,0;896,53;0,0
PC003936;Não informado;A;Baixa;235,0;66,5;106,0;15;30;15;3,44;16,22;🟡 Estoque excessivo;0,0;1084,59;0,0
PC009813;Não informado;A;Baixa;192,0;155,6;37,0;15;30;15;9,86;16,22;🟡 Estoque excessivo;0,0;792,37;0,0
PC008512;Não informado;A;Baixa;536,0;307,1;52,4;15;30;15;6,97;16,22;🟡 Estoque excessivo;0,0;384,63;0,0
PC004629;Não informado;A;Baixa;93,0;127,4;21,9;15;30;15;16,66;16,22;🟢 OK;0,0;951,66;0,0
PC000587;Não informado;A;Baixa;140,0;73,5;57,1;15;30;15;6,39;16,22;🟡 Estoque excessivo;0,0;847,54;0,0
PC004171;Não informado;A;Baixa;217,0;101,1;64,4;15;30;15;5,67;16,22;🟡 Estoque excessivo;0,0;737,69;0,0
PC003690;Não informado;A;Baixa;307,0;165,3;55,7;15;30;15;6,55;16,22;🟡 Estoque excessivo;0,0;556,72;0,0
PC002515;Não informado;A;Baixa;106,0;84,8;37,5;15;30;15;9,74;16,22;🟡 Estoque excessivo;0,0;1025,27;0,0
PC000403;Não informado;A;Baixa;221,0;86,2;76,9;15;30;15;4,75;16,22;🟡 Estoque excessivo;0,0;859,25;0,0
PC002624;Não informado;A;Baixa;284,0;123,9;68,8;15;30;15;5,31;16,22;🟡 Estoque excessivo;0,0;555,87;0,0
PC004051;Não informado;A;Baixa;317,0;100,7;94,4;15;30;15;3,87;16,22;🟡 Estoque excessivo;0,0;726,83;0,0
PC000339;Não informado;A;Baixa;120,0;78,0;46,2;15;30;15;7,91;16,22;🟡 Estoque excessivo;0,0;812,54;0,0
PC006419;Não informado;A;Baixa;49,0;87,8;16,7;15;30;15;21,79;16,22;🟢 OK;0,0;741,2;0,0
PC004747;Não informado;A;Média;33,0;104,7;9,5;15;30;15;38,61;16,22;🚨 RUPTURA IMINENTE;72,0;967,46;69395,61
