Produto;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000563;05/08/2026;1;37,0;13200,43;🚨 Urgente (até 7 dias);A;Fornecedor Alfa;6,0;58,1
PC000563;21/08/2026;1;38,0;13483,52;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;6,0;58,1
PC000563;05/09/2026;2;39,0;13857,46;🟡 Planejado;A;Fornecedor Alfa;6,0;60,6
PC000563;20/09/2026;2;37,0;13193,83;🟡 Planejado;A;Fornecedor Alfa;6,0;60,6
PC000563;03/10/2026;3;46,0;16287,39;🟡 Planejado;A;Fornecedor Alfa;5,0;71,4
PC000563;18/10/2026;3;44,0;15541,93;🟡 Planejado;A;Fornecedor Alfa;5,0;71,4
PC000563;02/11/2026;4;45,0;15765,93;🟡 Planejado;A;Fornecedor Alfa;5,0;71,9
PC000563;18/11/2026;4;47,0;16693,67;🟡 Planejado;A;Fornecedor Alfa;5,0;71,9
PC000563;02/12/2026;5;62,0;21946,83;🟡 Planejado;A;Fornecedor Alfa;4,0;88,2
PC000563;17/12/2026;5;54,0;19201,86;🟡 Planejado;A;Fornecedor Alfa;4,0;88,2
PC000563;01/01/2027;6;55,0;19489,46;🟡 Planejado;A;Fornecedor Alfa;4,0;88,9
PC000563;16/01/2027;6;55,0;19341,02;🟡 Planejado;A;Fornecedor Alfa;4,0;88,9
PC000656;04/08/2026;1;45,0;18973,46;🚨 Urgente (até 7 dias);A;Fornecedor Alfa;8,0;45,5
PC000656;20/08/2026;1;30,0;12625,18;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;8,0;45,5
PC000656;04/09/2026;2;30,0;12834,05;🟡 Planejado;A;Fornecedor Alfa;8,0;47,3
PC000656;20/09/2026;2;31,0;13124,15;🟡 Planejado;A;Fornecedor Alfa;8,0;47,3
PC000656;03/10/2026;3;39,0;16583,33;🟡 Planejado;A;Fornecedor Alfa;6,0;58,3
PC000656;18/10/2026;3;36,0;15168,38;🟡 Planejado;A;Fornecedor Alfa;6,0;58,3
PC000656;02/11/2026;4;38,0;16030,87;🟡 Planejado;A;Fornecedor Alfa;6,0;59,9
PC000656;17/11/2026;4;37,0;15585,72;🟡 Planejado;A;Fornecedor Alfa;6,0;59,9
PC000656;02/12/2026;5;54,0;22896,22;🟡 Planejado;A;Fornecedor Alfa;5,0;73,5
PC000656;17/12/2026;5;45,0;19123,06;🟡 Planejado;A;Fornecedor Alfa;5,0;73,5
PC000656;01/01/2027;6;50,0;21030,64;🟡 Planejado;A;Fornecedor Alfa;5,0;77,0
PC000656;17/01/2027;6;51,0;21382,49;🟡 Planejado;A;Fornecedor Alfa;5,0;77,0
PC000334;23/08/2026;1;32,0;14453,22;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;7,0;49,3
PC000334;07/09/2026;2;30,0;13617,51;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;23/09/2026;2;32,0;14525,3;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;08/10/2026;3;30,0;13617,53;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;23/10/2026;3;30,0;13617,49;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;07/11/2026;4;30,0;13617,54;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;23/11/2026;4;32,0;14525,35;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;08/12/2026;5;30,0;13617,55;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;24/12/2026;5;32,0;14525,36;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;08/01/2027;6;30,0;13617,56;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000334;23/01/2027;6;30,0;13617,54;🟡 Planejado;A;Fornecedor Alfa;7,0;49,3
PC000084;04/08/2026;1;36,0;14398,15;🚨 Urgente (até 7 dias);A;Fornecedor Alfa;8,0;45,8
PC000084;19/08/2026;1;28,0;11188,4;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;8,0;45,8
PC000084;03/09/2026;2;39,0;15547,63;🟡 Planejado;A;Fornecedor Alfa;7,0;54,4
PC000084;19/09/2026;2;36,0;14184,22;🟡 Planejado;A;Fornecedor Alfa;7,0;54,4
PC000084;08/10/2026;3;28,0;11216,96;🟡 Planejado;A;Fornecedor Alfa;8,0;44,8
PC000084;24/10/2026;3;29,0;11683,42;🟡 Planejado;A;Fornecedor Alfa;8,0;44,8
PC000084;03/11/2026;4;37,0;14827,74;🟡 Planejado;A;Fornecedor Alfa;6,0;59,2
PC000084;19/11/2026;4;39,0;15446,22;🟡 Planejado;A;Fornecedor Alfa;6,0;59,2
PC000084;02/12/2026;5;44,0;17443,31;🟡 Planejado;A;Fornecedor Alfa;5,0;68,9
PC000084;18/12/2026;5;45,0;17971,77;🟡 Planejado;A;Fornecedor Alfa;5,0;68,9
PC000084;01/01/2027;6;46,0;18202,7;🟡 Planejado;A;Fornecedor Alfa;5,0;73,8
PC000084;16/01/2027;6;46,0;18047,28;🟡 Planejado;A;Fornecedor Alfa;5,0;73,8
PC000611;16/08/2026;1;31,0;12349,59;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;7,0;49,9
PC000611;01/09/2026;1;33,0;13015,08;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;7,0;49,9
PC000611;17/09/2026;2;32,0;12832,77;🟡 Planejado;A;Fornecedor Alfa;7,0;49,6
