Produto;Filial;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000335;Loja Norte;11/09/2026;1;18,0;7691,24;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;26/09/2026;2;17,0;7645,74;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;11/10/2026;2;17,0;7645,72;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;26/10/2026;3;17,0;7645,76;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;11/11/2026;3;19,0;8155,45;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;26/11/2026;4;17,0;7645,76;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;11/12/2026;4;17,0;7645,74;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;26/12/2026;5;17,0;7645,76;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;10/01/2027;5;17,0;7645,75;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;25/01/2027;6;17,0;7645,77;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000118;Loja Norte;16/09/2026;2;14,0;5607,38;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;02/10/2026;2;15,0;5953,72;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;18/10/2026;3;15,0;5953,13;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;03/11/2026;3;15,0;5953,46;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;19/11/2026;4;15,0;5953,19;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;05/12/2026;4;15,0;5953,34;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;21/12/2026;5;15,0;5953,22;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;06/01/2027;5;15,0;5953,29;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;22/01/2027;6;15,0;5953,23;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000118;Loja Norte;06/02/2027;6;14,0;5581,19;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000699;Loja Norte;28/08/2026;1;12,0;5211,4;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;19,0;18,9
PC000699;Loja Norte;13/09/2026;2;12,0;5399,65;🟡 Planejado;A;Fornecedor Beta;19,0;18,9
PC000699;Loja Norte;29/09/2026;2;12,0;5399,65;🟡 Planejado;A;Fornecedor Beta;19,0;18,9
PC000699;Loja Norte;14/10/2026;3;12,0;5062,18;🟡 Planejado;A;Fornecedor Beta;19,0;18,9
PC000699;Loja Norte;29/10/2026;3;12,0;5062,17;🟡 Planejado;A;Fornecedor Beta;19,0;18,9
