Produto;Filial;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000410;Loja Sul;14/08/2026;1;28,0;11086,14;🚨 Urgente (até 7 dias);A;Fornecedor Beta;10,0;36,3
PC000410;Loja Sul;30/08/2026;1;24,0;9361,64;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;10,0;36,3
PC000410;Loja Sul;14/09/2026;2;23,0;8976,63;🟡 Planejado;A;Fornecedor Beta;10,0;36,7
PC000410;Loja Sul;30/09/2026;2;24,0;9461,68;🟡 Planejado;A;Fornecedor Beta;10,0;36,7
PC000410;Loja Sul;13/10/2026;3;31,0;12267,14;🟡 Planejado;A;Fornecedor Beta;8,0;45,9
PC000410;Loja Sul;28/10/2026;3;28,0;11086,22;🟡 Planejado;A;Fornecedor Beta;8,0;45,9
PC000410;Loja Sul;12/11/2026;4;44,0;17262,71;🟡 Planejado;A;Fornecedor Beta;6,0;58,3
PC000410;Loja Sul;27/11/2026;4;36,0;14074,84;🟡 Planejado;A;Fornecedor Beta;6,0;58,3
PC000410;Loja Sul;19/12/2026;5;25,0;9870,58;🟡 Planejado;A;Fornecedor Beta;9,0;40,7
PC000410;Loja Sul;03/01/2027;5;25,0;9822,53;🟡 Planejado;A;Fornecedor Beta;9,0;40,7
PC000410;Loja Sul;18/01/2027;6;28,0;10875,13;🟡 Planejado;A;Fornecedor Beta;9,0;42,4
PC000410;Loja Sul;03/02/2027;6;28,0;10920,57;🟡 Planejado;A;Fornecedor Beta;9,0;42,4
PC000845;Loja Sul;14/08/2026;1;31,0;13165,38;🚨 Urgente (até 7 dias);A;Fornecedor Gamma;11,0;33,7
PC000845;Loja Sul;30/08/2026;1;22,0;9426,3;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;11,0;33,7
PC000845;Loja Sul;15/09/2026;2;20,0;8347,66;🟡 Planejado;A;Fornecedor Gamma;11,0;31,9
PC000845;Loja Sul;01/10/2026;2;21,0;8903,33;🟡 Planejado;A;Fornecedor Gamma;11,0;31,9
PC000845;Loja Sul;13/10/2026;3;29,0;12124,61;🟡 Planejado;A;Fornecedor Gamma;9,0;41,9
PC000845;Loja Sul;29/10/2026;3;28,0;11714,74;🟡 Planejado;A;Fornecedor Gamma;9,0;41,9
PC000845;Loja Sul;12/11/2026;4;33,0;14190,92;🟡 Planejado;A;Fornecedor Gamma;7,0;49,2
