Ano;mês;Filial;disponibilidades saldo;contas a receber saldo;estoque inicial do mês de mercadorias para revenda saldo;estoque final do mês de mercadorias para revenda saldo;Outros AC;Ativo NC;contas a pagar de fornecedores saldo;Passivos Financeiros;Outros PC;Passivo NC;Aporte;despesas administrativas;CMV (custo da mercadoria vendida);provisão para contribuição social;despesas comerciais;despesas com depreciações e amortizações;despesas financeiras líquidas;devoluções de vendas;provisão para imposto de renda;receitas não operacionais;receita bruta de vendas;pró-labore/distribuição de lucro;Disponibilidades entradas;Disponibilidades Saida;Centro de Custos Entradas 3;Centro de Custos Entradas 2;Centro de Custos Entradas 1;numero de vendas;impostos sobre vendas;Centro de Custos Entradas 4;Centro de Custos Saidas 1;Centro de Custos Saidas 3;Centro de Custos Saidas 4;despesas não operacionais;Centro de Custos Saidas 2;Data
2024;jan;Loja Sul;7730191,09;13204280,08;0,0;6097272,48;750698,62;0,0;8932996,31;0,0;3862714,55;0,0;0,0;457023,79000000004;3332889,4099999997;47646,75;429860,36000000004;47353,0;30961,16;47728,28;141480,15;18850,04;4657051,949999999;0,0;4484646,95;3884582,13;1091913,96;740941,68;2495803,6;0,0;0,0;155987,71;1403889,38;1013920,23;272978,55;0,0;1193793,97;2024-01-01
2024;jan;Loja Norte;6630539,61;10821419,57;0,0;5107824,72;627063,45;0,0;7973808,59;0,0;3243012,91;0,0;0,0;357039,77;2772185,8200000003;37185,19;335622,85;37530,52;24401,87;37421,8;111419,37;15717,93;3918862,3699999996;0,0;4123275,46;3663028,6599999997;1003927,92;681236,88;2294692,39;0,0;0,0;143418,27000000002;1290764,47;932218,9299999999;250982,05;0,0;1189063,21;2024-01-01
2024;jan;Loja Centro;9879363,67;16647331,82;0,0;7781742,72;948046,27;0,0;11208255,93;0,0;4909782,65;0,0;0,0;577586,65;4283733,5600000005;60134,88;539575,48;60131,2;38920,23;59884,08;181790,15;23597,52;5956077,8;0,0;5410075,35;4711452,39;1317235,82;893838,48;3010824,51;0,0;0,0;188176,54;1693588,69;1223147,54;329308,85;0,0;1465407,31;2024-01-01
2024;jan;(Todas as filiais);16469963,64;0,0;0,0;0,0;0,0;81380996,82;0,0;14532320,86;0,0;42628141,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2024-01-01
2024;fev;(Todas as filiais);16937126,76;0,0;0,0;0,0;0,0;83689332,23;0,0;14944523,61;0,0;43837269,27;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2024-02-01
2024;fev;Loja Centro;10162973,86;17104253,1;0,0;7921442,1;992045,21;0,0;12197656,12;0,0;5212259,96;0,0;0,0;599407,62;4436122,24;62840,7;559885,7300000001;62783,56;40642,46;62746,15;186196,5;24576,07;6168711,66;0,0;5799550,4;4858227,12;1422901,51;961685,27;3238327,68;0,0;0,0;176635,94;1766360,53;1314957,37;196262,33;0,0;1580646,89;2024-02-01
2024;fev;Loja Norte;6604590,83;11002874,97;0,0;5226523,61;618834,32;0,0;8258886,6;0,0;3378651,54;0,0;0,0;363240,39999999997;2836086,37;37839,42;341126,33;37465,48;24495,73;37727,27;113318,66;16227,149999999998;4028290,69;0,0;4307117,609999999;3662774,38;1056737,79;714208,95;2404989,53;0,0;0,0;131181,34;1311812,5;976571,63;145756,98;0,0;1228633,27;2024-02-01
2024;fev;Loja Sul;7866816,94;13261917,9;0,0;6177473,44;750027,25;0,0;9304356,89;0,0;4062795,2600000002;0,0;0,0;459447,68000000005;3406735,5200000005;47410,86;432515,17000000004;47794,66;31129,18;47612,09;144985,08;19120,5;4777043,99;0,0;4575045,63;3814035,7199999997;1122473,18;758636,96;2554593,95;0,0;0,0;139341,54;1393414,88;1037319,79;154823,79;0,0;1228477,26;2024-02-01
2024;mar;Loja Sul;7722034,78;12939812,78;0,0;6074734,7;741169,19;0,0;8999911,41;0,0;3960864,0700000003;0,0;0,0;470103,77;3452511,88;48803,66;440230,06999999995;48940,55;31887,14;48764,51;148722,15;19354,35;4825092,9;0,0;5045832,42;4057794,71;1216840,56;827451,54;2839294,73;0,0;0,0;162245,59;1500770,16;1127605,72;121684,01;0,0;1307734,82;2024-03-01
2024;mar;Loja Norte;6615596,56;10939701,06;0,0;5111541,85;637361,56;0,0;8099794,71;0,0;3336746,0700000003;0,0;0,0;378939,24000000005;2898362,5299999993;39629,81;352691,95999999996;38859,87;25565,49;40107,35;117246,41;16256,59;4096826,7800000003;0,0;4177354,7399999998;3445443,78;1007400,65;685032,53;2350601,61;0,0;0,0;134319,94999999998;1242460,93;933524,73;100740,04;0,0;1168718,08;2024-03-01
2024;mar;Loja Centro;9881718,35;16763361,62;0,0;7785752,63;947054,76;0,0;11750627,35;0,0;5086445,66;0,0;0,0;605736,6299999999;4478510,09;63126,34;570262,7200000001;63588,03;41031,78;62799,08;188559,54;24936,92;6221503,98;0,0;6185989,930000001;5004098,66;1491798,27;1014422,79;3480862,49;0,0;0,0;198906,38;1839884,55;1382399,74;149179,89;0,0;1632634,48;2024-03-01
2024;mar;(Todas as filiais);17094725,59;0,0;0,0;0,0;0,0;84467996,16;0,0;15083561,02;0,0;44245150,27;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2024-03-01
2024;abr;(Todas as filiais);16903601,95;0,0;0,0;0,0;0,0;83523673,06;0,0;14914952,89;0,0;43750497,73;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2024-04-01
