Vencimento;Valor;Conta;Filial
2026-08-05;24252,29;Fornecedor Delta;Loja Centro
2026-08-06;18875,55;Fornecedor Beta;Loja Centro
2026-08-07;46984,87;Fornecedor Alfa;Loja Centro
2026-08-03;3590,47;Fornecedor Gamma;Loja Centro
2026-08-07;13755,92;Fornecedor Delta;Loja Centro
2026-08-10;9159,36;Fornecedor Alfa;Loja Centro
2026-08-12;6651,14;Fornecedor Alfa;Loja Centro
2026-08-10;20249,4;Fornecedor Gamma;Loja Centro
2026-08-13;39723,11;Fornecedor Gamma;Loja Centro
2026-08-14;3920,57;Fornecedor Beta;Loja Centro
2026-08-21;57240,26;Fornecedor Beta;Loja Centro
2026-08-17;99389,02;Fornecedor Alfa;Loja Centro
2026-08-18;1473,96;Fornecedor Delta;Loja Centro
2026-08-24;150918,39;Fornecedor Beta;Loja Centro
2026-08-27;99996,02;Fornecedor Alfa;Loja Centro
2026-08-24;66924,21;Fornecedor Delta;Loja Centro
2026-09-03;61163,72;Fornecedor Delta;Loja Centro
2026-09-02;31071,88;Fornecedor Delta;Loja Centro
2026-09-04;8477,75;Fornecedor Alfa;Loja Centro
2026-09-03;21464,0;Fornecedor Beta;Loja Centro
2026-08-31;121068,96;Fornecedor Beta;Loja Centro
2026-09-07;38160,89;Fornecedor Gamma;Loja Centro
2026-09-07;103082,56;Fornecedor Delta;Loja Centro
2026-09-09;50633,67;Fornecedor Beta;Loja Centro
2026-09-08;34921,66;Fornecedor Beta;Loja Centro
2026-09-10;1246,26;Fornecedor Beta;Loja Centro
2026-09-16;10322,29;Fornecedor Alfa;Loja Centro
2026-09-16;57375,38;Fornecedor Gamma;Loja Centro
2026-09-18;13454,67;Fornecedor Gamma;Loja Centro
2026-09-17;13680,9;Fornecedor Alfa;Loja Centro
2026-09-14;33169,09;Fornecedor Delta;Loja Centro
2026-09-23;4230,96;Fornecedor Alfa;Loja Centro
2026-09-22;38670,35;Fornecedor Delta;Loja Centro
2026-09-21;192931,19;Fornecedor Gamma;Loja Centro
2026-10-01;10484,48;Fornecedor Beta;Loja Centro
2026-09-28;1519,33;Fornecedor Beta;Loja Centro
2026-10-01;48166,63;Fornecedor Gamma;Loja Centro
2026-09-28;77251,68;Fornecedor Alfa;Loja Centro
2026-10-02;36065,06;Fornecedor Beta;Loja Centro
2026-10-07;2726,55;Fornecedor Alfa;Loja Centro
2026-10-05;455199,61;Fornecedor Delta;Loja Centro
2026-10-15;66680,35;Fornecedor Beta;Loja Centro
2026-10-12;31182,71;Fornecedor Delta;Loja Centro
2026-10-13;68312,55;Fornecedor Gamma;Loja Centro
2026-10-12;802,04;Fornecedor Beta;Loja Centro
2026-10-15;10505,56;Fornecedor Delta;Loja Centro
2026-10-20;22059,58;Fornecedor Beta;Loja Centro
2026-10-23;130306,37;Fornecedor Delta;Loja Centro
2026-10-26;34154,8;Fornecedor Alfa;Loja Centro
2026-10-29;4463,71;Fornecedor Beta;Loja Centro
2026-11-02;147345,27;Fornecedor Beta;Loja Centro
2026-11-04;176721,57;Fornecedor Alfa;Loja Centro
2026-11-10;8121,52;Fornecedor Gamma;Loja Centro
2026-11-09;104086,08;Fornecedor Beta;Loja Centro
2026-11-16;15263,7;Fornecedor Gamma;Loja Centro
2026-11-20;2875,77;Fornecedor Gamma;Loja Centro
2026-11-18;6264,54;Fornecedor Alfa;Loja Centro
2026-11-16;5400,87;Fornecedor Beta;Loja Centro
2026-11-25;1179,79;Fornecedor Beta;Loja Centro
2026-11-24;44899,96;Fornecedor Gamma;Loja Centro
2026-11-24;10572,2;Fornecedor Delta;Loja Centro
2026-11-27;89916,3;Fornecedor Alfa;Loja Centro
2026-11-26;86217,26;Fornecedor Beta;Loja Centro
