Vencimento;Valor;Filial
2026-08-05;20822,63;Loja Centro
2026-08-04;23217,26;Loja Centro
2026-08-03;57126,07;Loja Centro
2026-08-05;3834,95;Loja Centro
2026-08-03;104127,79;Loja Centro
2026-08-08;21544,48;Loja Centro
2026-08-13;46719,97;Loja Centro
2026-08-16;174687,23;Loja Centro
2026-08-12;16602,9;Loja Centro
2026-08-11;93921,87;Loja Centro
2026-08-18;92077,24;Loja Centro
2026-08-20;24469,57;Loja Centro
2026-08-18;39455,5;Loja Centro
2026-08-23;62000,61;Loja Centro
2026-08-17;2484,22;Loja Centro
2026-08-23;71331,75;Loja Centro
2026-08-23;18838,24;Loja Centro
2026-08-26;14917,44;Loja Centro
2026-08-29;32399,77;Loja Centro
2026-08-30;80897,81;Loja Centro
2026-08-29;177248,97;Loja Centro
2026-09-03;133217,22;Loja Centro
2026-08-31;25062,38;Loja Centro
2026-09-05;8553,34;Loja Centro
2026-09-01;71737,02;Loja Centro
2026-09-12;25427,53;Loja Centro
2026-09-09;22390,95;Loja Centro
2026-09-10;76947,54;Loja Centro
2026-09-08;112643,82;Loja Centro
2026-09-16;151639,5;Loja Centro
2026-09-17;10002,89;Loja Centro
2026-09-15;49343,75;Loja Centro
2026-09-20;10169,79;Loja Centro
2026-09-16;21662,39;Loja Centro
2026-09-20;27009,07;Loja Centro
2026-09-24;132487,36;Loja Centro
2026-09-21;56796,97;Loja Centro
2026-09-23;85934,66;Loja Centro
2026-09-23;13903,05;Loja Centro
2026-10-03;9044,1;Loja Centro
2026-10-02;18962,41;Loja Centro
2026-10-04;21646,13;Loja Centro
2026-10-03;92639,99;Loja Centro
2026-10-01;37681,52;Loja Centro
2026-10-04;30487,92;Loja Centro
2026-10-02;13631,93;Loja Centro
2026-10-09;76949,89;Loja Centro
2026-10-11;29535,07;Loja Centro
2026-10-06;73636,46;Loja Centro
2026-10-05;20627,95;Loja Centro
2026-10-07;41270,37;Loja Centro
2026-10-11;47474,05;Loja Centro
2026-10-05;21974,05;Loja Centro
2026-10-17;3278,78;Loja Centro
2026-10-16;85368,07;Loja Centro
2026-10-17;69253,35;Loja Centro
2026-10-13;141460,68;Loja Centro
2026-10-23;26162,38;Loja Centro
2026-10-20;13170,22;Loja Centro
2026-10-20;27913,64;Loja Centro
2026-10-21;6471,47;Loja Centro
2026-10-20;8247,47;Loja Centro
2026-10-21;43833,88;Loja Centro
2026-10-24;115785,76;Loja Centro
2026-10-31;147152,75;Loja Centro
2026-10-27;48474,64;Loja Centro
2026-10-27;46522,23;Loja Centro
2026-10-28;6969,28;Loja Centro
2026-10-29;23741,37;Loja Centro
2026-10-27;15309,15;Loja Centro
2026-11-02;846,8;Loja Centro
2026-11-03;14264,8;Loja Centro
2026-11-02;5366,52;Loja Centro
2026-11-02;214530,46;Loja Centro
2026-11-12;138781,21;Loja Centro
2026-11-10;5111,77;Loja Centro
2026-11-09;44671,98;Loja Centro
2026-11-10;31180,38;Loja Centro
2026-11-15;9448,19;Loja Centro
2026-11-14;56641,71;Loja Centro
2026-11-19;17526,45;Loja Centro
2026-11-17;121316,24;Loja Centro
2026-11-19;46384,97;Loja Centro
2026-11-22;4161,48;Loja Centro
2026-11-21;73636,11;Loja Centro
2026-11-26;40661,16;Loja Centro
2026-11-27;13146,05;Loja Centro
2026-11-23;43995,71;Loja Centro
2026-11-25;189970,75;Loja Centro
2026-12-05;114207,88;Loja Centro
2026-11-30;12542,42;Loja Centro
2026-12-03;119630,59;Loja Centro
2026-11-30;30954,27;Loja Centro
2026-12-07;65165,04;Loja Centro
2026-12-09;63196,63;Loja Centro
2026-12-12;25402,82;Loja Centro
2026-12-13;111180,27;Loja Centro
2026-12-13;7319,9;Loja Centro
2026-12-17;11209,27;Loja Centro
2026-12-19;8306,34;Loja Centro
2026-12-14;213783,62;Loja Centro
2026-12-15;18775,51;Loja Centro
2026-12-16;36147,87;Loja Centro
2026-12-23;38796,71;Loja Centro
2026-12-24;21220,57;Loja Centro
2026-12-23;68259,49;Loja Centro
2026-12-24;48372,39;Loja Centro
2026-12-23;91662,99;Loja Centro
2027-01-03;45407,01;Loja Centro
2026-12-29;55863,86;Loja Centro
2026-12-28;125377,2;Loja Centro
2026-12-31;11106,74;Loja Centro
2026-12-29;50343,1;Loja Centro
2027-01-09;8212,64;Loja Centro
2027-01-04;64146,61;Loja Centro
2027-01-07;46321,56;Loja Centro
2027-01-05;3610,8;Loja Centro
2027-01-05;65025,97;Loja Centro
2027-01-09;14740,42;Loja Centro
2027-01-04;15787,83;Loja Centro
2027-01-05;73605,52;Loja Centro
2027-01-12;100293,67;Loja Centro
2027-01-14;6453,12;Loja Centro
2027-01-12;15190,99;Loja Centro
2027-01-17;24279,52;Loja Centro
2027-01-11;38067,25;Loja Centro
2027-01-11;66488,32;Loja Centro
2027-01-23;26469,92;Loja Centro
2027-01-20;131314,74;Loja Centro
2027-01-19;64245,89;Loja Centro
2027-01-21;13099,56;Loja Centro
2027-01-22;1077,24;Loja Centro
2027-01-30;228660,89;Loja Centro
2027-01-30;1698,72;Loja Centro
2027-01-28;53690,27;Loja Centro
2027-01-28;23310,85;Loja Centro
2026-08-07;1423,01;Loja Norte
2026-08-03;27217,67;Loja Norte
2026-08-09;28030,0;Loja Norte
2026-08-09;6632,99;Loja Norte
2026-08-04;45208,47;Loja Norte
2026-08-03;15417,86;Loja Norte
2026-08-09;4853,39;Loja Norte
2026-08-16;6597,48;Loja Norte
2026-08-11;41244,08;Loja Norte
2026-08-13;16741,53;Loja Norte
2026-08-11;21370,66;Loja Norte
2026-08-16;24373,72;Loja Norte
2026-08-16;5615,38;Loja Norte
2026-08-16;10854,97;Loja Norte
2026-08-18;9656,5;Loja Norte
2026-08-22;28398,04;Loja Norte
2026-08-21;4686,37;Loja Norte
2026-08-19;3988,14;Loja Norte
2026-08-17;12421,68;Loja Norte
2026-08-19;1943,31;Loja Norte
2026-08-18;20129,41;Loja Norte
2026-08-22;47101,67;Loja Norte
2026-08-25;60203,4;Loja Norte
2026-08-24;29458,16;Loja Norte
2026-08-24;34743,49;Loja Norte
2026-08-27;10112,54;Loja Norte
2026-08-25;10077,85;Loja Norte
2026-08-31;31100,99;Loja Norte
2026-09-05;15328,7;Loja Norte
2026-09-06;24640,08;Loja Norte
