Ano;Mês;Conta;Valor;Filial
2024;Jan;Caixa e Bancos;476944,73;Loja Centro
2024;Jan;Caixa e Bancos;177442;Loja Norte
2024;Jan;Caixa e Bancos;345613,27;Loja Sul
2024;Fev;Caixa e Bancos;439609,26;Loja Centro
2024;Fev;Caixa e Bancos;232773,05;Loja Norte
2024;Fev;Caixa e Bancos;335617,69;Loja Sul
2024;Mar;Caixa e Bancos;463424,46;Loja Centro
2024;Mar;Caixa e Bancos;222798,16;Loja Norte
2024;Mar;Caixa e Bancos;329841,38;Loja Sul
2024;Abr;Caixa e Bancos;416498,81;Loja Centro
2024;Abr;Caixa e Bancos;276308,58;Loja Norte
2024;Abr;Caixa e Bancos;331385,6;Loja Sul
2024;Mai;Caixa e Bancos;431758,48;Loja Centro
2024;Mai;Caixa e Bancos;241369,16;Loja Norte
2024;Mai;Caixa e Bancos;359258,36;Loja Sul
2024;Jun;Caixa e Bancos;430120,4;Loja Centro
2024;Jun;Caixa e Bancos;286338,6;Loja Norte
2024;Jun;Caixa e Bancos;324185,99;Loja Sul
2024;Jul;Caixa e Bancos;476112,29;Loja Centro
2024;Jul;Caixa e Bancos;248636,04;Loja Norte
2024;Jul;Caixa e Bancos;324221,67;Loja Sul
2024;Ago;Caixa e Bancos;497745,87;Loja Centro
2024;Ago;Caixa e Bancos;248638,35;Loja Norte
2024;Ago;Caixa e Bancos;310977,78;Loja Sul
2024;Set;Caixa e Bancos;486728,73;Loja Centro
2024;Set;Caixa e Bancos;262043,86;Loja Norte
2024;Set;Caixa e Bancos;317048,41;Loja Sul
2024;Out;Caixa e Bancos;497647,64;Loja Centro
2024;Out;Caixa e Bancos;222245,92;Loja Norte
2024;Out;Caixa e Bancos;354454,43;Loja Sul
2024;Nov;Caixa e Bancos;510070,22;Loja Centro
2024;Nov;Caixa e Bancos;235740,6;Loja Norte
2024;Nov;Caixa e Bancos;337131,18;Loja Sul
2024;Dez;Caixa e Bancos;475988,63;Loja Centro
2024;Dez;Caixa e Bancos;263677,53;Loja Norte
2024;Dez;Caixa e Bancos;351939,84;Loja Sul
2025;Jan;Caixa e Bancos;521466,68;Loja Centro
2025;Jan;Caixa e Bancos;267297,31;Loja Norte
2025;Jan;Caixa e Bancos;311575,01;Loja Sul
2025;Fev;Caixa e Bancos;434907;Loja Centro
