Ano;Mês;Filial;Receita Serviços;Receita Produtos;Receb. Clientes;Receita Financ.;Outras Receitas;Folha;Fornecedores;Impostos;Desp. Operacionais;Investimentos
2024;Jan;Loja Centro;138774,07;41198,55;60713,66;3469,35;5204,03;78060,41;54208,62;22550,79;33826,18;15178,41
2024;Jan;Loja Norte;80203,68;23810,47;35089,11;2005,09;3007,64;45114,57;31329,56;13033,1;19549,65;8772,28
2024;Jan;Loja Sul;101022,25;29990,98;44197,23;2525,56;3788,33;56825,01;39461,82;16416,12;24624,17;11049,31
2024;Fev;Loja Centro;144523,96;42919,24;63502,95;3503,61;4379,51;78831,25;56057,78;23649,38;35036,11;8759,03
2024;Fev;Loja Norte;82772,56;24580,94;36369,76;2006,61;2508,26;45148,67;32105,72;13544,6;20066,08;5016,52
2024;Fev;Loja Sul;102703,48;30499,82;45127,29;2489,78;3112,23;56020,08;39836,5;16806,02;24897,81;6224,45
2024;Mar;Loja Centro;156141,69;45504,15;66917,87;4015,07;4907,31;82532,04;58887,72;25874,91;36135,65;6691,79
2024;Mar;Loja Norte;79987,86;23310,75;34280,51;2056,83;2513,9;42279,3;30166,85;13255,13;18511,48;3428,05
2024;Mar;Loja Sul;113870,45;33185,1;48801,62;2928,1;3578,79;60188,67;42945,43;18869,96;26352,88;4880,16
2024;Abr;Loja Centro;158784,97;44833,4;69118,16;3736,12;4203,13;86397,7;60711,9;26152,82;38295,2;11675,37
2024;Abr;Loja Norte;76585,51;21624,14;33337,22;1802,01;2027,26;41671,53;29282,7;12614,08;18470,62;5631,29
2024;Abr;Loja Sul;104629,52;29542,45;45544,62;2461,87;2769,6;56930,77;40005,41;17233,1;25234,18;7693,35
2024;Mai;Loja Centro;161542,59;47325,15;70077,63;4550,5;4550,5;86459,42;60976,64;26847,92;38224,16;8190,89
2024;Mai;Loja Norte;75553,27;22133,92;32775,22;2128,26;2128,26;40436,96;28518,7;12556,74;17877,39;3830,87
2024;Mai;Loja Sul;117904,14;34540,93;51147,15;3321,24;3321,24;63103,62;44504,66;19595,34;27898,44;5978,24
2024;Jun;Loja Centro;159458,57;46544,66;68955,06;4309,69;5171,63;84038,97;60335,67;26289,12;36632,37;12929,07
2024;Jun;Loja Norte;79577,84;23228,13;34412,04;2150,75;2580,9;41939,67;30110,54;13119,59;18281,4;6452,26
2024;Jun;Loja Sul;130963,59;38227,21;56632,9;3539,56;4247,47;69021,35;49553,79;21591,29;30086,23;10618,67
2024;Jul;Loja Centro;182021,3;53648,38;79035,57;5269,04;5748,04;94842,68;69455,5;30177,22;42152,3;10538,08
2024;Jul;Loja Norte;87395,73;25758,74;37948,14;2529,88;2759,87;45537,77;33348,37;14489,29;20239,01;5059,75
2024;Jul;Loja Sul;110582,97;32592,87;48016,29;3201,09;3492,09;57619,55;42196,13;18333,49;25608,69;6402,17
