_ProdutoUnico;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC000882;48;Prophet;70192,05;[66251.01, 72791.57, 94201.33];-5,6;ok;"{""ARIMA"": 24011223.784795266, ""ExponentialSmoothing"": 8014467.55730171, ""SARIMAX"": 27569432.965535015, ""Holt"": 29788808.933339212, ""Prophet"": 6564447.034674246, ""Croston"": 30124622.632663656, ""TSB"": 30124622.632663656}"
PC000104;48;ExponentialSmoothing;55788,55;[48586.37, 48677.37, 74182.92];-12,9;ok;"{""ARIMA"": 21227071.47933579, ""ExponentialSmoothing"": 7563312.8494048305, ""SARIMAX"": 34026048.18883889, ""Holt"": 25251124.94480962, ""Prophet"": 19808927.07049555, ""Croston"": 21401360.86071201, ""TSB"": 21401360.86071201}"
PC000278;48;Prophet;48638,14;[53130.44, 51385.6, 72924.83];9,2;ok;"{""ARIMA"": 39229147.5653372, ""ExponentialSmoothing"": 17476783.6127784, ""SARIMAX"": 49603865.629190244, ""Holt"": 36876091.8407627, ""Prophet"": 11101553.790328689, ""Croston"": 36370568.957849145, ""TSB"": 36370568.957849145}"
PC000244;48;ExponentialSmoothing;47400,969999999994;[47745.96, 50385.07, 71515.01];0,7;ok;"{""ARIMA"": 33215166.16343096, ""ExponentialSmoothing"": 15485469.358511701, ""SARIMAX"": 22846876.129063025, ""Holt"": 53987364.99936074, ""Prophet"": 19461275.097374357, ""Croston"": 53099293.630614735, ""TSB"": 53099293.630614735}"
PC000449;48;ExponentialSmoothing;52936,740000000005;[48388.52, 46781.44, 72156.26];-8,6;ok;"{""ARIMA"": 25646382.15542455, ""ExponentialSmoothing"": 11485771.627955109, ""SARIMAX"": 29461144.620889034, ""Holt"": 26655968.483625, ""Prophet"": 12431223.006245008, ""Croston"": 28861487.765794683, ""TSB"": 28861487.765794683}"
PC000938;48;SARIMAX;48860,020000000004;[44479.82, 40384.37, 66373.68];-9,0;ok;"{""ARIMA"": 16325757.317286858, ""ExponentialSmoothing"": 28539123.036334287, ""SARIMAX"": 7894698.51924383, ""Holt"": 40963650.81681197, ""Prophet"": 35107940.85526184, ""Croston"": 28069431.839345735, ""TSB"": 28069431.839345735}"
PC000478;48;ARIMA;56827,21;[56339.03, 56067.7, 55916.9];-0,9;ok;"{""ARIMA"": 4551520.76086387, ""ExponentialSmoothing"": 12632885.695797855, ""SARIMAX"": 21787812.77035935, ""Holt"": 39726800.16621508, ""Prophet"": 57076731.15544531, ""Croston"": 10068171.715838047, ""TSB"": 10068171.715838047}"
PC000845;48;ARIMA;48990,61;[49272.05, 49407.5, 49472.69];0,6;ok;"{""ARIMA"": 9182807.905412594, ""ExponentialSmoothing"": 11612071.465468237, ""SARIMAX"": 55220694.51340642, ""Holt"": 25879268.87381649, ""Prophet"": 12460671.885052362, ""Croston"": 15013371.19429724, ""TSB"": 15013371.19429724}"
PC000701;48;Prophet;47494,63;[47423.07, 45356.79, 63605.38];-0,2;ok;"{""ARIMA"": 17464157.82369271, ""ExponentialSmoothing"": 29485667.154836062, ""SARIMAX"": 25265737.229588807, ""Holt"": 24094494.876008738, ""Prophet"": 12988120.407452077, ""Croston"": 21529842.190411437, ""TSB"": 21529842.190411437}"
PC000954;48;Prophet;44246,25;[47085.13, 47909.93, 62954.01];6,4;ok;"{""ARIMA"": 10398270.338843172, ""ExponentialSmoothing"": 7439916.282410321, ""SARIMAX"": 16524783.467199033, ""Holt"": 26496103.41695625, ""Prophet"": 5196437.099661919, ""Croston"": 13613231.680412283, ""TSB"": 13613231.680412283}"
PC000829;48;ARIMA;49717,81;[49654.88, 49620.05, 49600.78];-0,1;ok;"{""ARIMA"": 6850182.920888245, ""ExponentialSmoothing"": 24416741.38237059, ""SARIMAX"": 27680832.173924264, ""Holt"": 14929486.25371407, ""Prophet"": 24736716.084383875, ""Croston"": 10134747.915625958, ""TSB"": 10134747.915625958}"
PC000713;48;ARIMA;48171,520000000004;[48650.99, 48930.93, 49094.37];1,0;ok;"{""ARIMA"": 15536681.684178522, ""ExponentialSmoothing"": 24327527.47191977, ""SARIMAX"": 19470511.655686196, ""Holt"": 58130544.142457664, ""Prophet"": 28342474.09468587, ""Croston"": 28582177.650351807, ""TSB"": 28582177.650351807}"
PC000866;48;SARIMAX;42797,520000000004;[45889.3, 48865.55, 63905.55];7,2;ok;"{""ARIMA"": 9158420.029124502, ""ExponentialSmoothing"": 9318181.692330403, ""SARIMAX"": 3360037.940521698, ""Holt"": 40832196.95766363, ""Prophet"": 10271225.19980645, ""Croston"": 32356072.73548339, ""TSB"": 32356072.73548339}"
PC000335;48;ARIMA;46813,62;[46613.52, 46501.93, 46439.69];-0,4;ok;"{""ARIMA"": 2460641.836052784, ""ExponentialSmoothing"": 3589808.491910731, ""SARIMAX"": 5320324.355877571, ""Holt"": 23613173.724781293, ""Prophet"": 3789719.262162131, ""Croston"": 7296371.424000002, ""TSB"": 7296371.424000002}"
PC000890;48;SARIMAX;41937,46;[42889.44, 42269.02, 58276.35];2,3;ok;"{""ARIMA"": 14193418.362303048, ""ExponentialSmoothing"": 17081842.184242696, ""SARIMAX"": 7982358.884212777, ""Holt"": 12590986.907954223, ""Prophet"": 17293218.014294583, ""Croston"": 20448115.42077186, ""TSB"": 20448115.42077186}"
PC000118;48;ExponentialSmoothing;40511,5;[43933.37, 43186.28, 56843.66];8,4;ok;"{""ARIMA"": 18358751.52888614, ""ExponentialSmoothing"": 15770845.199637508, ""SARIMAX"": 33537548.084074277, ""Holt"": 77909473.56589317, ""Prophet"": 19236320.17319485, ""Croston"": 32290955.440316617, ""TSB"": 32290955.440316617, ""Ensemble"": 16292825.152138233}"
PC000123;48;ExponentialSmoothing;43974,95;[42078.62, 43359.3, 58217.69];-4,3;ok;"{""ARIMA"": 12785026.021686567, ""ExponentialSmoothing"": 7171689.237484805, ""SARIMAX"": 8644248.445983807, ""Holt"": 11825744.140258176, ""Prophet"": 9499073.15249324, ""Croston"": 12907040.495511757, ""TSB"": 12907040.495511757}"
PC000913;48;Ensemble;43868,28;[46182.68, 46255.22, 46291.69];5,3;ok;"{""ARIMA"": 20952760.38996693, ""ExponentialSmoothing"": 30677836.810112864, ""SARIMAX"": 23745899.569447413, ""Holt"": 31805220.99567033, ""Prophet"": 25065625.89029931, ""Croston"": 21877167.895713773, ""TSB"": 21877167.895713773, ""Ensemble"": 20154184.847809706}"
PC000646;48;SARIMAX;44328,24;[45459.59, 45323.3, 57551.47];2,6;ok;"{""ARIMA"": 19000205.477373492, ""ExponentialSmoothing"": 23222268.531548474, ""SARIMAX"": 10397657.231880786, ""Holt"": 25237144.172817107, ""Prophet"": 20858757.68436105, ""Croston"": 19630834.460020512, ""TSB"": 19630834.460020512}"
PC000818;48;ExponentialSmoothing;43851,07;[41101.99, 40738.24, 50966.02];-6,3;ok;"{""ARIMA"": 15993494.51220794, ""ExponentialSmoothing"": 8255858.994291235, ""SARIMAX"": 10748590.223682214, ""Holt"": 36859939.07889275, ""Prophet"": 11992990.402093848, ""Croston"": 16823771.470491104, ""TSB"": 16823771.470491104}"
PC000141;48;ExponentialSmoothing;33402,990000000005;[38703.97, 41557.56, 56882.61];15,9;ok;"{""ARIMA"": 18857418.33222377, ""ExponentialSmoothing"": 10119022.767381035, ""SARIMAX"": 23813569.418225255, ""Holt"": 60065392.29180854, ""Prophet"": 16118453.732787343, ""Croston"": 36933020.31484573, ""TSB"": 36933020.31484573}"
PC000105;48;ExponentialSmoothing;39508,240000000005;[37914.72, 40471.36, 52055.85];-4,0;ok;"{""ARIMA"": 11975896.241453826, ""ExponentialSmoothing"": 3388750.155383712, ""SARIMAX"": 12919127.252739223, ""Holt"": 24235017.336154774, ""Prophet"": 4612807.200970347, ""Croston"": 11104120.243585097, ""TSB"": 11104120.243585097}"
PC000762;48;ExponentialSmoothing;39338,54;[41167.63, 37038.54, 56171.02];4,6;ok;"{""ARIMA"": 15014607.56090541, ""ExponentialSmoothing"": 5722736.313855118, ""SARIMAX"": 15588810.656912813, ""Holt"": 19459786.963261575, ""Prophet"": 9967783.13885616, ""Croston"": 17027601.812442854, ""TSB"": 17027601.812442854}"
PC000323;48;Ensemble;38676,92;[39868.48, 39195.3, 47416.44];3,1;ok;"{""ARIMA"": 3142737.676395899, ""ExponentialSmoothing"": 2911598.051451242, ""SARIMAX"": 4521737.741442544, ""Holt"": 14243278.540782595, ""Prophet"": 2643298.9239690043, ""Croston"": 6911535.253523424, ""TSB"": 6911535.253523424, ""Ensemble"": 1198401.6735150756}"
PC000470;48;Prophet;39339,13;[40177.28, 38731.42, 56812.28];2,1;ok;"{""ARIMA"": 9660401.459637506, ""ExponentialSmoothing"": 7243483.257368789, ""SARIMAX"": 30838715.89238004, ""Holt"": 15468300.706201078, ""Prophet"": 5599670.0821982585, ""Croston"": 9366665.000473976, ""TSB"": 9366665.000473976}"
PC000674;48;Prophet;38361,520000000004;[41593.63, 40005.63, 56270.62];8,4;ok;"{""ARIMA"": 19970536.285201795, ""ExponentialSmoothing"": 8379803.199710641, ""SARIMAX"": 15183134.70049145, ""Holt"": 28130384.050680023, ""Prophet"": 6369339.324781302, ""Croston"": 10776411.235574633, ""TSB"": 10776411.235574633}"
