Produto;Filial;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;FontePrevisao;ModeloUsado
PC000931;Loja Centro;Fornecedor Alfa;A;Baixa;61,0;62,0;29,5;15;30;10,0;12,36;16,22;🟢 OK;0,0;264,35;0,0;1-Config ML (Painel);Prophet
PC000588;Loja Centro;Fornecedor Alfa;A;Baixa;35,0;75,3;13,9;15;30;10,0;26,17;16,22;🔴 Comprar agora;40,0;186,71;7522,81;1-Config ML (Painel);ExponentialSmoothing
PC000210;Loja Centro;Fornecedor Beta;A;Baixa;12,0;40,8;8,8;15;30;10,0;41,34;16,22;🚨 RUPTURA IMINENTE;29,0;448,73;12910,61;1-Config ML (Painel);ARIMA
PC000819;Loja Centro;Fornecedor Alfa;A;Baixa;38,0;40,2;28,4;15;30;10,0;12,87;16,22;🟢 OK;0,0;284,1;0,0;1-Config ML (Painel);Prophet
PC000016;Loja Centro;Fornecedor Beta;A;Baixa;55,0;31,7;52,0;15;30;10,0;7,02;16,22;🟡 Estoque excessivo;0,0;416,96;0,0;1-Config ML (Painel);Ensemble
PC000690;Loja Centro;Fornecedor Beta;A;Baixa;103,0;34,9;88,5;15;30;10,0;4,12;16,22;🟡 Estoque excessivo;0,0;346,05;0,0;1-Config ML (Painel);ARIMA
PC000295;Loja Centro;Fornecedor Alfa;A;Baixa;78,0;30,8;76,0;15;30;10,0;4,8;16,22;🟡 Estoque excessivo;0,0;361,86;0,0;1-Config ML (Painel);ARIMA
PC000007;Loja Centro;Fornecedor Delta;A;Baixa;13,0;37,1;10,5;15;30;10,0;34,72;16,22;🔴 Comprar agora;24,0;313,99;7567,82;1-Config ML (Painel);ARIMA
PC000425;Loja Centro;Fornecedor Delta;A;Baixa;64,0;21,2;90,6;15;30;10,0;4,03;16,22;🟡 Estoque excessivo;0,0;444,09;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000730;Loja Centro;Fornecedor Gamma;A;Baixa;21,0;29,0;21,7;15;30;10,0;16,82;16,22;🟢 OK;0,0;279,93;0,0;1-Config ML (Painel);Prophet
PC000357;Loja Centro;Fornecedor Delta;A;Baixa;12,0;23,5;15,3;15;30;10,0;23,82;16,22;🟢 OK;0,0;406,11;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000845;Loja Centro;Fornecedor Gamma;A;Baixa;66,0;29,3;67,5;15;30;10,0;5,41;16,22;🟡 Estoque excessivo;0,0;424,84;0,0;1-Config ML (Painel);ARIMA
PC000896;Loja Centro;Fornecedor Beta;A;Baixa;4,0;32,8;3,7;15;30;10,0;99,78;16,22;🚨 RUPTURA IMINENTE;29,0;332,02;9563,18;1-Config ML (Painel);ARIMA
PC000547;Loja Centro;Fornecedor Beta;A;Baixa;64,0;33,3;57,6;15;30;10,0;6,34;16,22;🟡 Estoque excessivo;0,0;364,25;0,0;1-Config ML (Painel);ARIMA
PC000773;Loja Centro;Fornecedor Beta;A;Baixa;138,0;25,7;161,3;15;30;10,0;2,26;16,22;🟡 Estoque excessivo;0,0;402,3;0,0;1-Config ML (Painel);Prophet
