Produto;Filial;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;FontePrevisao;ModeloUsado
PC000335;Loja Norte;Fornecedor Delta;A;Baixa;51,0;34,8;43,9;15;30;10,0;8,31;16,22;🟡 Estoque excessivo;0,0;438,86;0,0;1-Config ML (Painel);Holt
PC000118;Loja Norte;Fornecedor Gamma;A;Baixa;46,0;28,2;48,9;15;30;10,0;7,46;16,22;🟡 Estoque excessivo;0,0;395,84;0,0;1-Config ML (Painel);Ensemble
PC000699;Loja Norte;Fornecedor Beta;A;Baixa;23,0;23,3;29,6;15;30;10,0;12,35;16,22;🟢 OK;0,0;433,7;0,0;1-Config ML (Painel);Ensemble
PC000235;Loja Norte;Fornecedor Beta;A;Baixa;39,0;30,7;38,1;15;30;10,0;9,59;16,22;🟡 Estoque excessivo;0,0;296,04;0,0;1-Config ML (Painel);ARIMA
PC000313;Loja Norte;Fornecedor Delta;A;Baixa;18,0;30,3;17,8;15;30;10,0;20,5;16,22;🟢 OK;0,0;250,04;0,0;1-Config ML (Painel);Holt
PC000996;Loja Norte;Fornecedor Alfa;A;Baixa;12,0;28,1;12,8;15;30;10,0;28,5;16,22;🔴 Comprar agora;16,0;298,37;4806,36;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000591;Loja Norte;Fornecedor Beta;A;Baixa;42,0;28,1;44,9;15;30;10,0;8,14;16,22;🟡 Estoque excessivo;0,0;314,06;0,0;1-Config ML (Painel);Holt
PC000673;Loja Norte;Fornecedor Gamma;A;Baixa;30,0;17,8;50,5;15;30;10,0;7,23;16,22;🟡 Estoque excessivo;0,0;391,68;0,0;1-Config ML (Painel);Ensemble
PC000656;Loja Norte;Fornecedor Alfa;A;Baixa;74,0;18,0;123,4;15;30;10,0;2,96;16,22;🟡 Estoque excessivo;0,0;422,14;0,0;1-Config ML (Painel);SARIMAX
PC000149;Loja Norte;Fornecedor Beta;A;Baixa;24,0;15,8;45,6;15;30;10,0;8,01;16,22;🟡 Estoque excessivo;0,0;383,96;0,0;1-Config ML (Painel);Prophet
PC000751;Loja Norte;Fornecedor Gamma;A;Baixa;33,0;28,7;34,5;15;30;10,0;10,58;16,22;🟡 Estoque excessivo;0,0;244,61;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000668;Loja Norte;Fornecedor Beta;A;Baixa;54,0;15,4;105,4;15;30;10,0;3,46;16,22;🟡 Estoque excessivo;0,0;419,32;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000855;Loja Norte;Fornecedor Beta;A;Baixa;22,0;17,2;38,3;15;30;10,0;9,53;16,22;🟡 Estoque excessivo;0,0;414,17;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000635;Loja Norte;Fornecedor Alfa;A;Baixa;85,0;17,3;147,4;15;30;10,0;2,48;16,22;🟡 Estoque excessivo;0,0;417,81;0,0;1-Config ML (Painel);Holt
PC000168;Loja Norte;Fornecedor Delta;A;Baixa;48,0;29,6;48,6;15;30;10,0;7,51;16,22;🟡 Estoque excessivo;0,0;232,3;0,0;1-Config ML (Painel);Ensemble
PC000875;Loja Norte;Fornecedor Delta;A;Baixa;23,0;22,9;30,1;15;30;10,0;12,13;16,22;🟡 Estoque excessivo;0,0;331,9;0,0;1-Config ML (Painel);ARIMA
PC000099;Loja Norte;Fornecedor Beta;A;Baixa;16,0;16,4;29,3;15;30;10,0;12,47;16,22;🟢 OK;0,0;352,58;0,0;1-Config ML (Painel);ARIMA
PC000665;Loja Norte;Fornecedor Gamma;A;Baixa;83,0;12,5;199,7;15;30;10,0;1,83;16,22;🟡 Estoque excessivo;0,0;446,53;0,0;1-Config ML (Painel);Prophet
PC000300;Loja Norte;Fornecedor Delta;A;Baixa;12,0;21,5;16,7;15;30;10,0;21,85;16,22;🟢 OK;0,0;320,26;0,0;1-Config ML (Painel);ARIMA
PC000440;Loja Norte;Fornecedor Delta;A;Baixa;46,0;19,9;69,2;15;30;10,0;5,28;16,22;🟡 Estoque excessivo;0,0;305,66;0,0;1-Config ML (Painel);Ensemble
PC000773;Loja Norte;Fornecedor Beta;A;Baixa;25,0;12,2;61,7;15;30;10,0;5,92;16,22;🟡 Estoque excessivo;0,0;402,3;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000153;Loja Norte;Fornecedor Gamma;A;Baixa;36,0;17,9;60,4;15;30;10,0;6,04;16,22;🟡 Estoque excessivo;0,0;316,28;0,0;1-Config ML (Painel);SARIMAX
PC000312;Loja Norte;Fornecedor Gamma;A;Baixa;29,0;12,2;71,3;15;30;10,0;5,12;16,22;🟡 Estoque excessivo;0,0;403,51;0,0;1-Config ML (Painel);Ensemble
PC000621;Loja Norte;Fornecedor Gamma;A;Baixa;35,0;22,9;45,9;15;30;10,0;7,96;16,22;🟡 Estoque excessivo;0,0;213,62;0,0;1-Config ML (Painel);Prophet
PC000876;Loja Norte;Fornecedor Beta;A;Baixa;61,0;22,9;79,9;15;30;10,0;4,57;16,22;🟡 Estoque excessivo;0,0;247,67;0,0;1-Config ML (Painel);Ensemble
PC000600;Loja Norte;Fornecedor Gamma;A;Baixa;71,0;9,8;217,3;15;30;10,0;1,68;16,22;🟡 Estoque excessivo;0,0;403,23;0,0;1-Config ML (Painel);Ensemble
PC000210;Loja Norte;Fornecedor Beta;A;Baixa;30,0;13,1;68,6;15;30;10,0;5,32;16,22;🟡 Estoque excessivo;0,0;448,73;0,0;1-Config ML (Painel);ARIMA
PC000295;Loja Norte;Fornecedor Alfa;A;Baixa;22,0;13,6;48,6;15;30;10,0;7,52;16,22;🟡 Estoque excessivo;0,0;361,86;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000896;Loja Norte;Fornecedor Beta;A;Baixa;52,0;16,8;93,1;15;30;10,0;3,92;16,22;🟡 Estoque excessivo;0,0;332,02;0,0;1-Config ML (Painel);ARIMA
PC000853;Loja Norte;Fornecedor Alfa;A;Baixa;109,0;9,7;336,3;15;30;10,0;1,09;16,22;🟡 Estoque excessivo;0,0;388,73;0,0;1-Config ML (Painel);SARIMAX
PC000802;Loja Norte;Fornecedor Gamma;A;Baixa;32,0;12,4;77,4;15;30;10,0;4,71;16,22;🟡 Estoque excessivo;0,0;333,98;0,0;1-Config ML (Painel);SARIMAX
PC000007;Loja Norte;Fornecedor Delta;A;Baixa;8,0;16,0;15,0;15;30;10,0;24,37;16,22;🔴 Comprar agora;8,0;313,99;2519,5;1-Config ML (Painel);ExponentialSmoothing
PC000425;Loja Norte;Fornecedor Delta;A;Baixa;31,0;8,4;111,1;15;30;10,0;3,29;16,22;🟡 Estoque excessivo;0,0;444,09;0,0;1-Config ML (Painel);SARIMAX
PC000207;Loja Norte;Fornecedor Delta;A;Baixa;18,0;13,6;39,7;15;30;10,0;9,18;16,22;🟡 Estoque excessivo;0,0;310,02;0,0;1-Config ML (Painel);ARIMA
PC000683;Loja Norte;Fornecedor Alfa;A;Baixa;40,0;12,2;98,5;15;30;10,0;3,71;16,22;🟡 Estoque excessivo;0,0;291,31;0,0;1-Config ML (Painel);Ensemble
PC000255;Loja Norte;Fornecedor Delta;A;Baixa;40,0;12,3;97,2;15;30;10,0;3,76;16,22;🟡 Estoque excessivo;0,0;311,02;0,0;1-Config ML (Painel);ExponentialSmoothing
PC000176;Loja Norte;Fornecedor Gamma;A;Baixa;66,0;19,5;101,7;15;30;10,0;3,59;16,22;🟡 Estoque excessivo;0,0;246,67;0,0;1-Config ML (Painel);Ensemble
PC000043;Loja Norte;Fornecedor Gamma;A;Baixa;27,0;23,9;33,8;15;30;10,0;10,78;16,22;🟡 Estoque excessivo;0,0;148,89;0,0;1-Config ML (Painel);Ensemble
PC000016;Loja Norte;Fornecedor Beta;A;Baixa;42,0;9,2;137,3;15;30;10,0;2,66;16,22;🟡 Estoque excessivo;0,0;416,96;0,0;1-Config ML (Painel);Prophet
PC000334;Loja Norte;Fornecedor Alfa;A;Baixa;29,0;8,1;108,1;15;30;10,0;3,38;16,22;🟡 Estoque excessivo;0,0;448,38;0,0;1-Config ML (Painel);Holt
PC000059;Loja Norte;Fornecedor Gamma;A;Baixa;85,0;18,2;139,9;15;30;10,0;2,61;16,22;🟡 Estoque excessivo;0,0;220,11;0,0;1-Config ML (Painel);ARIMA
PC000886;Loja Norte;Fornecedor Alfa;A;Baixa;40,0;15,5;77,6;15;30;10,0;4,7;16,22;🟡 Estoque excessivo;0,0;212,01;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000860;Loja Norte;Fornecedor Beta;A;Baixa;30,0;9,1;98,6;15;30;10,0;3,7;16,22;🟡 Estoque excessivo;0,0;329,99;0,0;1-Config ML (Painel);Prophet
PC000473;Loja Norte;Fornecedor Alfa;A;Baixa;71,0;10,1;211,4;15;30;10,0;1,73;16,22;🟡 Estoque excessivo;0,0;396,3;0,0;1-Config ML (Painel);ARIMA
PC000587;Loja Norte;Fornecedor Alfa;A;Baixa;33,0;38,7;25,6;15;30;10,0;14,26;16,22;🟢 OK;0,0;315,25;0,0;1-Config ML (Painel);Média Móvel
