Produto;Filial;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;FontePrevisao;ModeloUsado
PC000410;Loja Sul;Fornecedor Beta;A;Baixa;18,0;44,8;12,1;15;30;10,0;30,28;16,22;🔴 Comprar agora;27,0;391,78;10501,04;1-Config ML (Painel);Prophet
PC000845;Loja Sul;Fornecedor Gamma;A;Baixa;12,0;41,6;8,7;15;30;10,0;42,18;16,22;🚨 RUPTURA IMINENTE;30,0;424,84;12576,24;1-Config ML (Painel);SARIMAX
PC000118;Loja Sul;Fornecedor Gamma;A;Baixa;35,0;37,2;28,2;15;30;10,0;12,94;16,22;🟢 OK;0,0;395,84;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção)
PC000901;Loja Sul;Fornecedor Delta;A;Baixa;36,0;44,4;24,3;15;30;10,0;15,01;16,22;🟢 OK;0,0;252,97;0,0;1-Config ML (Painel);Holt
PC000853;Loja Sul;Fornecedor Alfa;A;Baixa;56,0;22,7;74,1;15;30;10,0;4,93;16,22;🟡 Estoque excessivo;0,0;388,73;0,0;1-Config ML (Painel);Prophet
PC000600;Loja Sul;Fornecedor Gamma;A;Baixa;23,0;28,5;24,2;15;30;10,0;15,06;16,22;🟢 OK;0,0;403,23;0,0;1-Config ML (Painel);ARIMA
PC000146;Loja Sul;Fornecedor Delta;A;Baixa;14,0;21,6;19,4;15;30;10,0;18,78;16,22;🟢 OK;0,0;396,35;0,0;1-Config ML (Painel);ARIMA
PC000357;Loja Sul;Fornecedor Delta;A;Baixa;44,0;26,9;49,0;15;30;10,0;7,44;16,22;🟡 Estoque excessivo;0,0;406,11;0,0;1-Config ML (Painel);Ensemble
PC000430;Loja Sul;Fornecedor Alfa;A;Baixa;20,0;19,5;30,8;15;30;10,0;11,85;16,22;🟡 Estoque excessivo;0,0;391,62;0,0;1-Config ML (Painel);Prophet
PC000335;Loja Sul;Fornecedor Delta;A;Baixa;55,0;16,9;97,7;15;30;10,0;3,74;16,22;🟡 Estoque excessivo;0,0;438,86;0,0;1-Config ML (Painel);Prophet
