Produto;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000005;11/08/2026;1;66,0;142061,7;🔴 Prioritário (até 30 dias);A;Não informado;4,0;101,0
PC000005;26/08/2026;1;62,0;133323,15;🔴 Prioritário (até 30 dias);A;Não informado;4,0;101,0
PC000005;15/09/2026;2;57,0;122523,91;🟡 Planejado;A;Não informado;4,0;87,7
PC000005;30/09/2026;3;61,0;130830,91;🟡 Planejado;A;Não informado;4,0;93,0
PC000005;16/10/2026;3;61,0;130974,98;🟡 Planejado;A;Não informado;4,0;93,0
PC000005;02/11/2026;4;55,0;118775,5;🟡 Planejado;A;Não informado;4,0;86,4
PC000005;17/11/2026;4;53,0;114052,44;🟡 Planejado;A;Não informado;4,0;86,4
PC000005;01/12/2026;5;60,0;128246,59;🟡 Planejado;A;Não informado;4,0;93,7
PC000005;16/12/2026;5;58,0;123669,05;🟡 Planejado;A;Não informado;4,0;93,7
PC000005;01/01/2027;6;58,0;124537,39;🟡 Planejado;A;Não informado;4,0;91,3
PC000005;16/01/2027;6;56,0;120507,79;🟡 Planejado;A;Não informado;4,0;91,3
PC000001;13/08/2026;1;20,0;85449,39;🔴 Prioritário (até 30 dias);A;Não informado;12,0;31,0
PC000001;29/08/2026;1;20,0;86605,84;🔴 Prioritário (até 30 dias);A;Não informado;12,0;31,0
PC000001;09/10/2026;3;11,0;46529,1;🟡 Planejado;A;Não informado;21,0;17,3
PC000001;25/10/2026;3;11,0;48246,83;🟡 Planejado;A;Não informado;21,0;17,3
PC000001;11/11/2026;4;10,0;42692,96;🟡 Planejado;A;Não informado;23,0;16,2
PC000001;27/11/2026;4;11,0;45130,72;🟡 Planejado;A;Não informado;23,0;16,2
PC000001;13/12/2026;5;11,0;44772,73;🟡 Planejado;A;Não informado;23,0;16,1
PC000001;28/12/2026;6;11,0;48769,95;🟡 Planejado;A;Não informado;21,0;17,4
PC000001;13/01/2027;6;11,0;48400,59;🟡 Planejado;A;Não informado;21,0;17,4
PC000002;16/10/2026;3;7,0;34944,5;🟡 Planejado;A;Não informado;33,0;11,2
PC000002;01/11/2026;4;7,0;34855,01;🟡 Planejado;A;Não informado;33,0;11,2
PC000002;16/11/2026;4;7,0;32739,27;🟡 Planejado;A;Não informado;33,0;11,2
PC000002;02/12/2026;5;7,0;32710,0;🟡 Planejado;A;Não informado;34,0;10,9
PC000002;17/12/2026;5;7,0;31791,32;🟡 Planejado;A;Não informado;34,0;10,9
PC000002;01/01/2027;6;7,0;34102,87;🟡 Planejado;A;Não informado;33,0;11,2
PC000002;16/01/2027;6;7,0;32781,98;🟡 Planejado;A;Não informado;33,0;11,2
PC000004;18/09/2026;2;5,0;40068,15;🟡 Planejado;A;Não informado;48,0;7,6
PC000004;04/10/2026;3;4,0;36888,39;🟡 Planejado;A;Não informado;51,0;7,2
PC000004;19/10/2026;3;4,0;36799,15;🟡 Planejado;A;Não informado;51,0;7,2
PC000004;02/11/2026;4;5,0;40336,52;🟡 Planejado;A;Não informado;47,0;7,7
PC000004;17/11/2026;4;5,0;39366,57;🟡 Planejado;A;Não informado;47,0;7,7
PC000004;02/12/2026;5;5,0;39929,76;🟡 Planejado;A;Não informado;47,0;7,8
PC000004;18/12/2026;5;5,0;42248,46;🟡 Planejado;A;Não informado;47,0;7,8
PC000004;03/01/2027;6;5,0;38324,28;🟡 Planejado;A;Não informado;49,0;7,4
PC000004;19/01/2027;6;5,0;40551,52;🟡 Planejado;A;Não informado;49,0;7,4
PC000007;31/07/2026;1;7,0;42599,72;🚨 Urgente (até 7 dias);B;Não informado;57,0;6,4
PC000007;20/08/2026;1;7,0;40263,57;🔴 Prioritário (até 30 dias);B;Não informado;57,0;6,4
PC000007;08/09/2026;2;8,0;43654,93;🟡 Planejado;B;Não informado;54,0;6,8
PC000007;28/09/2026;2;7,0;42425,38;🟡 Planejado;B;Não informado;54,0;6,8
PC000007;18/10/2026;3;8,0;45442,36;🟡 Planejado;B;Não informado;53,0;6,9
PC000007;09/11/2026;4;7,0;42263,2;🟡 Planejado;B;Não informado;55,0;6,6
PC000007;28/11/2026;5;8,0;44252,74;🟡 Planejado;B;Não informado;52,0;7,0
PC000007;19/12/2026;5;8,0;45941,51;🟡 Planejado;B;Não informado;52,0;7,0
PC000007;08/01/2027;6;8,0;47410,58;🟡 Planejado;B;Não informado;51,0;7,2
PC000010;21/08/2026;1;56,0;45367,04;🔴 Prioritário (até 30 dias);C;Não informado;11,0;31,8
PC000010;15/09/2026;2;54,0;44444,11;🟡 Planejado;C;Não informado;11,0;31,8
PC000010;10/10/2026;3;54,0;44444,11;🟡 Planejado;C;Não informado;11,0;31,8
PC000010;04/11/2026;4;54,0;44444,11;🟡 Planejado;C;Não informado;11,0;31,8
PC000010;29/11/2026;5;54,0;44444,11;🟡 Planejado;C;Não informado;11,0;31,8
PC000010;24/12/2026;5;54,0;44444,11;🟡 Planejado;C;Não informado;11,0;31,8
PC000010;18/01/2027;6;54,0;44444,11;🟡 Planejado;C;Não informado;11,0;31,8
PC000009;23/08/2026;1;14,0;10904,05;🔴 Prioritário (até 30 dias);D;Não informado;86,0;4,2
PC000009;28/09/2026;2;14,0;10713,51;🟡 Planejado;D;Não informado;87,0;4,2
PC000009;03/11/2026;4;14,0;10672,13;🟡 Planejado;D;Não informado;89,0;4,1
PC000009;09/12/2026;5;14,0;10629,54;🟡 Planejado;D;Não informado;89,0;4,1
PC000009;10/01/2027;6;15,0;11067,35;🟡 Planejado;D;Não informado;85,0;4,3
PC000003;19/08/2026;1;13,0;4031,25;🔴 Prioritário (até 30 dias);E;Não informado;153,0;2,4
PC000003;03/10/2026;3;13,0;4031,25;🟡 Planejado;E;Não informado;152,0;2,4
PC000003;18/11/2026;4;14,0;4069,32;🟡 Planejado;E;Não informado;152,0;2,4
PC000003;01/01/2027;6;14,0;4140,28;🟡 Planejado;E;Não informado;149,0;2,5
PC000008;31/07/2026;1;43,0;3489,8;🚨 Urgente (até 7 dias);E;Não informado;75,0;4,8
PC000008;15/09/2026;2;27,0;2213,23;🟡 Planejado;E;Não informado;75,0;4,8
PC000008;31/10/2026;4;27,0;2213,23;🟡 Planejado;E;Não informado;75,0;4,8
PC000008;16/12/2026;5;27,0;2213,23;🟡 Planejado;E;Não informado;75,0;4,8
PC000006;31/07/2026;1;3,0;2748,78;🚨 Urgente (até 7 dias);E;Não informado;;
PC000006;13/09/2026;2;2,0;1236,95;🟡 Planejado;E;Não informado;;
PC000006;28/10/2026;3;2,0;1236,95;🟡 Planejado;E;Não informado;;
PC000006;12/12/2026;5;2,0;1236,95;🟡 Planejado;E;Não informado;;
PC000006;26/01/2027;6;2,0;1236,95;🟡 Planejado;E;Não informado;;
