Produto;Mes;Previsto;Real;Erro %;Bias
PC000005;2024-01-01 00:00:00;441319,95;480200,78;8,1;-38880,83
PC000005;2024-02-01 00:00:00;422403,9;396802,53;6,5;25601,37
PC000005;2024-03-01 00:00:00;434523,37;411458,65;5,6;23064,72
PC000005;2024-04-01 00:00:00;427653,51;354108,0;20,8;73545,51
PC000005;2024-05-01 00:00:00;431170,96;438458,24;1,7;-7287,28
PC000005;2024-06-01 00:00:00;428932,3;419774,68;2,2;9157,62
PC000001;2024-01-01 00:00:00;260637,94;251150,38;3,8;9487,56
PC000001;2024-02-01 00:00:00;129838,18;150311,08;13,6;-20472,9
PC000001;2024-03-01 00:00:00;156187,35;139424,48;12,0;16762,87
PC000001;2024-04-01 00:00:00;132905,66;137066,64;3,0;-4160,98
PC000001;2024-05-01 00:00:00;132300,68;138856,49;4,7;-6555,81
PC000001;2024-06-01 00:00:00;144602,12;147617,58;2,0;-3015,46
PC000002;2024-01-01 00:00:00;105111,03;109837,69;4,3;-4726,66
PC000002;2024-02-01 00:00:00;105223,63;113296,63;7,1;-8073,0
PC000002;2024-03-01 00:00:00;105284,49;112017,47;6,0;-6732,98
PC000002;2024-04-01 00:00:00;105317,38;108068,74;2,5;-2751,36
PC000002;2024-05-01 00:00:00;105335,15;102512,15;2,8;2823,0
PC000002;2024-06-01 00:00:00;105344,76;106623,04;1,2;-1278,28
PC000004;2024-01-01 00:00:00;104275,07;104164,95;0,1;110,12
PC000004;2024-02-01 00:00:00;104275,07;102325,37;1,9;1949,7
PC000004;2024-03-01 00:00:00;104275,07;94782,77;10,0;9492,3
PC000004;2024-04-01 00:00:00;104275,07;113284,67;8,0;-9009,6
PC000004;2024-05-01 00:00:00;104275,07;110488,19;5,6;-6213,12
PC000004;2024-06-01 00:00:00;104275,07;107611,63;3,1;-3336,56
PC000007;2024-01-01 00:00:00;73178,75;73401,4;0,3;-222,65
PC000007;2024-02-01 00:00:00;79621,31;79180,63;0,6;440,68
PC000007;2024-03-01 00:00:00;84633,8;77043,43;9,9;7590,37
PC000007;2024-04-01 00:00:00;78789,43;77294,48;1,9;1494,95
PC000007;2024-05-01 00:00:00;80163,38;82636,99;3,0;-2473,61
PC000007;2024-06-01 00:00:00;83358,89;85026,96;2,0;-1668,07
PC000010;2024-01-01 00:00:00;86342,56;78302,19;10,3;8040,37
PC000010;2024-04-01 00:00:00;86699,71;82138,95;5,6;4560,76
PC000010;2024-06-01 00:00:00;86985,44;83672,03;4,0;3313,41
PC000010;2024-07-01 00:00:00;87214,02;86192,07;1,2;1021,95
PC000010;2024-09-01 00:00:00;87396,88;89304,6;2,1;-1907,72
PC000010;2024-10-01 00:00:00;87543,17;81169,61;7,9;6373,56
PC000009;2024-01-01 00:00:00;13658,17;13351,49;2,3;306,68
PC000009;2024-02-01 00:00:00;13707,66;13621,44;0,6;86,22
PC000009;2024-03-01 00:00:00;13747,25;13476,34;2,0;270,91
PC000009;2024-04-01 00:00:00;13778,92;11756,18;17,2;2022,74
PC000009;2024-05-01 00:00:00;13804,26;12379,39;11,5;1424,87
PC000009;2024-06-01 00:00:00;13824,53;13879,66;0,4;-55,13
PC000003;2024-01-01 00:00:00;4211,17;4085,54;3,1;125,63
PC000003;2024-02-01 00:00:00;4211,17;4302,62;2,1;-91,45
PC000003;2024-03-01 00:00:00;4211,17;4719,92;10,8;-508,75
PC000003;2024-04-01 00:00:00;4211,17;4689,12;10,2;-477,95
PC000003;2024-05-01 00:00:00;4211,17;4568,79;7,8;-357,62
PC000003;2024-06-01 00:00:00;4211,17;4362,7;3,5;-151,53
