Produto;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;CapitalParado
PC005636;Não informado;C;Baixa;6,0;1,9;93,9;30;55;15;3,89;8,59;🟡 Estoque excessivo;0,0;8146,99;0,0;48881,94
PC001140;Não informado;D;Baixa;4,0;1,3;89,5;40;75;15;4,08;6,35;🟡 Estoque excessivo;0,0;8813,6;0,0;35254,4
PC009972;Não informado;C;Baixa;6,0;2,0;92,0;30;55;15;3,97;8,59;🟡 Estoque excessivo;0,0;5466,66;0,0;32799,96
PC002753;Não informado;D;Baixa;6,0;2,0;91,1;40;75;15;4,01;6,35;🟡 Estoque excessivo;0,0;5097,87;0,0;30587,22
PC000212;Não informado;D;Baixa;5,0;1,8;81,3;40;75;15;4,49;6,35;🟡 Estoque excessivo;0,0;5345,01;0,0;26725,050000000003
PC000830;Não informado;D;Baixa;6,0;2,0;89,8;40;75;15;4,06;6,35;🟡 Estoque excessivo;0,0;4415,99;0,0;26495,94
PC008408;Não informado;D;Baixa;3,0;1,1;84,6;40;75;15;4,31;6,35;🟡 Estoque excessivo;0,0;8434,61;0,0;25303,83
PC003591;Não informado;D;Baixa;5,0;1,8;82,2;40;75;15;4,44;6,35;🟡 Estoque excessivo;0,0;4969,58;0,0;24847,9
PC004804;Não informado;D;Baixa;3,0;1,0;86,2;40;75;15;4,23;6,35;🟡 Estoque excessivo;0,0;8260,94;0,0;24782,82
PC001220;Não informado;D;Baixa;3,0;0,9;105,1;40;75;15;3,47;6,35;🟡 Estoque excessivo;0,0;7825,41;0,0;23476,23
PC005786;Não informado;D;Baixa;6,0;1,9;94,6;40;75;15;3,86;6,35;🟡 Estoque excessivo;0,0;3901,21;0,0;23407,260000000002
PC003096;Não informado;D;Baixa;4,0;1,3;93,4;40;75;15;3,91;6,35;🟡 Estoque excessivo;0,0;5837,25;0,0;23349,0
PC004180;Não informado;D;Baixa;5,0;2,0;74,1;40;75;15;4,92;6,35;🟢 OK;0,0;4621,33;0,0;23106,65
PC000013;Não informado;D;Baixa;4,0;1,4;85,2;40;75;15;4,28;6,35;🟡 Estoque excessivo;0,0;5521,4;0,0;22085,6
PC007489;Não informado;D;Baixa;6,0;2,0;89,7;40;75;15;4,07;6,35;🟡 Estoque excessivo;0,0;3641,52;0,0;21849,12
PC007940;Não informado;D;Baixa;5,0;1,7;86,4;40;75;15;4,22;6,35;🟡 Estoque excessivo;0,0;4364,35;0,0;21821,75
PC006983;Não informado;D;Baixa;6,0;2,0;90,3;40;75;15;4,04;6,35;🟡 Estoque excessivo;0,0;3578,76;0,0;21472,56
PC004335;Não informado;D;Baixa;3,0;1,5;59,6;40;75;15;6,13;6,35;🟢 OK;0,0;6771,49;0,0;20314,47
PC007757;Não informado;C;Baixa;3,0;2,0;44,9;30;55;15;8,12;8,59;🟢 OK;0,0;6697,59;0,0;20092,77
PC003631;Não informado;D;Baixa;3,0;1,3;70,9;40;75;15;5,15;6,35;🟢 OK;0,0;6691,78;0,0;20075,34
