Produto;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido
PC004109;Não informado;A;Baixa;194,0;425,4;13,7;15;30;15;26,68;16,22;🚨 RUPTURA IMINENTE;231,0;7443,26;1722696,82
PC008728;Não informado;A;Baixa;590,0;490,7;36,1;15;30;15;10,12;16,22;🟡 Estoque excessivo;0,0;6993,05;0,0
PC008559;Não informado;A;Baixa;520,0;225,3;69,2;15;30;15;5,27;16,22;🟡 Estoque excessivo;0,0;6101,87;0,0
PC001624;Não informado;A;Baixa;497,0;289,5;51,5;15;30;15;7,09;16,22;🟡 Estoque excessivo;0,0;5427,12;0,0
PC000879;Não informado;A;Baixa;213,0;206,8;30,9;15;30;15;11,81;16,22;🟡 Estoque excessivo;0,0;6154,71;0,0
PC003508;Não informado;A;Baixa;843,0;272,0;93,0;15;30;15;3,93;16,22;🟡 Estoque excessivo;0,0;6034,88;0,0
PC001007;Não informado;A;Baixa;221,0;174,6;38,0;15;30;15;9,61;16,22;🟡 Estoque excessivo;0,0;6689,17;0,0
PC004564;Não informado;A;Baixa;657,0;364,8;54,0;15;30;15;6,76;16,22;🟡 Estoque excessivo;0,0;5306,54;0,0
PC002178;Não informado;A;Baixa;922,0;485,9;56,9;15;30;15;6,41;16,22;🟡 Estoque excessivo;0,0;3947,86;0,0
PC007676;Não informado;A;Baixa;694,0;480,5;43,3;15;30;15;8,42;16,22;🟡 Estoque excessivo;0,0;4242,51;0,0
PC000815;Não informado;A;Baixa;499,0;233,7;64,0;15;30;15;5,7;16,22;🟡 Estoque excessivo;0,0;5073,32;0,0
PC006612;Não informado;A;Baixa;575,0;482,8;35,7;15;30;15;10,22;16,22;🟡 Estoque excessivo;0,0;3809,26;0,0
PC008084;Não informado;A;Baixa;98,0;189,0;15,6;15;30;15;23,47;16,22;🟢 OK;0,0;5969,66;0,0
PC008962;Não informado;A;Média;459,0;469,6;29,3;15;30;15;12,45;16,22;🟢 OK;0,0;3557,61;0,0
PC007693;Não informado;A;Baixa;132,0;216,6;18,3;15;30;15;19,96;16,22;🟢 OK;0,0;6733,26;0,0
PC004689;Não informado;A;Baixa;449,0;173,7;77,5;15;30;15;4,71;16,22;🟡 Estoque excessivo;0,0;4385,11;0,0
PC003117;Não informado;A;Baixa;344,0;140,4;73,5;15;30;15;4,97;16,22;🟡 Estoque excessivo;0,0;6092,31;0,0
PC007791;Não informado;A;Baixa;91,0;109,3;25,0;15;30;15;14,61;16,22;🟢 OK;0,0;7718,27;0,0
PC003771;Não informado;A;Baixa;310,0;313,8;29,6;15;30;15;12,32;16,22;🟢 OK;0,0;2376,87;0,0
PC008785;Não informado;A;Baixa;252,0;437,3;17,3;15;30;15;21,11;16,22;🟢 OK;0,0;3164,77;0,0
PC001677;Não informado;A;Baixa;320,0;126,1;76,1;15;30;15;4,79;16,22;🟡 Estoque excessivo;0,0;5072,11;0,0
PC007252;Não informado;A;Baixa;248,0;245,2;30,3;15;30;15;12,03;16,22;🟡 Estoque excessivo;0,0;4652,82;0,0
PC002074;Não informado;A;Baixa;355,0;331,9;32,1;15;30;15;11,38;16,22;🟡 Estoque excessivo;0,0;2132,9;0,0
PC004212;Não informado;A;Baixa;399,0;123,1;97,2;15;30;15;3,75;16,22;🟡 Estoque excessivo;0,0;5885,74;0,0
PC009924;Não informado;A;Baixa;550,0;372,2;44,3;15;30;15;8,23;16,22;🟡 Estoque excessivo;0,0;2543,91;0,0
PC004439;Não informado;A;Baixa;453,0;297,6;45,7;15;30;15;7,99;16,22;🟡 Estoque excessivo;0,0;2449,06;0,0
PC009540;Não informado;A;Baixa;353,0;290,5;36,5;15;30;15;10,01;16,22;🟡 Estoque excessivo;0,0;3417,77;0,0
PC001815;Não informado;A;Baixa;130,0;245,3;15,9;15;30;15;22,96;16,22;🟢 OK;0,0;2750,39;0,0
PC003457;Não informado;A;Baixa;369,0;129,3;85,6;15;30;15;4,26;16,22;🟡 Estoque excessivo;0,0;4362,59;0,0
