Produto;Filial;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000931;Loja Centro;28/08/2026;1;32,0;8446,32;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;7,0;50,3
PC000931;Loja Centro;13/09/2026;2;38,0;10036,73;🟡 Planejado;A;Fornecedor Alfa;7,0;54,1
PC000931;Loja Centro;29/09/2026;2;36,0;9407,63;🟡 Planejado;A;Fornecedor Alfa;7,0;54,1
PC000931;Loja Centro;13/10/2026;3;59,0;15476,8;🟡 Planejado;A;Fornecedor Alfa;5,0;75,6
PC000931;Loja Centro;28/10/2026;3;47,0;12325,36;🟡 Planejado;A;Fornecedor Alfa;5,0;75,6
PC000931;Loja Centro;12/11/2026;4;63,0;16565,8;🟡 Planejado;A;Fornecedor Alfa;4,0;88,2
PC000931;Loja Centro;28/11/2026;4;58,0;15335,66;🟡 Planejado;A;Fornecedor Alfa;4,0;88,2
PC000931;Loja Centro;22/12/2026;5;39,0;10417,12;🟡 Planejado;A;Fornecedor Alfa;6,0;60,0
PC000931;Loja Centro;06/01/2027;5;37,0;9772,41;🟡 Planejado;A;Fornecedor Alfa;6,0;60,0
PC000931;Loja Centro;21/01/2027;6;39,0;10243,96;🟡 Planejado;A;Fornecedor Alfa;6,0;61,0
PC000931;Loja Centro;05/02/2027;6;38,0;9944,93;🟡 Planejado;A;Fornecedor Alfa;6,0;61,0
PC000588;Loja Centro;14/08/2026;1;43,0;7991,4;🚨 Urgente (até 7 dias);A;Fornecedor Alfa;6,0;61,1
PC000588;Loja Centro;30/08/2026;1;40,0;7497,42;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;6,0;61,1
PC000588;Loja Centro;17/09/2026;2;33,0;6126,16;🟡 Planejado;A;Fornecedor Alfa;7,0;52,5
PC000588;Loja Centro;02/10/2026;2;32,0;6039,5;🟡 Planejado;A;Fornecedor Alfa;7,0;52,5
PC000588;Loja Centro;13/10/2026;3;53,0;9817,5;🟡 Planejado;A;Fornecedor Alfa;5,0;75,1
PC000588;Loja Centro;29/10/2026;3;49,0;9223,31;🟡 Planejado;A;Fornecedor Alfa;5,0;75,1
PC000588;Loja Centro;12/11/2026;4;71,0;13247,17;🟡 Planejado;A;Fornecedor Alfa;4,0;96,9
PC000588;Loja Centro;28/11/2026;4;64,0;11895,19;🟡 Planejado;A;Fornecedor Alfa;4,0;96,9
PC000588;Loja Centro;21/12/2026;5;42,0;7884,32;🟡 Planejado;A;Fornecedor Alfa;5,0;66,9
PC000588;Loja Centro;05/01/2027;5;41,0;7696,11;🟡 Planejado;A;Fornecedor Alfa;5,0;66,9
PC000588;Loja Centro;21/01/2027;6;44,0;8133,98;🟡 Planejado;A;Fornecedor Alfa;5,0;66,6
PC000588;Loja Centro;06/02/2027;6;44,0;8179,84;🟡 Planejado;A;Fornecedor Alfa;5,0;66,6
PC000210;Loja Centro;14/08/2026;1;30,0;13520,45;🚨 Urgente (até 7 dias);A;Fornecedor Beta;11,0;33,1
PC000210;Loja Centro;29/08/2026;1;20,0;9147,68;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;11,0;33,1
PC000210;Loja Centro;14/09/2026;2;21,0;9430,07;🟡 Planejado;A;Fornecedor Beta;11,0;32,5
PC000210;Loja Centro;29/09/2026;2;20,0;8994,19;🟡 Planejado;A;Fornecedor Beta;11,0;32,5
PC000210;Loja Centro;15/10/2026;3;21,0;9405,76;🟡 Planejado;A;Fornecedor Beta;11,0;32,2
PC000210;Loja Centro;30/10/2026;3;20,0;8908,71;🟡 Planejado;A;Fornecedor Beta;11,0;32,2
PC000210;Loja Centro;15/11/2026;4;21,0;9394,75;🟡 Planejado;A;Fornecedor Beta;11,0;32,0
PC000210;Loja Centro;30/11/2026;4;20,0;8861,12;🟡 Planejado;A;Fornecedor Beta;11,0;32,0
PC000210;Loja Centro;16/12/2026;5;21,0;9390,02;🟡 Planejado;A;Fornecedor Beta;11,0;31,9
PC000210;Loja Centro;01/01/2027;5;21,0;9423,59;🟡 Planejado;A;Fornecedor Beta;11,0;31,9
PC000210;Loja Centro;17/01/2027;6;21,0;9387,18;🟡 Planejado;A;Fornecedor Beta;11,0;31,9
PC000210;Loja Centro;02/02/2027;6;21,0;9407,85;🟡 Planejado;A;Fornecedor Beta;11,0;31,9
PC000819;Loja Centro;27/08/2026;1;21,0;5951,98;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;11,0;32,6
PC000819;Loja Centro;11/09/2026;1;20,0;5709,47;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;11,0;32,6
PC000819;Loja Centro;25/09/2026;2;22,0;6151,92;🟡 Planejado;A;Fornecedor Alfa;11,0;34,2
PC000819;Loja Centro;10/10/2026;2;21,0;5996,59;🟡 Planejado;A;Fornecedor Alfa;11,0;34,2
PC000819;Loja Centro;18/10/2026;3;30,0;8639,53;🟡 Planejado;A;Fornecedor Alfa;8,0;47,2
PC000819;Loja Centro;02/11/2026;3;29,0;8263,82;🟡 Planejado;A;Fornecedor Alfa;8,0;47,2
PC000819;Loja Centro;14/11/2026;4;36,0;10344,07;🟡 Planejado;A;Fornecedor Alfa;6,0;56,9
PC000819;Loja Centro;29/11/2026;4;35,0;9960,65;🟡 Planejado;A;Fornecedor Alfa;6,0;56,9
PC000819;Loja Centro;26/12/2026;5;22,0;6183,11;🟡 Planejado;A;Fornecedor Alfa;11,0;34,5
PC000819;Loja Centro;10/01/2027;5;21,0;6045,29;🟡 Planejado;A;Fornecedor Alfa;11,0;34,5
PC000819;Loja Centro;24/01/2027;6;24,0;6908,66;🟡 Planejado;A;Fornecedor Alfa;10,0;37,0
PC000819;Loja Centro;09/02/2027;6;24,0;6908,82;🟡 Planejado;A;Fornecedor Alfa;10,0;37,0
PC000016;Loja Centro;19/09/2026;2;17,0;7280,67;🟡 Planejado;A;Fornecedor Beta;14,0;26,8
PC000016;Loja Centro;04/10/2026;2;17,0;6884,5;🟡 Planejado;A;Fornecedor Beta;14,0;26,8
PC000016;Loja Centro;15/10/2026;3;22,0;9060,64;🟡 Planejado;A;Fornecedor Beta;11,0;33,9
PC000016;Loja Centro;31/10/2026;3;22,0;9288,68;🟡 Planejado;A;Fornecedor Beta;11,0;33,9
PC000016;Loja Centro;13/11/2026;4;25,0;10255,15;🟡 Planejado;A;Fornecedor Beta;9,0;38,8
PC000016;Loja Centro;28/11/2026;4;24,0;9977,56;🟡 Planejado;A;Fornecedor Beta;9,0;38,8
