Produto;Filial;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000335;Loja Norte;08/09/2026;1;18,0;7691,23;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;23/09/2026;2;17,0;7645,75;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;08/10/2026;2;17,0;7645,72;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;23/10/2026;3;17,0;7645,75;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;08/11/2026;3;19,0;8155,45;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;23/11/2026;4;17,0;7645,76;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;09/12/2026;5;19,0;8155,47;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;24/12/2026;5;17,0;7645,75;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;08/01/2027;6;17,0;7645,76;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000335;Loja Norte;24/01/2027;6;19,0;8155,47;🟡 Planejado;A;Fornecedor Delta;13,0;28,3
PC000118;Loja Norte;13/09/2026;2;14,0;5696,2;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;29/09/2026;2;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;15/10/2026;3;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;31/10/2026;3;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;16/11/2026;4;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;02/12/2026;4;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;18/12/2026;5;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;03/01/2027;5;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;19/01/2027;6;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000118;Loja Norte;04/02/2027;6;15,0;5976,21;🟡 Planejado;A;Fornecedor Gamma;16,0;23,0
PC000699;Loja Norte;25/08/2026;1;12,0;5237,18;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;09/09/2026;1;12,0;5070,76;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;24/09/2026;2;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;09/10/2026;2;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;24/10/2026;3;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;08/11/2026;3;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;23/11/2026;4;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;08/12/2026;4;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;23/12/2026;5;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;07/01/2027;5;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;22/01/2027;6;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000699;Loja Norte;06/02/2027;6;12,0;5070,76;🟡 Planejado;A;Fornecedor Beta;19,0;19,0
PC000235;Loja Norte;02/09/2026;1;17,0;4935,81;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;14,0;25,6
PC000235;Loja Norte;17/09/2026;2;16,0;4699,3;🟡 Planejado;A;Fornecedor Beta;14,0;25,6
PC000235;Loja Norte;03/10/2026;2;17,0;4990,14;🟡 Planejado;A;Fornecedor Beta;14,0;25,6
PC000235;Loja Norte;18/10/2026;3;16,0;4691,89;🟡 Planejado;A;Fornecedor Beta;14,0;25,7
PC000235;Loja Norte;03/11/2026;3;17,0;4995,73;🟡 Planejado;A;Fornecedor Beta;14,0;25,7
PC000235;Loja Norte;18/11/2026;4;16,0;4688,84;🟡 Planejado;A;Fornecedor Beta;14,0;25,7
PC000235;Loja Norte;03/12/2026;4;16,0;4685,5;🟡 Planejado;A;Fornecedor Beta;14,0;25,7
PC000235;Loja Norte;18/12/2026;5;16,0;4687,54;🟡 Planejado;A;Fornecedor Beta;14,0;25,7
PC000235;Loja Norte;03/01/2027;5;17,0;4998,69;🟡 Planejado;A;Fornecedor Beta;14,0;25,7
PC000235;Loja Norte;18/01/2027;6;16,0;4687,07;🟡 Planejado;A;Fornecedor Beta;14,0;25,7
PC000235;Loja Norte;03/02/2027;6;17,0;4999,0;🟡 Planejado;A;Fornecedor Beta;14,0;25,7
PC000313;Loja Norte;14/08/2026;1;16,0;3933,39;🚨 Urgente (até 7 dias);A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;29/08/2026;1;15,0;3720,93;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;13/09/2026;2;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;28/09/2026;2;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;13/10/2026;3;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;28/10/2026;3;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;12/11/2026;4;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;27/11/2026;4;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;12/12/2026;5;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;27/12/2026;5;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;11/01/2027;6;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
PC000313;Loja Norte;26/01/2027;6;15,0;3720,93;🟡 Planejado;A;Fornecedor Delta;15,0;24,1
