Produto;Filial;DataEvento;MesHorizonte;QtdComprar;ValorCompra;Urgencia;Classe;Fornecedor;CicloDias;FrequenciaAno
PC000410;Loja Sul;11/08/2026;1;28,0;11086,14;🚨 Urgente (até 7 dias);A;Fornecedor Beta;10,0;36,3
PC000410;Loja Sul;27/08/2026;1;24,0;9361,64;🔴 Prioritário (até 30 dias);A;Fornecedor Beta;10,0;36,3
PC000410;Loja Sul;11/09/2026;2;23,0;8976,63;🟡 Planejado;A;Fornecedor Beta;10,0;36,7
PC000410;Loja Sul;27/09/2026;2;24,0;9461,68;🟡 Planejado;A;Fornecedor Beta;10,0;36,7
PC000410;Loja Sul;10/10/2026;3;31,0;12267,14;🟡 Planejado;A;Fornecedor Beta;8,0;45,9
PC000410;Loja Sul;26/10/2026;3;30,0;11825,31;🟡 Planejado;A;Fornecedor Beta;8,0;45,9
PC000410;Loja Sul;09/11/2026;4;42,0;16523,63;🟡 Planejado;A;Fornecedor Beta;6,0;58,3
PC000410;Loja Sul;24/11/2026;4;36,0;14074,85;🟡 Planejado;A;Fornecedor Beta;6,0;58,3
PC000410;Loja Sul;16/12/2026;5;25,0;9870,58;🟡 Planejado;A;Fornecedor Beta;9,0;40,7
PC000410;Loja Sul;31/12/2026;5;25,0;9822,53;🟡 Planejado;A;Fornecedor Beta;9,0;40,7
PC000410;Loja Sul;15/01/2027;6;28,0;10875,13;🟡 Planejado;A;Fornecedor Beta;9,0;42,4
PC000410;Loja Sul;31/01/2027;6;28,0;10920,57;🟡 Planejado;A;Fornecedor Beta;9,0;42,4
PC000845;Loja Sul;11/08/2026;1;31,0;13165,38;🚨 Urgente (até 7 dias);A;Fornecedor Gamma;11,0;33,7
PC000845;Loja Sul;27/08/2026;1;22,0;9426,3;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;11,0;33,7
PC000845;Loja Sul;12/09/2026;2;20,0;8347,66;🟡 Planejado;A;Fornecedor Gamma;11,0;31,9
PC000845;Loja Sul;28/09/2026;2;21,0;8903,33;🟡 Planejado;A;Fornecedor Gamma;11,0;31,9
PC000845;Loja Sul;10/10/2026;3;29,0;12124,6;🟡 Planejado;A;Fornecedor Gamma;9,0;41,9
PC000845;Loja Sul;26/10/2026;3;28,0;11714,74;🟡 Planejado;A;Fornecedor Gamma;9,0;41,9
PC000845;Loja Sul;09/11/2026;4;33,0;14190,92;🟡 Planejado;A;Fornecedor Gamma;7,0;49,2
PC000845;Loja Sul;24/11/2026;4;30,0;12889,27;🟡 Planejado;A;Fornecedor Gamma;7,0;49,2
PC000845;Loja Sul;15/12/2026;5;23,0;9736,56;🟡 Planejado;A;Fornecedor Gamma;10,0;36,4
PC000845;Loja Sul;30/12/2026;5;22,0;9520,99;🟡 Planejado;A;Fornecedor Gamma;10,0;36,4
PC000845;Loja Sul;16/01/2027;6;22,0;9215,43;🟡 Planejado;A;Fornecedor Gamma;11,0;34,0
PC000845;Loja Sul;01/02/2027;6;22,0;9509,56;🟡 Planejado;A;Fornecedor Gamma;11,0;34,0
PC000901;Loja Sul;20/08/2026;1;23,0;5785,93;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;04/09/2026;1;22,0;5584,82;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;19/09/2026;2;22,0;5584,83;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;05/10/2026;2;24,0;5957,14;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;20/10/2026;3;22,0;5584,83;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;04/11/2026;3;22,0;5584,82;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;19/11/2026;4;22,0;5584,83;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;05/12/2026;4;24,0;5957,15;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;20/12/2026;5;22,0;5584,83;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;05/01/2027;5;24,0;5957,15;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;20/01/2027;6;22,0;5584,83;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000901;Loja Sul;05/02/2027;6;24,0;5957,15;🟡 Planejado;A;Fornecedor Delta;10,0;35,8
PC000853;Loja Sul;06/10/2026;2;12,0;4711,18;🟡 Planejado;A;Fornecedor Alfa;19,0;19,4
PC000853;Loja Sul;15/10/2026;3;17,0;6565,14;🟡 Planejado;A;Fornecedor Alfa;14,0;26,0
PC000853;Loja Sul;31/10/2026;3;17,0;6636,17;🟡 Planejado;A;Fornecedor Alfa;14,0;26,0
PC000853;Loja Sul;12/11/2026;4;20,0;7773,29;🟡 Planejado;A;Fornecedor Alfa;12,0;31,1
PC000853;Loja Sul;27/11/2026;4;19,0;7455,01;🟡 Planejado;A;Fornecedor Alfa;12,0;31,1
PC000853;Loja Sul;20/12/2026;5;14,0;5351,64;🟡 Planejado;A;Fornecedor Alfa;17,0;22,1
PC000853;Loja Sul;04/01/2027;5;14,0;5283,8;🟡 Planejado;A;Fornecedor Alfa;17,0;22,1
PC000853;Loja Sul;19/01/2027;6;14,0;5451,09;🟡 Planejado;A;Fornecedor Alfa;16,0;22,3
PC000853;Loja Sul;03/02/2027;6;14,0;5343,55;🟡 Planejado;A;Fornecedor Alfa;16,0;22,3
PC000600;Loja Sul;20/08/2026;1;15,0;6034,34;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;16,0;23,1
PC000600;Loja Sul;05/09/2026;1;15,0;6123,45;🔴 Prioritário (até 30 dias);A;Fornecedor Gamma;16,0;23,1
PC000600;Loja Sul;21/09/2026;2;15,0;5959,18;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000600;Loja Sul;07/10/2026;2;15,0;6060,87;🟡 Planejado;A;Fornecedor Gamma;16,0;22,9
PC000600;Loja Sul;23/10/2026;3;15,0;5965,72;🟡 Planejado;A;Fornecedor Gamma;16,0;22,7
PC000600;Loja Sul;08/11/2026;3;15,0;6026,27;🟡 Planejado;A;Fornecedor Gamma;16,0;22,7
PC000600;Loja Sul;24/11/2026;4;15,0;5971,26;🟡 Planejado;A;Fornecedor Gamma;16,0;22,7
PC000600;Loja Sul;10/12/2026;5;15,0;5985,98;🟡 Planejado;A;Fornecedor Gamma;16,0;22,6
PC000600;Loja Sul;25/12/2026;5;14,0;5621,77;🟡 Planejado;A;Fornecedor Gamma;16,0;22,6
PC000600;Loja Sul;10/01/2027;6;15,0;5984,49;🟡 Planejado;A;Fornecedor Gamma;16,0;22,6
PC000600;Loja Sul;25/01/2027;6;14,0;5616,29;🟡 Planejado;A;Fornecedor Gamma;16,0;22,6
PC000146;Loja Sul;15/08/2026;1;11,0;4445,47;🚨 Urgente (até 7 dias);A;Fornecedor Delta;21,0;17,5
PC000146;Loja Sul;31/08/2026;1;12,0;4568,85;🔴 Prioritário (até 30 dias);A;Fornecedor Delta;21,0;17,5
PC000146;Loja Sul;16/09/2026;2;11,0;4482,67;🟡 Planejado;A;Fornecedor Delta;21,0;17,4
PC000146;Loja Sul;02/10/2026;2;11,0;4531,59;🟡 Planejado;A;Fornecedor Delta;21,0;17,4
PC000146;Loja Sul;18/10/2026;3;11,0;4490,13;🟡 Planejado;A;Fornecedor Delta;21,0;17,3
PC000146;Loja Sul;02/11/2026;3;11,0;4232,42;🟡 Planejado;A;Fornecedor Delta;21,0;17,3
PC000146;Loja Sul;18/11/2026;4;11,0;4495,17;🟡 Planejado;A;Fornecedor Delta;21,0;17,3
PC000146;Loja Sul;03/12/2026;4;11,0;4225,14;🟡 Planejado;A;Fornecedor Delta;21,0;17,3
PC000146;Loja Sul;19/12/2026;5;11,0;4497,73;🟡 Planejado;A;Fornecedor Delta;21,0;17,3
PC000146;Loja Sul;03/01/2027;5;11,0;4221,82;🟡 Planejado;A;Fornecedor Delta;21,0;17,3
PC000146;Loja Sul;19/01/2027;6;11,0;4499,03;🟡 Planejado;A;Fornecedor Delta;21,0;17,3
PC000146;Loja Sul;04/02/2027;6;11,0;4501,65;🟡 Planejado;A;Fornecedor Delta;21,0;17,3
PC000357;Loja Sul;13/09/2026;2;14,0;5527,45;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;29/09/2026;2;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;15/10/2026;3;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;31/10/2026;3;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;16/11/2026;4;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;02/12/2026;4;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;18/12/2026;5;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;03/01/2027;5;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;19/01/2027;6;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000357;Loja Sul;04/02/2027;6;14,0;5849,07;🟡 Planejado;A;Fornecedor Delta;17,0;21,9
PC000430;Loja Sul;26/08/2026;1;10,0;3867,52;🔴 Prioritário (até 30 dias);A;Fornecedor Alfa;23,0;15,8
