Produto;Motivo;MesesHistorico;MinimoExigido
PC000334;Histórico insuficiente;15;18
PC000751;Histórico insuficiente;13;18
PC000473;Histórico insuficiente;14;18
PC000529;Histórico insuficiente;6;18
PC000611;Histórico insuficiente;12;18
PC000318;Histórico insuficiente;9;18
PC000348;Histórico insuficiente;6;18
PC000958;Histórico insuficiente;12;18
PC000441;Histórico insuficiente;7;18
PC000373;Histórico insuficiente;5;18
PC000084;Histórico insuficiente;3;18
PC000100;Histórico insuficiente;6;18
PC000671;Histórico insuficiente;15;18
PC000238;Histórico insuficiente;6;18
PC000038;Histórico insuficiente;4;18
PC000926;Histórico insuficiente;10;18
PC000033;Histórico insuficiente;9;18
PC000621;Histórico insuficiente;7;18
PC000617;Histórico insuficiente;7;18
PC000853;Histórico insuficiente;3;18
PC000983;Histórico insuficiente;4;18
PC000067;Histórico insuficiente;16;18
PC000577;Histórico insuficiente;13;18
PC000498;Histórico insuficiente;14;18
PC000291;Histórico insuficiente;3;18
PC000369;Histórico insuficiente;3;18
PC000388;Histórico insuficiente;3;18
PC000169;Histórico insuficiente;4;18
