Produto;Motivo;MesesHistorico;MinimoExigido
PC000857;Histórico insuficiente;15;18
PC000334;Histórico insuficiente;15;18
PC000336;Histórico insuficiente;14;18
PC000313;Histórico insuficiente;12;18
PC000487;Histórico insuficiente;16;18
PC000719;Histórico insuficiente;7;18
PC000851;Histórico insuficiente;14;18
PC000529;Histórico insuficiente;15;18
PC000974;Histórico insuficiente;11;18
PC000450;Histórico insuficiente;13;18
PC000953;Histórico insuficiente;10;18
PC000343;Histórico insuficiente;4;18
PC000730;Histórico insuficiente;12;18
PC000067;Histórico insuficiente;12;18
PC000802;Histórico insuficiente;7;18
PC000656;Histórico insuficiente;8;18
PC000695;Histórico insuficiente;8;18
PC000776;Histórico insuficiente;11;18
PC000939;Histórico insuficiente;15;18
PC000614;Histórico insuficiente;9;18
PC000641;Histórico insuficiente;14;18
PC000435;Histórico insuficiente;11;18
PC000298;Histórico insuficiente;7;18
PC000203;Histórico insuficiente;12;18
PC000423;Histórico insuficiente;3;18
