Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank;_ProdutoUnico
PC000845;48;Ensemble;48990,61;[46732.3, 46787.11, 57317.71, 65942.56, 49573.64, 49154.98];-4,6;ok;"{""ARIMA"": 9182807.905412594, ""ExponentialSmoothing"": 11612071.465468237, ""SARIMAX"": 55220694.51340642, ""Holt"": 25879268.87381649, ""Prophet"": 11389762.756690405, ""Ensemble"": 6017786.908455427}";PC000845
PC000335;48;ARIMA;46813,62;[46613.52, 46501.93, 46439.69, 46404.98, 46385.62, 46374.82];-0,4;ok;"{""ARIMA"": 2460641.836052784, ""ExponentialSmoothing"": 3589808.491910731, ""SARIMAX"": 5320324.355877571, ""Holt"": 23613173.724781293, ""Prophet"": 3957676.0989695056}";PC000335
PC000118;48;ExponentialSmoothing;40511,5;[43933.37, 43186.28, 56843.66, 67002.78, 47674.88, 50943.06];8,4;ok;"{""ARIMA"": 18358751.52888614, ""ExponentialSmoothing"": 15770845.199637508, ""SARIMAX"": 33537548.084074277, ""Holt"": 77909473.56589317, ""Prophet"": 19873459.471952237, ""Ensemble"": 16358592.409281885}";PC000118
PC000410;48;LightGBM (pooled);37131,740000000005;[36597.79, 37228.09, 49977.16, 61796.04, 42334.66, 41551.6];-1,4;ok;"{""ARIMA"": 17882338.671142157, ""ExponentialSmoothing"": 6158373.627133899, ""SARIMAX"": 9260721.111688549, ""Holt"": 24548656.17633946, ""Prophet"": 5497324.620948502}";PC000410
PC000931;48;LightGBM (pooled);40803,22;[39771.7, 39514.29, 55087.79, 65652.19, 46520.85, 48838.55];-2,5;ok;"{""ARIMA"": 8498252.074623063, ""ExponentialSmoothing"": 10522093.607312698, ""SARIMAX"": 14305864.428766387, ""Holt"": 29706265.07525846, ""Prophet"": 9728319.58386337, ""Ensemble"": 5557193.876852822}";PC000931
PC000425;48;ExponentialSmoothing;32869,979999999996;[33574.04, 36133.39, 50688.07, 58646.6, 40591.83, 40393.34];2,1;ok;"{""ARIMA"": 12828039.6349021, ""ExponentialSmoothing"": 5366978.144998201, ""SARIMAX"": 30564846.849754814, ""Holt"": 13105007.692819737, ""Prophet"": 9066697.812462036}";PC000425
PC000295;48;LightGBM (pooled);35484,3;[35382.22, 36066.68, 49417.32, 62021.08, 41943.29, 41551.6];-0,3;ok;"{""ARIMA"": 12216465.356164703, ""ExponentialSmoothing"": 4445156.362368275, ""SARIMAX"": 24300016.748949457, ""Holt"": 32984909.269583408, ""Prophet"": 4240872.965627041}";PC000295
PC000210;48;Holt;38821,15;[39153.9, 39153.94, 39153.97, 39153.99, 39154.01, 39154.03];0,9;ok;"{""ARIMA"": 7701737.375235326, ""ExponentialSmoothing"": 8035968.224464859, ""SARIMAX"": 21049201.48017571, ""Holt"": 4795396.990390705, ""Prophet"": 10250739.34255198}";PC000210
PC000819;48;LightGBM (pooled);32723,18;[31954.97, 33393.35, 43657.84, 53404.37, 35863.32, 36480.28];-2,3;ok;"{""ARIMA"": 8054084.2110206885, ""ExponentialSmoothing"": 7976867.931468688, ""SARIMAX"": 5693309.561534885, ""Holt"": 21289204.652938947, ""Prophet"": 6678581.137435417}";PC000819
PC000357;48;Ensemble;33422,350000000006;[35583.58, 35618.78, 35641.72, 35656.67, 35666.41, 35672.76];6,5;ok;"{""ARIMA"": 9905977.452917563, ""ExponentialSmoothing"": 12431440.282365449, ""SARIMAX"": 12142754.173197037, ""Holt"": 12400411.498928726, ""Prophet"": 10206233.317239203, ""Ensemble"": 9298671.704664877}";PC000357
PC000600;48;LightGBM (pooled);33712,2;[31559.99, 32284.88, 44810.98, 53103.46, 35723.52, 35843.59];-6,4;ok;"{""ARIMA"": 10471151.110038308, ""ExponentialSmoothing"": 13860185.29289149, ""SARIMAX"": 14848738.32983721, ""Holt"": 18578786.600476045, ""Prophet"": 16531909.08671251}";PC000600
PC000007;48;LightGBM (pooled);34620,85;[33248.59, 34530.78, 46847.9, 55950.2, 37952.49, 38728.38];-4,0;ok;"{""ARIMA"": 6703503.1157151, ""ExponentialSmoothing"": 8286909.760852065, ""SARIMAX"": 10953676.538295409, ""Holt"": 15064632.829673737, ""Prophet"": 10458071.892550746}";PC000007
PC000773;48;LightGBM (pooled);29591,510000000002;[29448.55, 29844.85, 40070.09, 47769.76, 32117.49, 31635.17];-0,5;ok;"{""ARIMA"": 9045064.004171418, ""ExponentialSmoothing"": 3952392.4578381237, ""SARIMAX"": 7250451.427208935, ""Holt"": 21513507.959214706, ""Prophet"": 1823824.6913338813}";PC000773
PC000855;48;SARIMAX;31349,29;[33164.38, 32267.79, 46335.15, 50520.35, 36188.08, 38331.11];5,8;ok;"{""ARIMA"": 6187989.413983647, ""ExponentialSmoothing"": 4441988.996371311, ""SARIMAX"": 2429313.405703795, ""Holt"": 13961777.391993007, ""Prophet"": 6354789.332741427}";PC000855
PC000016;48;LightGBM (pooled);29135,219999999998;[29113.72, 29844.85, 40070.09, 47941.88, 32117.49, 31635.17];-0,1;ok;"{""ARIMA"": 11040995.1705879, ""ExponentialSmoothing"": 8266515.153311976, ""SARIMAX"": 9938257.454797132, ""Holt"": 22032492.19581488, ""Prophet"": 9648121.991111895, ""Ensemble"": 8713800.212640198}";PC000016
PC000146;48;ARIMA;30342,56;[30435.07, 30483.42, 30508.7, 30521.91, 30528.82, 30532.43];0,3;ok;"{""ARIMA"": 1276802.8123348104, ""ExponentialSmoothing"": 5791329.516573541, ""SARIMAX"": 3933163.480781941, ""Holt"": 4679066.008189212, ""Prophet"": 5053941.704456277}";PC000146
PC000591;48;Prophet;28768,66;[27657.76, 30051.27, 36381.63, 47850.61, 32312.33, 33273.39];-3,9;ok;"{""ARIMA"": 7993224.144314707, ""ExponentialSmoothing"": 5828865.9623754425, ""SARIMAX"": 16168946.150123736, ""Holt"": 5878617.618585403, ""Prophet"": 561849.9867845811}";PC000591
PC000896;48;Holt;28324,02;[30017.56, 30017.59, 30017.62, 30017.64, 30017.65, 30017.67];6,0;ok;"{""ARIMA"": 4680249.447015651, ""ExponentialSmoothing"": 4413416.032070877, ""SARIMAX"": 5829364.838805966, ""Holt"": 2976858.712698988, ""Prophet"": 5137232.822440897}";PC000896
PC000673;48;LightGBM (pooled);25464,449999999997;[25429.07, 25595.2, 35323.35, 42793.9, 28745.49, 29314.08];-0,1;ok;"{""ARIMA"": 13303689.735976845, ""ExponentialSmoothing"": 7288816.670209392, ""SARIMAX"": 7426997.653110352, ""Holt"": 26594071.267929237, ""Prophet"": 6612261.617300138, ""Ensemble"": 6584234.88662675}";PC000673
PC000588;48;LightGBM (pooled);23249,55;[24572.12, 24721.6, 34490.78, 42124.5, 28832.5, 29314.08];5,7;ok;"{""ARIMA"": 8623392.774380466, ""ExponentialSmoothing"": 5781763.595930957, ""SARIMAX"": 12348813.196060749, ""Holt"": 17700994.618348118, ""Prophet"": 9122735.327785164}";PC000588
PC000875;48;Ensemble;25978,190000000002;[27010.61, 27089.23, 29987.62, 32330.18, 28191.59, 28638.35];4,0;ok;"{""ARIMA"": 3647538.909194755, ""ExponentialSmoothing"": 4557497.36935355, ""SARIMAX"": 14831090.582748733, ""Holt"": 4584499.864785268, ""Prophet"": 4013397.9042845364, ""Ensemble"": 3555829.899966479}";PC000875
PC000547;48;LightGBM (pooled);25890,839999999997;[25117.13, 25044.7, 34633.05, 42251.01, 28832.5, 29314.08];-3,0;ok;"{""ARIMA"": 5324756.182216131, ""ExponentialSmoothing"": 1647917.9805374646, ""SARIMAX"": 2422223.4337005317, ""Holt"": 6217130.861403224, ""Prophet"": 2799648.676640192}";PC000547
PC000520;48;LightGBM (pooled);27710,980000000003;[25594.56, 26018.95, 36572.69, 44110.68, 29495.42, 29948.22];-7,6;ok;"{""ARIMA"": 3147308.1713012815, ""ExponentialSmoothing"": 3824776.8298630635, ""SARIMAX"": 6353220.688718851, ""Holt"": 4202141.528019919, ""Prophet"": 3725610.0051291287, ""Ensemble"": 2800639.057302211}";PC000520
PC000665;48;ExponentialSmoothing;24285,739999999998;[24747.51, 26295.26, 38740.33, 43466.88, 29240.28, 29380.04];1,9;ok;"{""ARIMA"": 12698389.893085144, ""ExponentialSmoothing"": 5874465.662891284, ""SARIMAX"": 9075097.980234724, ""Holt"": 23249638.049835533, ""Prophet"": 6992564.227969845}";PC000665
PC000903;48;Holt;31486,480000000003;[31904.78, 31904.73, 31904.7, 31904.67, 31904.64, 31904.62];1,3;ok;"{""ARIMA"": 23964363.8319107, ""ExponentialSmoothing"": 51696149.17519636, ""SARIMAX"": 34984398.597788, ""Holt"": 14593099.382543778, ""Prophet"": 37787481.27088416}";PC000903
PC000668;48;Prophet;20538,41;[23580.67, 24881.94, 33159.88, 41826.49, 27877.92, 27999.73];14,8;ok;"{""ARIMA"": 12052496.844446525, ""ExponentialSmoothing"": 5435446.337019439, ""SARIMAX"": 8503895.576638667, ""Holt"": 40194271.76851075, ""Prophet"": 4302611.177223065}";PC000668
PC000853;48;Holt;28284,379999999997;[29520.04, 29520.01, 29519.99, 29519.97, 29519.95, 29519.94];4,4;ok;"{""ARIMA"": 11027242.333931245, ""ExponentialSmoothing"": 24242845.659338117, ""SARIMAX"": 27393555.511491034, ""Holt"": 7700926.488175112, ""Prophet"": 21640183.050055075}";PC000853
PC000080;48;Holt;33974,07;[34899.05, 34899.04, 34899.03, 34899.02, 34899.02, 34899.01];2,7;ok;"{""ARIMA"": 118980054.21554919, ""ExponentialSmoothing"": 123010294.29885833, ""SARIMAX"": 145009004.72404894, ""Holt"": 79159761.74454112, ""Prophet"": 123731850.06837445}";PC000080
PC000015;48;Prophet;23755,46;[23727.26, 24755.71, 36350.84, 39634.39, 28095.66, 28651.63];-0,1;ok;"{""ARIMA"": 9296971.82973925, ""ExponentialSmoothing"": 8785640.391761618, ""SARIMAX"": 16534764.713137848, ""Holt"": 26115098.393724997, ""Prophet"": 4695091.177353648}";PC000015
PC000901;48;Holt;24397,910000000003;[26589.68, 26589.71, 26589.73, 26589.75, 26589.76, 26589.77];9,0;ok;"{""ARIMA"": 6689179.0182138, ""ExponentialSmoothing"": 6686376.467120439, ""SARIMAX"": 9409502.830413684, ""Holt"": 4437439.988643771, ""Prophet"": 6961886.756697379}";PC000901
PC000996;48;LightGBM (pooled);20739,4;[22090.78, 23189.05, 31581.98, 37413.04, 24863.58, 25179.43];6,5;ok;"{""ARIMA"": 5927939.278680471, ""ExponentialSmoothing"": 4918902.177210496, ""SARIMAX"": 5500246.964554568, ""Holt"": 9461934.572705677, ""Prophet"": 5524648.927796376, ""Ensemble"": 5156735.638147903}";PC000996
PC000312;48;Prophet;21774,82;[22674.75, 23216.02, 31253.25, 39095.87, 26270.24, 25896.27];4,1;ok;"{""ARIMA"": 2933871.8415531456, ""ExponentialSmoothing"": 1266917.1481524273, ""SARIMAX"": 2214657.5087999725, ""Holt"": 7716708.210735875, ""Prophet"": 930818.1394749833}";PC000312
PC000378;48;LightGBM (pooled);22536,27;[23314.82, 23765.46, 33217.98, 38594.0, 26092.81, 26884.71];3,5;ok;"{""ARIMA"": 4288648.318821923, ""ExponentialSmoothing"": 2864670.682651835, ""SARIMAX"": 2576926.2186769433, ""Holt"": 4136533.2756061335, ""Prophet"": 2127829.439353794}";PC000378
PC000099;48;LightGBM (pooled);22451,41;[22054.72, 22389.71, 32062.41, 37098.56, 25030.07, 25179.43];-1,8;ok;"{""ARIMA"": 7116736.01105879, ""ExponentialSmoothing"": 5775969.459767278, ""SARIMAX"": 7583736.463734246, ""Holt"": 21520520.557363484, ""Prophet"": 5770690.913061675, ""Ensemble"": 5452145.180944341}";PC000099
