Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank;_ProdutoUnico
PC000931;48;Ensemble;33590,73;[33159.77];-1,3;ok;"{""ARIMA"": 7485662.597380635, ""ExponentialSmoothing"": 11983834.034810418, ""SARIMAX"": 10955583.995685041, ""Holt"": 18348063.22421821, ""Prophet"": 7213912.642890641, ""Croston"": 8557359.108394828, ""TSB"": 8557359.108394828, ""Ensemble"": 5273622.025034371, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 10290059.50863524}";PC000931
PC000588;48;ExponentialSmoothing;20240,02;[24981.97];23,4;ok;"{""ARIMA"": 8165600.547509293, ""ExponentialSmoothing"": 6815124.301570512, ""SARIMAX"": 13023009.200485552, ""Holt"": 15665977.759234311, ""Prophet"": 11338946.5705356, ""Croston"": 9978991.576090107, ""TSB"": 9978991.576090107, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 19581486.164923746}";PC000588
PC000210;48;Croston;28087,43;[26550.1];-5,5;ok;"{""ARIMA"": 5980878.057657088, ""ExponentialSmoothing"": 8743421.26247556, ""SARIMAX"": 14964248.93029376, ""Holt"": 9547199.805468516, ""Prophet"": 8681345.614283651, ""Croston"": 4514052.26715437, ""TSB"": 4514052.26715437, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 12716810.05126424}";PC000210
PC000819;48;Prophet;19955,16;[20565.78];3,1;ok;"{""ARIMA"": 7251587.923025672, ""ExponentialSmoothing"": 4441621.67927178, ""SARIMAX"": 4309341.901196695, ""Holt"": 12244530.457837552, ""Prophet"": 3459034.041703576, ""Croston"": 10521995.00190614, ""TSB"": 10521995.00190614, ""Ensemble"": 3741773.7478167876, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4936959.629783741}";PC000819
PC000016;48;Ensemble;20354,35;[21530.68];5,8;ok;"{""ARIMA"": 6903637.770396748, ""ExponentialSmoothing"": 7181148.325309649, ""SARIMAX"": 8018898.481678382, ""Holt"": 12062211.331035675, ""Prophet"": 7270689.103189639, ""Croston"": 8557789.67815387, ""TSB"": 8557789.67815387, ""Ensemble"": 6504853.65244472, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 7881382.377474845}";PC000016
PC000690;48;ARIMA;21475,2;[22048.69];2,7;ok;"{""ARIMA"": 2941299.456933291, ""ExponentialSmoothing"": 8481816.578924796, ""SARIMAX"": 7480687.415092648, ""Holt"": 4600487.020223532, ""Prophet"": 4728819.418937701, ""Croston"": 3966965.0567194787, ""TSB"": 3966965.0567194787, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 12057654.725313185}";PC000690
PC000295;48;Croston;20374,48;[21309.56];4,6;ok;"{""ARIMA"": 2576935.0087514385, ""ExponentialSmoothing"": 4228797.7860465525, ""SARIMAX"": 3345040.173030065, ""Holt"": 7763064.961781707, ""Prophet"": 4145532.245644379, ""Croston"": 1535167.6202663959, ""TSB"": 1535167.6202663959, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3260324.5543264323}";PC000295
PC000007;48;ARIMA;21097,61;[21155.83];0,3;ok;"{""ARIMA"": 1093351.4407630719, ""ExponentialSmoothing"": 4025883.4665942024, ""SARIMAX"": 7562435.165435936, ""Holt"": 11010741.833965061, ""Prophet"": 5426732.6785322325, ""Croston"": 3113588.2329150685, ""TSB"": 3113588.2329150685, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 6170815.122100629}";PC000007
PC000425;48;ExponentialSmoothing;15999,52;[16947.18];5,9;ok;"{""ARIMA"": 8372341.431264694, ""ExponentialSmoothing"": 4240102.921615067, ""SARIMAX"": 14127238.783603655, ""Holt"": 11294046.783827052, ""Prophet"": 5338638.00037913, ""Croston"": 8414006.207884418, ""TSB"": 8414006.207884418, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 7000032.859814326}";PC000425
PC000730;48;Prophet;17154,25;[15087.82];-12,0;ok;"{""ARIMA"": 4739424.389207854, ""ExponentialSmoothing"": 2570286.5684193126, ""SARIMAX"": 3914854.144942034, ""Holt"": 12089451.09966436, ""Prophet"": 1610771.8012784023, ""Croston"": 8799615.747216636, ""TSB"": 8799615.747216636, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4069664.6291643432}";PC000730
PC000357;48;ExponentialSmoothing;16997,04;[17361.09];2,1;ok;"{""ARIMA"": 6416061.569236632, ""ExponentialSmoothing"": 3637130.4046475496, ""SARIMAX"": 5674982.928954036, ""Holt"": 11859317.435611727, ""Prophet"": 3808758.579994403, ""Croston"": 5830685.548800714, ""TSB"": 5830685.548800714, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3941490.6590680336}";PC000357
PC000845;48;ARIMA;19807,09;[19371.46];-2,2;ok;"{""ARIMA"": 724344.5598810172, ""ExponentialSmoothing"": 3593159.765294356, ""SARIMAX"": 5207366.028274507, ""Holt"": 3836931.616130665, ""Prophet"": 3227413.927820468, ""Croston"": 1387664.38164844, ""TSB"": 1387664.38164844, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4366069.529495174}";PC000845
PC000896;48;Croston;17910,69;[19510.74];8,9;ok;"{""ARIMA"": 1788299.0205669699, ""ExponentialSmoothing"": 3562658.0085336263, ""SARIMAX"": 4413282.155151336, ""Holt"": 11331152.146629224, ""Prophet"": 4025511.7675792105, ""Croston"": 1511971.762774234, ""TSB"": 1511971.762774234, ""Ensemble"": 1549051.6343715219, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3257214.449830145}";PC000896
PC000547;48;ARIMA;17080,26;[17250.83];1,0;ok;"{""ARIMA"": 1041851.2647287607, ""ExponentialSmoothing"": 2297530.7448166, ""SARIMAX"": 3282156.545257726, ""Holt"": 3262086.658240655, ""Prophet"": 3180190.952306164, ""Croston"": 2837128.9109677062, ""TSB"": 2837128.9109677062, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3427343.1774293035}";PC000547
