Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank;_ProdutoUnico
PC000335;48;Holt;21861,7;[21763.93];-0,4;ok;"{""ARIMA"": 1746582.9364193028, ""ExponentialSmoothing"": 2120799.682459313, ""SARIMAX"": 3959172.428064581, ""Holt"": 1516837.0569011269, ""Prophet"": 2862963.6565581337, ""Croston"": 2843357.467888327, ""TSB"": 2843357.467888327, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4532135.042544432}";PC000335
PC000118;48;Croston;18382,76;[18584.9];1,1;ok;"{""ARIMA"": 6865543.494515366, ""ExponentialSmoothing"": 7054057.305307253, ""SARIMAX"": 13184698.882776445, ""Holt"": 14315918.56781826, ""Prophet"": 8908001.456862127, ""Croston"": 6331285.983810458, ""TSB"": 6331285.983810458, ""Ensemble"": 6443804.580692506, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 12144380.117616529}";PC000118
PC000699;48;Croston;17640,46;[17934.77];1,7;ok;"{""ARIMA"": 4141417.310001426, ""ExponentialSmoothing"": 4546408.184892167, ""SARIMAX"": 4815126.3379370505, ""Holt"": 3676018.8116678274, ""Prophet"": 4343745.257934265, ""Croston"": 3501939.0051569105, ""TSB"": 3501939.0051569105, ""Ensemble"": 3542674.3183393995, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 6350703.128690656}";PC000699
PC000235;48;Ensemble;15349,21;[16123.27];5,0;ok;"{""ARIMA"": 1351799.2612751964, ""ExponentialSmoothing"": 4203537.418890736, ""SARIMAX"": 2716665.943609066, ""Holt"": 1581967.5765150806, ""Prophet"": 3958197.9830870028, ""Croston"": 1304816.6108724214, ""TSB"": 1304816.6108724214, ""Ensemble"": 1298028.419583955, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4761149.997231452}";PC000235
PC000313;48;Croston;11605,18;[13816.05];19,1;ok;"{""ARIMA"": 2604129.799148919, ""ExponentialSmoothing"": 4248287.915855399, ""SARIMAX"": 6698193.003912367, ""Holt"": 1972494.345507132, ""Prophet"": 3037899.948560773, ""Croston"": 1939624.743342502, ""TSB"": 1939624.743342502, ""Ensemble"": 1941919.7331343063, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4603756.297904415}";PC000313
PC000996;48;SARIMAX (c/ sazonalidade+promoção);10653,22;[15760.45];47,9;ok;"{""ARIMA"": 3380057.3927412853, ""ExponentialSmoothing"": 2695333.318074482, ""SARIMAX"": 2875171.846285771, ""Holt"": 3544306.1617883644, ""Prophet"": 3120372.5771925063, ""Croston"": 3537807.461816708, ""TSB"": 3537807.461816708, ""Ensemble"": 2788586.8507880685, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 2032972.610966947}";PC000996
PC000591;48;Ensemble;14799,47;[13802.53];-6,7;ok;"{""ARIMA"": 1425740.5644652366, ""ExponentialSmoothing"": 6424383.274307615, ""SARIMAX"": 9592162.046308784, ""Holt"": 895124.2177877864, ""Prophet"": 2728851.519491555, ""Croston"": 901372.4073496744, ""TSB"": 901372.4073496744, ""Ensemble"": 894384.9164998495, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 11711549.486820156}";PC000591
PC000673;48;Ensemble;11637,88;[11522.74];-1,0;ok;"{""ARIMA"": 4412087.66462358, ""ExponentialSmoothing"": 3537837.992055288, ""SARIMAX"": 3416680.3270915695, ""Holt"": 8178327.052808183, ""Prophet"": 3176862.551665815, ""Croston"": 4716793.276772215, ""TSB"": 4716793.276772215, ""Ensemble"": 3148530.5589063824, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3766459.575201612}";PC000673
PC000656;48;SARIMAX;11678,32;[11054.08];-5,3;ok;"{""ARIMA"": 1947333.3753406166, ""ExponentialSmoothing"": 1927871.9779831376, ""SARIMAX"": 1376838.5588063232, ""Holt"": 2036357.6408099355, ""Prophet"": 2383094.151865493, ""Croston"": 1930306.1203319, ""TSB"": 1930306.1203319, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 2617737.928414367}";PC000656
PC000149;48;Ensemble;10716,66;[12113.8];13,0;ok;"{""ARIMA"": 4731035.237301726, ""ExponentialSmoothing"": 4737195.118286861, ""SARIMAX"": 4829308.546596876, ""Holt"": 5068546.206945281, ""Prophet"": 4159705.0079089664, ""Croston"": 4374643.904469796, ""TSB"": 4374643.904469796, ""Ensemble"": 4103401.6643851064, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 9825316.621819116}";PC000149
