Produto;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank;_ProdutoUnico
PC000410;48;Prophet;25355,88;[26419.3];4,2;ok;"{""ARIMA"": 12717031.71896653, ""ExponentialSmoothing"": 7558446.660989635, ""SARIMAX"": 6234907.308448203, ""Holt"": 16753926.211541882, ""Prophet"": 4774085.961850077, ""Croston"": 13722791.685639247, ""TSB"": 13722791.685639247, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 10301929.429490244}";PC000410
PC000845;48;SARIMAX;24150,1;[27908.32];15,6;ok;"{""ARIMA"": 6431934.616723795, ""ExponentialSmoothing"": 5013189.121690831, ""SARIMAX"": 4495011.886097056, ""Holt"": 9195614.029788671, ""Prophet"": 5929490.007994463, ""Croston"": 7657000.216910447, ""TSB"": 7657000.216910447, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 9561833.851407545}";PC000845
PC000118;48;SARIMAX (c/ sazonalidade+promoção);18401,18;[21412.51];16,4;ok;"{""ARIMA"": 5339651.487068567, ""ExponentialSmoothing"": 5164712.234279332, ""SARIMAX"": 5702359.447684728, ""Holt"": 20163489.63204205, ""Prophet"": 5923342.833552383, ""Croston"": 9545126.130910479, ""TSB"": 9545126.130910479, ""Ensemble"": 4962483.955072445, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 2898922.3943586703}";PC000118
PC000901;48;Ensemble;19007,31;[20469.49];7,7;ok;"{""ARIMA"": 5432678.813841475, ""ExponentialSmoothing"": 4986239.751790514, ""SARIMAX"": 7258764.132657363, ""Holt"": 3153682.883866679, ""Prophet"": 5580995.592060049, ""Croston"": 3214201.708602717, ""TSB"": 3214201.708602717, ""Ensemble"": 3147911.0172385927, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 9440555.413514012}";PC000901
PC000853;48;Prophet;15390,56;[16624.85];8,0;ok;"{""ARIMA"": 3512543.2937313854, ""ExponentialSmoothing"": 2607867.78150742, ""SARIMAX"": 4135848.9715669253, ""Holt"": 3592776.8179431558, ""Prophet"": 2489627.220785161, ""Croston"": 4297013.72147005, ""TSB"": 4297013.72147005, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4364537.0331827765}";PC000853
PC000600;48;ARIMA;17890,49;[17565.84];-1,8;ok;"{""ARIMA"": 3642306.6251080674, ""ExponentialSmoothing"": 8311406.315421482, ""SARIMAX"": 6285513.104562737, ""Holt"": 7955839.398610371, ""Prophet"": 6687932.346186768, ""Croston"": 5051714.581305093, ""TSB"": 5051714.581305093, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 6266953.938832647}";PC000600
PC000146;48;ARIMA;15868,37;[15589.76];-1,8;ok;"{""ARIMA"": 1308735.4571409153, ""ExponentialSmoothing"": 3319175.172580374, ""SARIMAX"": 3678769.585657734, ""Holt"": 3708686.4189136117, ""Prophet"": 2933873.165193256, ""Croston"": 2616108.115047493, ""TSB"": 2616108.115047493, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 3693583.3429819085}";PC000146
PC000357;48;Croston;14698,61;[15877.45];8,0;ok;"{""ARIMA"": 3029483.20997637, ""ExponentialSmoothing"": 4282669.215392263, ""SARIMAX"": 3807646.602548813, ""Holt"": 2929110.6726987753, ""Prophet"": 4176578.096682154, ""Croston"": 2623261.449487138, ""TSB"": 2623261.449487138, ""Ensemble"": 2698397.0604182775, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 5297646.514759328}";PC000357
PC000430;48;Prophet;13909,87;[12905.81];-7,2;ok;"{""ARIMA"": 3094398.088993844, ""ExponentialSmoothing"": 1682430.8501116717, ""SARIMAX"": 3373396.5922305733, ""Holt"": 4445362.59419147, ""Prophet"": 1585994.5696857835, ""Croston"": 3659930.2111308593, ""TSB"": 3659930.2111308593, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 2194231.851479967}";PC000430
PC000335;48;Prophet;12982,19;[12184.43];-6,1;ok;"{""ARIMA"": 2313857.249657123, ""ExponentialSmoothing"": 942260.1053384314, ""SARIMAX"": 1913607.339503958, ""Holt"": 4260458.675900397, ""Prophet"": 596561.6493799029, ""Croston"": 3044641.4740162357, ""TSB"": 3044641.4740162357, ""SARIMAX (c/ sazonalidade+promo\u00e7\u00e3o)"": 4316759.913884798}";PC000335
