Produto;EstoqueAtual;CustoUnitario;Fornecedor;Filial
PC000001;38;89,83;Fornecedor Delta;Loja Centro
PC000002;31;247,52;Fornecedor Gamma;Loja Centro
PC000003;34;393,84;Fornecedor Gamma;Loja Centro
PC000004;41;331,64;Fornecedor Gamma;Loja Centro
PC000005;7;364,5;Fornecedor Delta;Loja Centro
PC000006;69;299,18;Fornecedor Beta;Loja Centro
PC000007;13;313,99;Fornecedor Delta;Loja Centro
PC000008;56;383,34;Fornecedor Beta;Loja Centro
PC000009;17;118,35;Fornecedor Delta;Loja Centro
PC000010;37;224,33;Fornecedor Delta;Loja Centro
PC000011;10;105,77;Fornecedor Beta;Loja Centro
PC000012;29;444,55;Fornecedor Gamma;Loja Centro
PC000013;82;425,27;Fornecedor Beta;Loja Centro
PC000014;41;25,43;Fornecedor Alfa;Loja Centro
PC000015;22;319,86;Fornecedor Alfa;Loja Centro
PC000016;55;416,96;Fornecedor Beta;Loja Centro
PC000017;65;87,81;Fornecedor Delta;Loja Centro
PC000018;53;259,03;Fornecedor Alfa;Loja Centro
PC000019;77;412,65;Fornecedor Alfa;Loja Centro
PC000020;34;23,0;Fornecedor Delta;Loja Centro
PC000021;128;316,26;Fornecedor Delta;Loja Centro
PC000022;64;139,43;Fornecedor Gamma;Loja Centro
PC000023;46;416,58;Fornecedor Delta;Loja Centro
PC000024;45;437,21;Fornecedor Beta;Loja Centro
PC000025;49;425,37;Fornecedor Beta;Loja Centro
PC000026;148;217,6;Fornecedor Gamma;Loja Centro
PC000027;4;389,02;Fornecedor Alfa;Loja Centro
PC000028;20;381,29;Fornecedor Alfa;Loja Centro
PC000029;20;149,04;Fornecedor Delta;Loja Centro
PC000030;36;374,38;Fornecedor Beta;Loja Centro
PC000031;27;24,36;Fornecedor Alfa;Loja Centro
PC000032;27;271,55;Fornecedor Gamma;Loja Centro
PC000033;16;109,66;Fornecedor Gamma;Loja Centro
PC000034;37;61,29;Fornecedor Beta;Loja Centro
PC000035;86;42,01;Fornecedor Gamma;Loja Centro
PC000036;7;315,76;Fornecedor Gamma;Loja Centro
PC000037;17;158,22;Fornecedor Beta;Loja Centro
PC000038;44;328,35;Fornecedor Delta;Loja Centro
PC000039;21;36,89;Fornecedor Delta;Loja Centro
PC000040;57;147,36;Fornecedor Gamma;Loja Centro
PC000041;22;246,46;Fornecedor Delta;Loja Centro
PC000042;48;357,5;Fornecedor Delta;Loja Centro
PC000043;33;148,89;Fornecedor Gamma;Loja Centro
PC000044;28;284,64;Fornecedor Delta;Loja Centro
PC000045;41;399,6;Fornecedor Gamma;Loja Centro
PC000046;47;280,21;Fornecedor Alfa;Loja Centro
PC000047;50;110,97;Fornecedor Beta;Loja Centro
PC000048;60;18,79;Fornecedor Beta;Loja Centro
PC000049;13;392,58;Fornecedor Delta;Loja Centro
PC000050;46;17,4;Fornecedor Delta;Loja Centro
PC000051;15;394,62;Fornecedor Delta;Loja Centro
PC000052;21;241,79;Fornecedor Beta;Loja Centro
PC000053;31;423,07;Fornecedor Alfa;Loja Centro
PC000054;18;361,06;Fornecedor Alfa;Loja Centro
PC000055;27;449,09;Fornecedor Beta;Loja Centro
PC000056;66;163,01;Fornecedor Alfa;Loja Centro
PC000057;69;347,1;Fornecedor Beta;Loja Centro
PC000058;32;185,65;Fornecedor Alfa;Loja Centro
PC000059;26;220,11;Fornecedor Gamma;Loja Centro
PC000060;22;285,36;Fornecedor Gamma;Loja Centro
PC000061;66;394,17;Fornecedor Beta;Loja Centro
PC000062;18;442,96;Fornecedor Alfa;Loja Centro
PC000063;59;347,58;Fornecedor Delta;Loja Centro
PC000064;49;192,65;Fornecedor Alfa;Loja Centro
PC000065;65;194,24;Fornecedor Gamma;Loja Centro
PC000066;13;334,01;Fornecedor Gamma;Loja Centro
PC000067;71;113,54;Fornecedor Alfa;Loja Centro
PC000068;81;56,83;Fornecedor Alfa;Loja Centro
PC000069;28;164,74;Fornecedor Delta;Loja Centro
PC000070;26;134,96;Fornecedor Delta;Loja Centro
PC000071;65;138,97;Fornecedor Alfa;Loja Centro
PC000072;26;111,25;Fornecedor Alfa;Loja Centro
PC000073;16;26,61;Fornecedor Alfa;Loja Centro
PC000074;59;15,9;Fornecedor Alfa;Loja Centro
PC000075;20;444,57;Fornecedor Beta;Loja Centro
PC000076;53;197,08;Fornecedor Alfa;Loja Centro
PC000077;34;177,87;Fornecedor Delta;Loja Centro
PC000078;15;308,4;Fornecedor Gamma;Loja Centro
PC000079;31;104,47;Fornecedor Beta;Loja Centro
PC000080;47;427,88;Fornecedor Alfa;Loja Centro
PC000081;61;355,56;Fornecedor Gamma;Loja Centro
PC000082;23;47,52;Fornecedor Beta;Loja Centro
PC000083;54;192,57;Fornecedor Gamma;Loja Centro
