_ProdutoUnico;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC000882;48;Prophet;54995,85;[49519.48, 56303.31, 71568.8];-10,0;ok;"{""ARIMA"": 17362848.65951447, ""ExponentialSmoothing"": 7513650.2930969, ""SARIMAX"": 20863725.645876046, ""Holt"": 19077463.923475225, ""Prophet"": 5740006.65051048, ""Croston"": 17184066.535388086, ""TSB"": 17184066.535388086}"
PC000244;48;ExponentialSmoothing;33383,63;[35138.27, 38183.34, 54618.27];5,3;ok;"{""ARIMA"": 24540225.10061154, ""ExponentialSmoothing"": 7585931.674159811, ""SARIMAX"": 38682366.141543195, ""Holt"": 58444804.83990821, ""Prophet"": 11277040.876813823, ""Croston"": 43618218.09924325, ""TSB"": 43618218.09924325}"
PC000478;48;Croston;46721,75;[44665.04, 44665.04, 44665.04];-4,4;ok;"{""ARIMA"": 5536070.823444908, ""ExponentialSmoothing"": 59407741.96574431, ""SARIMAX"": 18920902.59989357, ""Holt"": 27245548.91029213, ""Prophet"": 41923921.10628629, ""Croston"": 4018024.4528329857, ""TSB"": 4018024.4528329857}"
PC000931;48;Ensemble;33590,73;[33159.77, 33926.96, 38615.23];-1,3;ok;"{""ARIMA"": 7485662.597380635, ""ExponentialSmoothing"": 11983834.034810418, ""SARIMAX"": 10955583.995685041, ""Holt"": 18348063.22421821, ""Prophet"": 7213914.763642479, ""Croston"": 8557359.108394828, ""TSB"": 8557359.108394828, ""Ensemble"": 5273622.40005556}"
PC000278;48;Prophet;26045,12;[31886.21, 28159.85, 41802.09];22,4;ok;"{""ARIMA"": 33511491.437025845, ""ExponentialSmoothing"": 17434775.133652538, ""SARIMAX"": 87829954.78639872, ""Holt"": 33182451.86102317, ""Prophet"": 13299064.937266557, ""Croston"": 27019583.96300198, ""TSB"": 27019583.96300198}"
PC000829;48;ARIMA;33028,39;[32488.19, 32239.72, 32125.43];-1,6;ok;"{""ARIMA"": 2868739.6783286384, ""ExponentialSmoothing"": 12630102.670893824, ""SARIMAX"": 10144978.40916998, ""Holt"": 4377823.380750577, ""Prophet"": 12350461.99608356, ""Croston"": 4202665.9651779095, ""TSB"": 4202665.9651779095}"
PC000818;48;SARIMAX;31449,68;[34120.63, 35049.64, 38302.15];8,5;ok;"{""ARIMA"": 11323536.423401522, ""ExponentialSmoothing"": 8540251.398277828, ""SARIMAX"": 8384708.880768097, ""Holt"": 19058671.796894148, ""Prophet"": 11616448.785928622, ""Croston"": 12864658.052275337, ""TSB"": 12864658.052275337}"
PC000449;48;ExponentialSmoothing;27981,81;[26004.35, 25785.46, 37773.23];-7,1;ok;"{""ARIMA"": 11538762.445859892, ""ExponentialSmoothing"": 5978448.673905018, ""SARIMAX"": 14186173.977635123, ""Holt"": 14711507.670137495, ""Prophet"": 7862189.59799711, ""Croston"": 12593083.36233466, ""TSB"": 12593083.36233466}"
PC000890;48;SARIMAX;24625,83;[25224.79, 24358.5, 33480.06];2,4;ok;"{""ARIMA"": 5933296.033916689, ""ExponentialSmoothing"": 9351128.135165386, ""SARIMAX"": 3030097.4330361597, ""Holt"": 5989462.458428138, ""Prophet"": 9149188.133702839, ""Croston"": 9917719.452033011, ""TSB"": 9917719.452033011}"
PC000913;48;Ensemble;25612,83;[23114.0, 24424.62, 31862.82];-9,8;ok;"{""ARIMA"": 5521679.075739647, ""ExponentialSmoothing"": 4298629.322077789, ""SARIMAX"": 16482727.919382086, ""Holt"": 7645205.070567091, ""Prophet"": 4384727.895249054, ""Croston"": 7925397.674024454, ""TSB"": 7925397.674024454, ""Ensemble"": 3965970.4077713513}"
PC000323;48;Ensemble;24725,06;[27746.64, 27165.14, 31375.23];12,2;ok;"{""ARIMA"": 4188856.142622339, ""ExponentialSmoothing"": 4661840.180786964, ""SARIMAX"": 3415454.7005036264, ""Holt"": 7580592.22455439, ""Prophet"": 4361049.718621884, ""Croston"": 4497617.7749536345, ""TSB"": 4497617.7749536345, ""Ensemble"": 2764048.9569397573}"
PC000426;48;Prophet;26217,07;[25612.97, 25536.84, 37077.66];-2,3;ok;"{""ARIMA"": 15556445.413567252, ""ExponentialSmoothing"": 17885377.75660592, ""SARIMAX"": 22258683.907623164, ""Holt"": 15735260.729903862, ""Prophet"": 10915183.640757563, ""Croston"": 15762656.788340135, ""TSB"": 15762656.788340135}"
PC000104;48;Holt;26804,24;[27039.22, 27039.2, 27039.18];0,9;ok;"{""ARIMA"": 10348740.459855618, ""ExponentialSmoothing"": 8136506.133460198, ""SARIMAX"": 21699163.24718551, ""Holt"": 4251879.989816326, ""Prophet"": 9743589.552215362, ""Croston"": 4694973.962197468, ""TSB"": 4694973.962197468, ""Ensemble"": 4504409.649418712}"
PC000588;48;ExponentialSmoothing;20240,02;[24981.97, 21465.68, 30732.78];23,4;ok;"{""ARIMA"": 8165600.547509293, ""ExponentialSmoothing"": 6815124.301570512, ""SARIMAX"": 13023009.200485552, ""Holt"": 15665977.759234311, ""Prophet"": 11338948.272542981, ""Croston"": 9978991.576090107, ""TSB"": 9978991.576090107}"
