_ProdutoUnico;n_periodos;modelo_escolhido;ultimo_real;previsao;var_pct_proximo_mes;status;rank
PC000938;48;ARIMA;35345,88;[35806.62, 36012.79, 36105.06];1,3;ok;"{""ARIMA"": 19255542.808906615, ""ExponentialSmoothing"": 33842647.624052756, ""SARIMAX"": 22042240.947719116, ""Holt"": 30245898.88919735, ""Prophet"": 37003004.7159654, ""Croston"": 24569640.769737255, ""TSB"": 24569640.769737255, ""Ensemble"": 21248731.660730135}"
PC000104;48;ExponentialSmoothing;22405,09;[19978.08, 19400.51, 31184.33];-10,8;ok;"{""ARIMA"": 9246521.801695501, ""ExponentialSmoothing"": 6318262.148536794, ""SARIMAX"": 12204181.767822342, ""Holt"": 18127215.176381733, ""Prophet"": 8970424.911632713, ""Croston"": 12492730.794085441, ""TSB"": 12492730.794085441}"
PC000866;48;SARIMAX;20063,19;[20448.65, 24191.48, 33075.1];1,9;ok;"{""ARIMA"": 5603875.9537113225, ""ExponentialSmoothing"": 7393313.963949976, ""SARIMAX"": 4196571.633867344, ""Holt"": 12629631.609247454, ""Prophet"": 11264642.440023279, ""Croston"": 11250413.237527594, ""TSB"": 11250413.237527594}"
PC000663;48;Ensemble;22325,27;[21907.79, 21827.58, 21784.58];-1,9;ok;"{""ARIMA"": 975649.475591789, ""ExponentialSmoothing"": 5887814.777420619, ""SARIMAX"": 6246990.232465193, ""Holt"": 1011662.5009706476, ""Prophet"": 3550590.6951321787, ""Croston"": 1022340.3566439721, ""TSB"": 1022340.3566439721, ""Ensemble"": 821151.0551731797}"
PC000201;48;Croston;20838,49;[22300.09, 22300.09, 22300.09];7,0;ok;"{""ARIMA"": 1240572.7118950328, ""ExponentialSmoothing"": 2742158.9161194935, ""SARIMAX"": 3370622.1717840172, ""Holt"": 1187581.9409105799, ""Prophet"": 2425403.1181902844, ""Croston"": 1092271.1561626475, ""TSB"": 1092271.1561626475, ""Ensemble"": 1110295.5850623685}"
PC000335;48;Holt;21861,7;[21763.93, 21763.97, 21764.01];-0,4;ok;"{""ARIMA"": 1746582.9364193028, ""ExponentialSmoothing"": 2120799.682459313, ""SARIMAX"": 3959172.428064581, ""Holt"": 1516837.0569011269, ""Prophet"": 2862963.8484800938, ""Croston"": 2843357.467888327, ""TSB"": 2843357.467888327}"
PC000051;48;ExponentialSmoothing;20455,13;[19108.08, 18868.67, 23733.37];-6,6;ok;"{""ARIMA"": 2045064.8891164225, ""ExponentialSmoothing"": 995577.4451388577, ""SARIMAX"": 5624376.449652884, ""Holt"": 5158345.912367034, ""Prophet"": 1495476.5369931546, ""Croston"": 2480976.5303689674, ""TSB"": 2480976.5303689674}"
PC000864;48;Ensemble;19190,59;[18545.82, 17241.27, 23217.11];-3,4;ok;"{""ARIMA"": 6026529.025790256, ""ExponentialSmoothing"": 5575426.392746957, ""SARIMAX"": 7697403.966529361, ""Holt"": 7014348.3693715455, ""Prophet"": 5378323.556804072, ""Croston"": 6273626.2777692145, ""TSB"": 6273626.2777692145, ""Ensemble"": 4542060.124674996}"
PC000574;48;ExponentialSmoothing;18370,32;[19319.57, 18133.92, 26534.01];5,2;ok;"{""ARIMA"": 4987597.090679526, ""ExponentialSmoothing"": 3772754.9580171327, ""SARIMAX"": 7391897.6914604055, ""Holt"": 8605825.788140537, ""Prophet"": 4260458.162193245, ""Croston"": 5994056.129618834, ""TSB"": 5994056.129618834}"
PC000221;48;SARIMAX;18304,0;[20518.16, 19454.24, 24622.62];12,1;ok;"{""ARIMA"": 2124014.302799409, ""ExponentialSmoothing"": 3424675.9295832925, ""SARIMAX"": 1342771.856861309, ""Holt"": 4207024.802814041, ""Prophet"": 2628424.335598375, ""Croston"": 2103328.1681447127, ""TSB"": 2103328.1681447127}"
PC000118;48;Croston;18382,76;[18584.9, 18584.9, 18584.9];1,1;ok;"{""ARIMA"": 6865543.494515366, ""ExponentialSmoothing"": 7054057.305307253, ""SARIMAX"": 13184698.882776445, ""Holt"": 14315918.56781826, ""Prophet"": 8908001.274475431, ""Croston"": 6331285.983810458, ""TSB"": 6331285.983810458, ""Ensemble"": 6443804.580692506}"
