Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
PC000845;2026-03-01 00:00:00;ExponentialSmoothing;55794,06;53745,28;3,8;2048,78;51581,59
PC000845;2026-04-01 00:00:00;ExponentialSmoothing;51360,75;47085,15;9,1;4275,6;51581,59
PC000845;2026-05-01 00:00:00;ExponentialSmoothing;49805,54;53772,31;7,4;-3966,77;51581,59
PC000845;2026-06-01 00:00:00;ExponentialSmoothing;51458,78;50439,33;2,0;1019,45;51581,59
PC000845;2026-07-01 00:00:00;ExponentialSmoothing;42704,14;45668,23;6,5;-2964,09;51581,59
PC000845;2026-08-01 00:00:00;ExponentialSmoothing;44339,39;48990,61;9,5;-4651,22;51581,59
PC000335;2026-03-01 00:00:00;ExponentialSmoothing;48611,77;50913,81;4,5;-2302,04;48583,27
PC000335;2026-04-01 00:00:00;ExponentialSmoothing;48288,29;48477,4;0,4;-189,11;48583,27
PC000335;2026-05-01 00:00:00;ExponentialSmoothing;48075,77;48449,31;0,8;-373,54;48583,27
PC000335;2026-06-01 00:00:00;ExponentialSmoothing;50650,04;47006,84;7,8;3643,2;48583,27
PC000335;2026-07-01 00:00:00;ExponentialSmoothing;46500,0;46268,48;0,5;231,52;48583,27
PC000335;2026-08-01 00:00:00;ExponentialSmoothing;45159,03;46813,62;3,5;-1654,59;48583,27
PC000118;2026-03-01 00:00:00;ExponentialSmoothing;49893,38;43060,72;15,9;6832,66;48097,39
PC000118;2026-04-01 00:00:00;ExponentialSmoothing;50646,31;45076,53;12,4;5569,78;48097,39
PC000118;2026-05-01 00:00:00;ExponentialSmoothing;44827,09;47469,12;5,6;-2642,03;48097,39
PC000118;2026-06-01 00:00:00;ExponentialSmoothing;43944,65;45534,81;3,5;-1590,16;48097,39
PC000118;2026-07-01 00:00:00;ExponentialSmoothing;45168,83;42776,38;5,6;2392,45;48097,39
PC000118;2026-08-01 00:00:00;ExponentialSmoothing;41809,4;40511,5;3,2;1297,9;48097,39
PC000410;2026-03-01 00:00:00;ExponentialSmoothing;46588,57;47837,42;2,6;-1248,85;42368,79
PC000410;2026-04-01 00:00:00;ExponentialSmoothing;42165,48;44253,59;4,7;-2088,11;42368,79
PC000410;2026-05-01 00:00:00;ExponentialSmoothing;42138,51;39513,32;6,6;2625,19;42368,79
PC000410;2026-06-01 00:00:00;ExponentialSmoothing;43105,72;38355,12;12,4;4750,6;42368,79
PC000410;2026-07-01 00:00:00;ExponentialSmoothing;40107,69;41351,03;3,0;-1243,34;42368,79
PC000410;2026-08-01 00:00:00;ExponentialSmoothing;36974,64;37131,74;0,4;-157,1;42368,79
PC000931;2026-03-01 00:00:00;ExponentialSmoothing;42733,37;43811,34;2,5;-1077,97;41644,51
PC000931;2026-04-01 00:00:00;ExponentialSmoothing;44758,74;44222,01;1,2;536,73;41644,51
PC000931;2026-05-01 00:00:00;ExponentialSmoothing;44465,79;49239,03;9,7;-4773,24;41644,51
PC000931;2026-06-01 00:00:00;ExponentialSmoothing;36856,74;41391,78;11,0;-4535,04;41644,51
PC000931;2026-07-01 00:00:00;ExponentialSmoothing;39728,39;39800,51;0,2;-72,12;41644,51
PC000931;2026-08-01 00:00:00;ExponentialSmoothing;36522,24;40803,22;10,5;-4280,98;41644,51
PC000425;2026-03-01 00:00:00;Prophet;38599,48;41299,37;6,5;-2699,89;39649,29
PC000425;2026-04-01 00:00:00;Prophet;42866,19;40516,65;5,8;2349,54;39649,29
PC000425;2026-05-01 00:00:00;Prophet;40988,98;43068,16;4,8;-2079,18;39649,29
PC000425;2026-06-01 00:00:00;Prophet;40711,96;42268,19;3,7;-1556,23;39649,29
PC000425;2026-07-01 00:00:00;Prophet;39577,08;37552,76;5,4;2024,32;39649,29
