Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
PC000931;2026-03-01 00:00:00;ExponentialSmoothing;34755,44;36598,85;5,0;-1843,41;33889,15
PC000931;2026-04-01 00:00:00;ExponentialSmoothing;36523,02;36097,5;1,2;425,52;33889,15
PC000931;2026-05-01 00:00:00;ExponentialSmoothing;36011,98;41612,4;13,5;-5600,42;33889,15
PC000931;2026-06-01 00:00:00;ExponentialSmoothing;29784,17;34593,44;13,9;-4809,27;33889,15
PC000931;2026-07-01 00:00:00;ExponentialSmoothing;32788,09;32588,02;0,6;200,07;33889,15
PC000931;2026-08-01 00:00:00;ExponentialSmoothing;29877,25;33590,73;11,1;-3713,48;33889,15
PC000588;2026-03-01 00:00:00;Prophet;27061,77;26876,1;0,7;185,67;26196,69
PC000588;2026-04-01 00:00:00;Prophet;27019,89;27207,9;0,7;-188,01;26196,69
PC000588;2026-05-01 00:00:00;Prophet;26062,92;25548,88;2,0;514,04;26196,69
PC000588;2026-06-01 00:00:00;Prophet;26955,63;25548,88;5,5;1406,75;26196,69
PC000588;2026-07-01 00:00:00;Prophet;24153,24;26212,49;7,9;-2059,25;26196,69
PC000588;2026-08-01 00:00:00;Prophet;27656,73;20240,02;36,6;7416,71;26196,69
PC000210;2026-03-01 00:00:00;Prophet;27946,6;24074,94;16,1;3871,66;25364,67
PC000210;2026-04-01 00:00:00;Prophet;27442,94;27418,68;0,1;24,26;25364,67
PC000210;2026-05-01 00:00:00;Prophet;28783,92;24743,69;16,3;4040,23;25364,67
PC000210;2026-06-01 00:00:00;Prophet;25811,36;26081,19;1,0;-269,83;25364,67
PC000210;2026-07-01 00:00:00;Prophet;23483,21;24074,94;2,5;-591,73;25364,67
PC000210;2026-08-01 00:00:00;Prophet;22393,64;28087,43;20,3;-5693,79;25364,67
PC000819;2026-03-01 00:00:00;LightGBM (pooled);24760,63;26095,22;5,1;-1334,59;25108,42
PC000819;2026-04-01 00:00:00;LightGBM (pooled);23963,14;24560,2;2,4;-597,06;25108,42
PC000819;2026-05-01 00:00:00;LightGBM (pooled);24361,62;21490,18;13,4;2871,44;25108,42
PC000819;2026-06-01 00:00:00;LightGBM (pooled);23604,38;20978,51;12,5;2625,87;25108,42
PC000819;2026-07-01 00:00:00;LightGBM (pooled);21988,26;22513,52;2,3;-525,26;25108,42
PC000819;2026-08-01 00:00:00;LightGBM (pooled);21132,33;19955,16;5,9;1177,17;25108,42
PC000016;2026-03-01 00:00:00;LightGBM (pooled);25008,81;21711,3;15,2;3297,51;22890,56
PC000016;2026-04-01 00:00:00;LightGBM (pooled);24728,57;27817,61;11,1;-3089,04;22890,56
PC000016;2026-05-01 00:00:00;LightGBM (pooled);24701,82;23746,74;4,0;955,08;22890,56
PC000016;2026-06-01 00:00:00;LightGBM (pooled);24010,73;23068,26;4,1;942,47;22890,56
PC000016;2026-07-01 00:00:00;LightGBM (pooled);22886,46;21032,82;8,8;1853,64;22890,56
PC000016;2026-08-01 00:00:00;LightGBM (pooled);21960,18;20354,35;7,9;1605,83;22890,56
PC000690;2026-03-01 00:00:00;LightGBM (pooled);22137,35;22106,82;0,1;30,53;22557,98
PC000690;2026-04-01 00:00:00;LightGBM (pooled);21878,23;20843,57;5,0;1034,66;22557,98
PC000690;2026-05-01 00:00:00;LightGBM (pooled);21597,01;24001,69;10,0;-2404,68;22557,98
PC000690;2026-06-01 00:00:00;LightGBM (pooled);20633,21;19580,33;5,4;1052,88;22557,98
PC000690;2026-07-01 00:00:00;LightGBM (pooled);20071,63;24001,69;16,4;-3930,06;22557,98
PC000690;2026-08-01 00:00:00;LightGBM (pooled);19914,36;21475,2;7,3;-1560,84;22557,98
PC000295;2026-03-01 00:00:00;LightGBM (pooled);20103,71;21031,72;4,4;-928,01;21219,51
PC000295;2026-04-01 00:00:00;LightGBM (pooled);21362,77;20374,48;4,9;988,29;21219,51
PC000295;2026-05-01 00:00:00;LightGBM (pooled);20945,81;19717,24;6,2;1228,57;21219,51
PC000295;2026-06-01 00:00:00;LightGBM (pooled);19909,42;21031,72;5,3;-1122,3;21219,51
PC000295;2026-07-01 00:00:00;LightGBM (pooled);19852,47;23003,45;13,7;-3150,98;21219,51
PC000295;2026-08-01 00:00:00;LightGBM (pooled);18633,89;20374,48;8,5;-1740,59;21219,51
PC000007;2026-03-01 00:00:00;LightGBM (pooled);22815,87;23948,64;4,7;-1132,77;20595,28
PC000007;2026-04-01 00:00:00;LightGBM (pooled);21108,74;21667,81;2,6;-559,07;20595,28
PC000007;2026-05-01 00:00:00;LightGBM (pooled);21803,55;19957,2;9,3;1846,35;20595,28
PC000007;2026-06-01 00:00:00;LightGBM (pooled);20585,05;18816,79;9,4;1768,26;20595,28
PC000007;2026-07-01 00:00:00;LightGBM (pooled);20143,07;21097,61;4,5;-954,54;20595,28
PC000007;2026-08-01 00:00:00;LightGBM (pooled);19914,36;21097,61;5,6;-1183,25;20595,28
PC000730;2026-03-01 00:00:00;ExponentialSmoothing;20548,9;18193,9;12,9;2355,0;20396,97
PC000730;2026-04-01 00:00:00;ExponentialSmoothing;17922,91;19753,38;9,3;-1830,47;20396,97
PC000730;2026-05-01 00:00:00;ExponentialSmoothing;21710,47;20793,03;4,4;917,44;20396,97
PC000730;2026-06-01 00:00:00;ExponentialSmoothing;18304,73;16634,42;10,0;1670,31;20396,97
PC000730;2026-07-01 00:00:00;ExponentialSmoothing;16722,71;16114,6;3,8;608,11;20396,97
PC000730;2026-08-01 00:00:00;ExponentialSmoothing;18742,85;17154,25;9,3;1588,6;20396,97
PC000357;2026-03-01 00:00:00;LightGBM (pooled);20155,04;16997,04;18,6;3158,0;20234,57
PC000357;2026-04-01 00:00:00;LightGBM (pooled);20969,44;21431,05;2,2;-461,61;20234,57
PC000357;2026-05-01 00:00:00;LightGBM (pooled);20460,99;19214,05;6,5;1246,94;20234,57
PC000357;2026-06-01 00:00:00;LightGBM (pooled);18952,28;20692,05;8,4;-1739,77;20234,57
PC000357;2026-07-01 00:00:00;LightGBM (pooled);18508,57;18475,05;0,2;33,52;20234,57
PC000357;2026-08-01 00:00:00;LightGBM (pooled);18782,97;16997,04;10,5;1785,93;20234,57
PC000425;2026-03-01 00:00:00;Prophet;19910,73;19199,43;3,7;711,3;20113,68
PC000425;2026-04-01 00:00:00;Prophet;21463,34;19199,43;11,8;2263,91;20113,68
PC000425;2026-05-01 00:00:00;Prophet;20923,41;23999,28;12,8;-3075,87;20113,68
PC000425;2026-06-01 00:00:00;Prophet;21678,63;23199,31;6,6;-1520,68;20113,68
PC000425;2026-07-01 00:00:00;Prophet;20802,86;19999,4;4,0;803,46;20113,68
PC000425;2026-08-01 00:00:00;Prophet;19679,27;15999,52;23,0;3679,75;20113,68
PC000845;2026-03-01 00:00:00;LightGBM (pooled);20161,73;19146,85;5,3;1014,88;19681,33
PC000845;2026-04-01 00:00:00;LightGBM (pooled);19462,11;19146,85;1,6;315,26;19681,33
PC000845;2026-05-01 00:00:00;LightGBM (pooled);19532,26;20467,32;4,6;-935,06;19681,33
PC000845;2026-06-01 00:00:00;LightGBM (pooled);18469,77;19146,85;3,5;-677,08;19681,33
PC000845;2026-07-01 00:00:00;LightGBM (pooled);18437,37;17826,38;3,4;610,99;19681,33
PC000845;2026-08-01 00:00:00;LightGBM (pooled);18424,93;19807,09;7,0;-1382,16;19681,33
PC000896;2026-03-01 00:00:00;LightGBM (pooled);21703,15;19589,81;10,8;2113,34;18390,44
PC000896;2026-04-01 00:00:00;LightGBM (pooled);20765,71;17910,69;15,9;2855,02;18390,44
PC000896;2026-05-01 00:00:00;LightGBM (pooled);20895,18;20709,23;0,9;185,95;18390,44
PC000896;2026-06-01 00:00:00;LightGBM (pooled);20037,82;20709,23;3,2;-671,41;18390,44
PC000896;2026-07-01 00:00:00;LightGBM (pooled);18961,88;19030,11;0,4;-68,23;18390,44
PC000896;2026-08-01 00:00:00;LightGBM (pooled);18353,1;17910,69;2,5;442,41;18390,44
PC000547;2026-03-01 00:00:00;LightGBM (pooled);19467,67;20185,76;3,6;-718,09;18226,33
PC000547;2026-04-01 00:00:00;LightGBM (pooled);19438,67;17597,84;10,5;1840,83;18226,33
PC000547;2026-05-01 00:00:00;LightGBM (pooled);19233,64;17080,26;12,6;2153,38;18226,33
PC000547;2026-06-01 00:00:00;LightGBM (pooled);18469,77;19150,59;3,6;-680,82;18226,33
PC000547;2026-07-01 00:00:00;LightGBM (pooled);18615,66;17597,84;5,8;1017,82;18226,33
PC000547;2026-08-01 00:00:00;LightGBM (pooled);18424,93;17080,26;7,9;1344,67;18226,33
