Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
PC000335;2026-03-01 00:00:00;Prophet;19958,9;18113,98;10,2;1844,92;20909,9
PC000335;2026-04-01 00:00:00;Prophet;19517,33;19987,84;2,4;-470,51;20909,9
PC000335;2026-05-01 00:00:00;Prophet;21649,89;20612,46;5,0;1037,43;20909,9
PC000335;2026-06-01 00:00:00;Prophet;21411,58;20612,46;3,9;799,12;20909,9
PC000335;2026-07-01 00:00:00;Prophet;20411,46;20612,46;1,0;-201,0;20909,9
PC000335;2026-08-01 00:00:00;Prophet;18119,31;21861,7;17,1;-3742,39;20909,9
PC000118;2026-03-01 00:00:00;LightGBM (pooled);20011,19;15756,65;27,0;4254,54;19242,5
PC000118;2026-04-01 00:00:00;LightGBM (pooled);20981,28;17726,23;18,4;3255,05;19242,5
PC000118;2026-05-01 00:00:00;LightGBM (pooled);19850,8;17726,23;12,0;2124,57;19242,5
PC000118;2026-06-01 00:00:00;LightGBM (pooled);19901,22;16413,18;21,3;3488,04;19242,5
PC000118;2026-07-01 00:00:00;LightGBM (pooled);18998,86;17726,23;7,2;1272,63;19242,5
PC000118;2026-08-01 00:00:00;LightGBM (pooled);17099,89;18382,76;7,0;-1282,87;19242,5
PC000699;2026-03-01 00:00:00;ExponentialSmoothing;16395,87;16873,49;2,8;-477,62;18078,74
PC000699;2026-04-01 00:00:00;ExponentialSmoothing;18146,09;21475,35;15,5;-3329,26;18078,74
PC000699;2026-05-01 00:00:00;ExponentialSmoothing;17392,51;18407,44;5,5;-1014,93;18078,74
PC000699;2026-06-01 00:00:00;ExponentialSmoothing;15384,26;17640,46;12,8;-2256,2;18078,74
PC000699;2026-07-01 00:00:00;ExponentialSmoothing;17184,97;15339,53;12,0;1845,44;18078,74
PC000699;2026-08-01 00:00:00;ExponentialSmoothing;15102,71;17640,46;14,4;-2537,75;18078,74
PC000235;2026-03-01 00:00:00;LightGBM (pooled);15745,16;18419,06;14,5;-2673,9;15775,58
PC000235;2026-04-01 00:00:00;LightGBM (pooled);15490,91;16372,49;5,4;-881,58;15775,58
PC000235;2026-05-01 00:00:00;LightGBM (pooled);15535,73;16372,49;5,1;-836,76;15775,58
PC000235;2026-06-01 00:00:00;LightGBM (pooled);14700,06;15349,21;4,2;-649,15;15775,58
PC000235;2026-07-01 00:00:00;LightGBM (pooled);14003,53;17395,78;19,5;-3392,25;15775,58
PC000235;2026-08-01 00:00:00;LightGBM (pooled);13430,62;15349,21;12,5;-1918,59;15775,58
PC000313;2026-03-01 00:00:00;Prophet;13645,03;14854,63;8,1;-1209,6;14169,38
PC000313;2026-04-01 00:00:00;Prophet;13206,14;14854,63;11,1;-1648,49;14169,38
PC000313;2026-05-01 00:00:00;Prophet;12297,08;15783,05;22,1;-3485,97;14169,38
PC000313;2026-06-01 00:00:00;Prophet;13666,85;13462,01;1,5;204,84;14169,38
PC000313;2026-07-01 00:00:00;Prophet;12077,58;12997,8;7,1;-920,22;14169,38
PC000313;2026-08-01 00:00:00;Prophet;10511,66;11605,18;9,4;-1093,52;14169,38
