Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
PC000410;2026-03-01 00:00:00;Prophet;33244,78;33611,29;1,1;-366,51;28851,8
PC000410;2026-04-01 00:00:00;Prophet;31180,99;31252,6;0,2;-71,61;28851,8
PC000410;2026-05-01 00:00:00;Prophet;30195,21;27124,9;11,3;3070,31;28851,8
PC000410;2026-06-01 00:00:00;Prophet;28250,36;24176,54;16,9;4073,82;28851,8
PC000410;2026-07-01 00:00:00;Prophet;27496,15;27124,9;1,4;371,25;28851,8
PC000410;2026-08-01 00:00:00;Prophet;25388,25;25355,88;0,1;32,37;28851,8
PC000845;2026-03-01 00:00:00;LightGBM (pooled);27503,43;28845,95;4,7;-1342,52;26130,67
PC000845;2026-04-01 00:00:00;LightGBM (pooled);26015,62;21466,76;21,2;4548,86;26130,67
PC000845;2026-05-01 00:00:00;LightGBM (pooled);25080,26;26833,45;6,5;-1753,19;26130,67
PC000845;2026-06-01 00:00:00;LightGBM (pooled);24777,54;24820,94;0,2;-43,4;26130,67
PC000845;2026-07-01 00:00:00;LightGBM (pooled);22445,14;22808,43;1,6;-363,29;26130,67
PC000845;2026-08-01 00:00:00;LightGBM (pooled);22770,4;24150,1;5,7;-1379,7;26130,67
PC000118;2026-03-01 00:00:00;LightGBM (pooled);27975,82;23576,51;18,7;4399,31;23973,56
PC000118;2026-04-01 00:00:00;LightGBM (pooled);24578,96;23001,48;6,9;1577,48;23973,56
PC000118;2026-05-01 00:00:00;LightGBM (pooled);24182,06;24151,55;0,1;30,51;23973,56
PC000118;2026-06-01 00:00:00;LightGBM (pooled);25073,7;24151,55;3,8;922,15;23973,56
PC000118;2026-07-01 00:00:00;LightGBM (pooled);22391,51;20701,33;8,2;1690,18;23973,56
PC000118;2026-08-01 00:00:00;LightGBM (pooled);20485,51;18401,18;11,3;2084,33;23973,56
PC000901;2026-03-01 00:00:00;ExponentialSmoothing;19523,67;18080,12;8,0;1443,55;19824,12
PC000901;2026-04-01 00:00:00;ExponentialSmoothing;20862,34;22252,46;6,2;-1390,12;19824,12
PC000901;2026-05-01 00:00:00;ExponentialSmoothing;19688,42;21788,87;9,6;-2100,45;19824,12
PC000901;2026-06-01 00:00:00;ExponentialSmoothing;19493,25;19470,9;0,1;22,35;19824,12
PC000901;2026-07-01 00:00:00;ExponentialSmoothing;18093,83;22716,05;20,3;-4622,22;19824,12
PC000901;2026-08-01 00:00:00;ExponentialSmoothing;18655,34;19007,31;1,9;-351,97;19824,12
PC000853;2026-03-01 00:00:00;Prophet;20658,66;19054,98;8,4;1603,68;18182,5
PC000853;2026-04-01 00:00:00;Prophet;19650,15;17589,21;11,7;2060,94;18182,5
PC000853;2026-05-01 00:00:00;Prophet;20102,05;21253,63;5,4;-1151,58;18182,5
PC000853;2026-06-01 00:00:00;Prophet;19704,75;17589,21;12,0;2115,54;18182,5
PC000853;2026-07-01 00:00:00;Prophet;15847,85;17589,21;9,9;-1741,36;18182,5
PC000853;2026-08-01 00:00:00;Prophet;16183,86;15390,56;5,2;793,3;18182,5
PC000600;2026-03-01 00:00:00;LightGBM (pooled);18721,9;22208,89;15,7;-3486,99;17831,74
PC000600;2026-04-01 00:00:00;LightGBM (pooled);17445,59;17890,49;2,5;-444,9;17831,74
PC000600;2026-05-01 00:00:00;LightGBM (pooled);17999,77;19124,32;5,9;-1124,55;17831,74
PC000600;2026-06-01 00:00:00;LightGBM (pooled);17861,62;17273,58;3,4;588,04;17831,74
PC000600;2026-07-01 00:00:00;LightGBM (pooled);16655,6;14805,92;12,5;1849,68;17831,74
PC000600;2026-08-01 00:00:00;LightGBM (pooled);15745,33;17890,49;12,0;-2145,16;17831,74
PC000146;2026-03-01 00:00:00;LightGBM (pooled);15509,53;15868,37;2,3;-358,84;16005,76
PC000146;2026-04-01 00:00:00;LightGBM (pooled);14907,24;15868,37;6,1;-961,13;16005,76
PC000146;2026-05-01 00:00:00;LightGBM (pooled);14917,48;13704,5;8,9;1212,98;16005,76
PC000146;2026-06-01 00:00:00;LightGBM (pooled);14348,15;15868,37;9,6;-1520,22;16005,76
PC000146;2026-07-01 00:00:00;LightGBM (pooled);13752,18;13704,5;0,3;47,68;16005,76
PC000146;2026-08-01 00:00:00;LightGBM (pooled);13339,48;15868,37;15,9;-2528,89;16005,76
PC000357;2026-03-01 00:00:00;ExponentialSmoothing;17159,99;13522,72;26,9;3637,27;15608,52
PC000357;2026-04-01 00:00:00;ExponentialSmoothing;16486,31;18226,28;9,5;-1739,97;15608,52
PC000357;2026-05-01 00:00:00;ExponentialSmoothing;16171,64;14698,61;10,0;1473,03;15608,52
PC000357;2026-06-01 00:00:00;ExponentialSmoothing;13585,73;15874,5;14,4;-2288,77;15608,52
PC000357;2026-07-01 00:00:00;ExponentialSmoothing;15655,37;17050,39;8,2;-1395,02;15608,52
PC000357;2026-08-01 00:00:00;ExponentialSmoothing;14989,17;14698,61;2,0;290,56;15608,52
PC000430;2026-03-01 00:00:00;ExponentialSmoothing;14662,79;15234,62;3,8;-571,83;14824,58
PC000430;2026-04-01 00:00:00;ExponentialSmoothing;15339,61;17221,74;10,9;-1882,13;14824,58
PC000430;2026-05-01 00:00:00;ExponentialSmoothing;14974,26;13247,49;13,0;1726,77;14824,58
PC000430;2026-06-01 00:00:00;ExponentialSmoothing;13618,15;14572,24;6,5;-954,09;14824,58
PC000430;2026-07-01 00:00:00;ExponentialSmoothing;13306,54;11922,74;11,6;1383,8;14824,58
PC000430;2026-08-01 00:00:00;ExponentialSmoothing;13263,15;13909,87;4,6;-646,72;14824,58
PC000335;2026-03-01 00:00:00;Ensemble;16332,9;17309,59;5,6;-976,69;14630,72
PC000335;2026-04-01 00:00:00;Ensemble;15579,62;13703,42;13,7;1876,2;14630,72
PC000335;2026-05-01 00:00:00;Ensemble;16731,48;15867,12;5,4;864,36;14630,72
PC000335;2026-06-01 00:00:00;Ensemble;14539,02;14424,65;0,8;114,37;14630,72
PC000335;2026-07-01 00:00:00;Ensemble;13909,64;12982,19;7,1;927,45;14630,72
PC000335;2026-08-01 00:00:00;Ensemble;13379,87;12982,19;3,1;397,68;14630,72
PC000855;2026-03-01 00:00:00;SARIMAX;15273,67;17031,16;10,3;-1757,49;14245,53
PC000855;2026-04-01 00:00:00;SARIMAX;14947,47;17031,16;12,2;-2083,69;14245,53
PC000855;2026-05-01 00:00:00;SARIMAX;14467,61;14809,71;2,3;-342,1;14245,53
PC000855;2026-06-01 00:00:00;SARIMAX;14009,13;16290,68;14,0;-2281,55;14245,53
PC000855;2026-07-01 00:00:00;SARIMAX;13315,45;14069,22;5,4;-753,77;14245,53
PC000855;2026-08-01 00:00:00;SARIMAX;12671,23;13328,74;4,9;-657,51;14245,53
PC000027;2026-03-01 00:00:00;LightGBM (pooled);12705,75;14657,62;13,3;-1951,87;12943,01
PC000027;2026-04-01 00:00:00;LightGBM (pooled);12409,94;14020,33;11,5;-1610,39;12943,01
PC000027;2026-05-01 00:00:00;LightGBM (pooled);12538,81;11471,18;9,3;1067,63;12943,01
PC000027;2026-06-01 00:00:00;LightGBM (pooled);11563,18;10833,89;6,7;729,29;12943,01
PC000027;2026-07-01 00:00:00;LightGBM (pooled);11423,02;10833,89;5,4;589,13;12943,01
PC000027;2026-08-01 00:00:00;LightGBM (pooled);11423,02;12108,47;5,7;-685,45;12943,01
PC000180;2026-03-01 00:00:00;LightGBM (pooled);13380,46;12163,79;10,0;1216,67;12869,73
PC000180;2026-04-01 00:00:00;LightGBM (pooled);13126,97;12543,91;4,6;583,06;12869,73
PC000180;2026-05-01 00:00:00;LightGBM (pooled);12353,2;15204,74;18,8;-2851,54;12869,73
PC000180;2026-06-01 00:00:00;LightGBM (pooled);11864,92;13304,15;10,8;-1439,23;12869,73
PC000180;2026-07-01 00:00:00;LightGBM (pooled);11244,7;11403,56;1,4;-158,86;12869,73
PC000180;2026-08-01 00:00:00;LightGBM (pooled);11423,02;11403,56;0,2;19,46;12869,73
PC000729;2026-03-01 00:00:00;LightGBM (pooled);12904,26;10648,24;21,2;2256,02;12577,88
PC000729;2026-04-01 00:00:00;LightGBM (pooled);12866,43;13606,08;5,4;-739,65;12577,88
PC000729;2026-05-01 00:00:00;LightGBM (pooled);12669,07;14197,65;10,8;-1528,58;12577,88
PC000729;2026-06-01 00:00:00;LightGBM (pooled);11903,5;13606,08;12,5;-1702,58;12577,88
PC000729;2026-07-01 00:00:00;LightGBM (pooled);11244,7;10056,67;11,8;1188,03;12577,88
PC000729;2026-08-01 00:00:00;LightGBM (pooled);11423,02;10648,24;7,3;774,78;12577,88
PC000903;2026-03-01 00:00:00;LightGBM (pooled);12904,26;12429,73;3,8;474,53;12443,18
PC000903;2026-04-01 00:00:00;LightGBM (pooled);12369,31;10169,78;21,6;2199,53;12443,18
PC000903;2026-05-01 00:00:00;LightGBM (pooled);12538,81;11299,75;11,0;1239,06;12443,18
PC000903;2026-06-01 00:00:00;LightGBM (pooled);11903,5;11864,74;0,3;38,76;12443,18
PC000903;2026-07-01 00:00:00;LightGBM (pooled);11423,02;11299,75;1,1;123,27;12443,18
PC000903;2026-08-01 00:00:00;LightGBM (pooled);11423,02;10169,78;12,3;1253,24;12443,18
PC000673;2026-03-01 00:00:00;LightGBM (pooled);13559,17;12204,58;11,1;1354,59;12335,34
PC000673;2026-04-01 00:00:00;LightGBM (pooled);12811,1;10984,12;16,6;1826,98;12335,34
PC000673;2026-05-01 00:00:00;LightGBM (pooled);12538,81;13425,04;6,6;-886,23;12335,34
PC000673;2026-06-01 00:00:00;LightGBM (pooled);11903,5;12204,58;2,5;-301,08;12335,34
PC000673;2026-07-01 00:00:00;LightGBM (pooled);11244,7;11594,35;3,0;-349,65;12335,34
PC000673;2026-08-01 00:00:00;LightGBM (pooled);11423,02;10373,89;10,1;1049,13;12335,34
PC000425;2026-03-01 00:00:00;Ensemble;11715,63;13306,25;12,0;-1590,62;11945,81
PC000425;2026-04-01 00:00:00;Ensemble;11857,15;12523,53;5,3;-666,38;11945,81
PC000425;2026-05-01 00:00:00;Ensemble;12495,0;11740,81;6,4;754,19;11945,81
PC000425;2026-06-01 00:00:00;Ensemble;11227,27;11740,81;4,4;-513,54;11945,81
PC000425;2026-07-01 00:00:00;Ensemble;11225,17;10958,09;2,4;267,08;11945,81
PC000425;2026-08-01 00:00:00;Ensemble;10930,13;11740,81;6,9;-810,68;11945,81
PC000945;2026-03-01 00:00:00;Prophet;13363,46;12282,75;8,8;1080,71;11709,55
PC000945;2026-04-01 00:00:00;Prophet;12764,45;14247,99;10,4;-1483,54;11709,55
PC000945;2026-05-01 00:00:00;Prophet;12494,8;13265,37;5,8;-770,57;11709,55
PC000945;2026-06-01 00:00:00;Prophet;10794,83;11300,13;4,5;-505,3;11709,55
PC000945;2026-07-01 00:00:00;Prophet;11267,8;10317,51;9,2;950,29;11709,55
PC000945;2026-08-01 00:00:00;Prophet;11873,34;12282,75;3,3;-409,41;11709,55
PC000899;2026-03-01 00:00:00;LightGBM (pooled);11493,71;12010,21;4,3;-516,5;11540,95
PC000899;2026-04-01 00:00:00;LightGBM (pooled);11789,72;11702,26;0,7;87,46;11540,95
PC000899;2026-05-01 00:00:00;LightGBM (pooled);11732,98;11394,3;3,0;338,68;11540,95
PC000899;2026-06-01 00:00:00;LightGBM (pooled);11401,73;12010,21;5,1;-608,48;11540,95
PC000899;2026-07-01 00:00:00;LightGBM (pooled);11401,73;9546,58;19,4;1855,15;11540,95
PC000899;2026-08-01 00:00:00;LightGBM (pooled);10870,77;11086,35;1,9;-215,58;11540,95
PC000080;2026-03-01 00:00:00;LightGBM (pooled);10658,18;11475,63;7,1;-817,45;11056,68
PC000080;2026-04-01 00:00:00;LightGBM (pooled);10743,36;10710,59;0,3;32,77;11056,68
PC000080;2026-05-01 00:00:00;LightGBM (pooled);10373,41;11475,63;9,6;-1102,22;11056,68
PC000080;2026-06-01 00:00:00;LightGBM (pooled);10403,69;11475,63;9,3;-1071,94;11056,68
PC000080;2026-07-01 00:00:00;LightGBM (pooled);10488,52;9945,54;5,5;542,98;11056,68
PC000080;2026-08-01 00:00:00;LightGBM (pooled);9905,66;9180,5;7,9;725,16;11056,68
PC000611;2026-03-01 00:00:00;LightGBM (pooled);11699,1;10647,61;9,9;1051,49;10663,46
PC000611;2026-04-01 00:00:00;LightGBM (pooled);11024,48;11978,56;8,0;-954,08;10663,46
PC000611;2026-05-01 00:00:00;LightGBM (pooled);11108,29;11978,56;7,3;-870,27;10663,46
PC000611;2026-06-01 00:00:00;LightGBM (pooled);10840,88;11978,56;9,5;-1137,68;10663,46
PC000611;2026-07-01 00:00:00;LightGBM (pooled);10880,1;10647,61;2,2;232,49;10663,46
PC000611;2026-08-01 00:00:00;LightGBM (pooled);10880,1;10647,61;2,2;232,49;10663,46
PC000520;2026-03-01 00:00:00;LightGBM (pooled);10139,55;10584,1;4,2;-444,55;10143,1
PC000520;2026-04-01 00:00:00;LightGBM (pooled);10076,59;10584,1;4,8;-507,51;10143,1
PC000520;2026-05-01 00:00:00;LightGBM (pooled);9466,97;11907,12;20,5;-2440,15;10143,1
PC000520;2026-06-01 00:00:00;LightGBM (pooled);9180,19;9261,09;0,9;-80,9;10143,1
PC000520;2026-07-01 00:00:00;LightGBM (pooled);9001,03;9922,6;9,3;-921,57;10143,1
PC000520;2026-08-01 00:00:00;LightGBM (pooled);8590,41;10584,1;18,8;-1993,69;10143,1
PC000005;2026-03-01 00:00:00;ExponentialSmoothing;10510,4;10346,98;1,6;163,42;10002,08
PC000005;2026-04-01 00:00:00;ExponentialSmoothing;9334,86;9657,18;3,3;-322,32;10002,08
PC000005;2026-05-01 00:00:00;ExponentialSmoothing;9538,99;9657,18;1,2;-118,19;10002,08
PC000005;2026-06-01 00:00:00;ExponentialSmoothing;9808,57;8967,38;9,4;841,19;10002,08
PC000005;2026-07-01 00:00:00;ExponentialSmoothing;8887,86;8967,38;0,9;-79,52;10002,08
PC000005;2026-08-01 00:00:00;ExponentialSmoothing;8590,33;8967,38;4,2;-377,05;10002,08
PC000668;2026-03-01 00:00:00;LightGBM (pooled);10485,2;8384,97;25,0;2100,23;9982,11
PC000668;2026-04-01 00:00:00;LightGBM (pooled);9845,77;9147,24;7,6;698,53;9982,11
PC000668;2026-05-01 00:00:00;LightGBM (pooled);9978,91;10671,78;6,5;-692,87;9982,11
PC000668;2026-06-01 00:00:00;LightGBM (pooled);9491,09;9909,51;4,2;-418,42;9982,11
PC000668;2026-07-01 00:00:00;LightGBM (pooled);9180,19;8384,97;9,5;795,22;9982,11
PC000668;2026-08-01 00:00:00;LightGBM (pooled);9001,03;6860,43;31,2;2140,6;9982,11
PC000665;2026-03-01 00:00:00;LightGBM (pooled);10225,77;11168,96;8,4;-943,19;9877,31
PC000665;2026-04-01 00:00:00;LightGBM (pooled);9993,75;10371,18;3,6;-377,43;9877,31
PC000665;2026-05-01 00:00:00;LightGBM (pooled);9466,97;10371,18;8,7;-904,21;9877,31
PC000665;2026-06-01 00:00:00;LightGBM (pooled);9200,12;9573,4;3,9;-373,28;9877,31
PC000665;2026-07-01 00:00:00;LightGBM (pooled);9001,03;7977,83;12,8;1023,2;9877,31
PC000665;2026-08-01 00:00:00;LightGBM (pooled);8590,41;7977,83;7,7;612,58;9877,31
PC000084;2026-03-01 00:00:00;Ensemble;9910,16;10162,52;2,5;-252,36;9713,16
PC000084;2026-04-01 00:00:00;Ensemble;10383,27;10888,41;4,6;-505,14;9713,16
PC000084;2026-05-01 00:00:00;Ensemble;9855,58;10162,52;3,0;-306,94;9713,16
PC000084;2026-06-01 00:00:00;Ensemble;10035,15;10162,52;1,3;-127,37;9713,16
PC000084;2026-07-01 00:00:00;Ensemble;9222,25;9436,63;2,3;-214,38;9713,16
PC000084;2026-08-01 00:00:00;Ensemble;8850,0;9436,63;6,2;-586,63;9713,16
PC000312;2026-03-01 00:00:00;ExponentialSmoothing;10984,45;11564,84;5,0;-580,39;9637,37
PC000312;2026-04-01 00:00:00;ExponentialSmoothing;8621,81;9523,99;9,5;-902,18;9637,37
PC000312;2026-05-01 00:00:00;ExponentialSmoothing;9272,67;10204,27;9,1;-931,6;9637,37
PC000312;2026-06-01 00:00:00;ExponentialSmoothing;10263,74;10884,56;5,7;-620,82;9637,37
PC000312;2026-07-01 00:00:00;ExponentialSmoothing;8889,82;8163,42;8,9;726,4;9637,37
PC000312;2026-08-01 00:00:00;ExponentialSmoothing;8889,3;8163,42;8,9;725,88;9637,37
PC000371;2026-03-01 00:00:00;SARIMAX;10858,56;10025,19;8,3;833,37;9627,36
PC000371;2026-04-01 00:00:00;SARIMAX;10513,51;12030,22;12,6;-1516,71;9627,36
PC000371;2026-05-01 00:00:00;SARIMAX;9376,47;9356,84;0,2;19,63;9627,36
PC000371;2026-06-01 00:00:00;SARIMAX;9392,34;9356,84;0,4;35,5;9627,36
PC000371;2026-07-01 00:00:00;SARIMAX;8522,37;8688,5;1,9;-166,13;9627,36
PC000371;2026-08-01 00:00:00;SARIMAX;8583,07;8020,15;7,0;562,92;9627,36
PC000959;2026-03-01 00:00:00;LightGBM (pooled);10622,82;10009,15;6,1;613,67;9594,69
PC000959;2026-04-01 00:00:00;LightGBM (pooled);10112,63;10009,15;1,0;103,48;9594,69
PC000959;2026-05-01 00:00:00;LightGBM (pooled);9978,91;9573,97;4,2;404,94;9594,69
PC000959;2026-06-01 00:00:00;LightGBM (pooled);9772,96;10444,34;6,4;-671,38;9594,69
PC000959;2026-07-01 00:00:00;LightGBM (pooled);9241,09;8703,61;6,2;537,48;9594,69
PC000959;2026-08-01 00:00:00;LightGBM (pooled);9001,03;8703,61;3,4;297,42;9594,69
PC000547;2026-03-01 00:00:00;LightGBM (pooled);9526,94;9147,35;4,1;379,59;9401,44
PC000547;2026-04-01 00:00:00;LightGBM (pooled);8913,97;8130,98;9,6;782,99;9401,44
PC000547;2026-05-01 00:00:00;LightGBM (pooled);9044,37;9655,53;6,3;-611,16;9401,44
PC000547;2026-06-01 00:00:00;LightGBM (pooled);8590,41;7114,6;20,7;1475,81;9401,44
PC000547;2026-07-01 00:00:00;LightGBM (pooled);8388,65;7622,79;10,0;765,86;9401,44
PC000547;2026-08-01 00:00:00;LightGBM (pooled);8388,65;7622,79;10,0;765,86;9401,44
PC000378;2026-03-01 00:00:00;Ensemble;9529,81;8385,55;13,6;1144,26;9327,92
PC000378;2026-04-01 00:00:00;Ensemble;9887,29;11068,92;10,7;-1181,63;9327,92
