Produto;Filial;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;FontePrevisao;ModeloUsado;CapitalParado
PC000666;Loja Sul;Fornecedor Delta;D;Baixa;146,0;2,1;;40;75;10,0;0,17;6,35;🟡 Estoque excessivo;0,0;384,33;0,0;1-Config ML (Painel);SARIMAX;56112,18
PC000172;Loja Centro;Fornecedor Gamma;D;Baixa;97,0;3,7;791,4;40;75;10,0;0,46;6,35;🟡 Estoque excessivo;0,0;441,68;0,0;1-Config ML (Painel);ExponentialSmoothing;42842,96
PC000635;Loja Sul;Fornecedor Alfa;D;Baixa;60,0;3,1;579,5;40;75;10,0;0,63;6,35;🟡 Estoque excessivo;0,0;417,81;0,0;1-Config ML (Painel);ARIMA;25068,6
PC000901;Loja Centro;Fornecedor Delta;E;Baixa;94,0;2,2;;55;100;10,0;0,28;4,71;🟡 Estoque excessivo;0,0;252,97;0,0;1-Config ML (Painel);ARIMA;23779,18
PC000690;Loja Sul;Fornecedor Beta;E;Baixa;68,0;1,0;;55;100;10,0;0,18;4,71;🟡 Estoque excessivo;0,0;346,05;0,0;1-Config ML (Painel);ARIMA;23531,4
PC000547;Loja Norte;Fornecedor Beta;D;Baixa;62,0;2,0;930,0;40;75;10,0;0,39;6,35;🟡 Estoque excessivo;0,0;364,25;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção);22583,5
PC000958;Loja Sul;Fornecedor Alfa;E;Baixa;94,0;2,0;;55;100;10,0;0,26;4,71;🟡 Estoque excessivo;0,0;194,19;0,0;1-Config ML (Painel);Croston;18253,86
PC000834;Loja Centro;Fornecedor Beta;E;Média;53,0;1,0;;55;100;10,0;0,23;4,71;🟡 Estoque excessivo;0,0;338,65;0,0;1-Config ML (Painel);SARIMAX;17948,449999999997
PC000357;Loja Norte;Fornecedor Delta;E;Baixa;42,0;3,0;420,0;55;100;10,0;0,87;4,71;🟡 Estoque excessivo;0,0;406,11;0,0;2-Recalculado agora (sem calibrações);Média Móvel;17056,62
PC000729;Loja Norte;Fornecedor Alfa;C;Baixa;46,0;3,2;437,3;30;55;10,0;0,83;8,59;🟡 Estoque excessivo;0,0;367,77;0,0;1-Config ML (Painel);Croston;16917,42
PC000563;Loja Centro;Fornecedor Alfa;D;Baixa;46,0;3,4;404,4;40;75;10,0;0,9;6,35;🟡 Estoque excessivo;0,0;352,99;0,0;1-Config ML (Painel);ARIMA;16237,54
PC000755;Loja Sul;Fornecedor Beta;C;Baixa;36,0;3,7;292,3;30;55;10,0;1,25;8,59;🟡 Estoque excessivo;0,0;439,34;0,0;1-Config ML (Painel);Ensemble;15816,24
PC000457;Loja Sul;Fornecedor Gamma;D;Baixa;48,0;2,6;557,8;40;75;10,0;0,65;6,35;🟡 Estoque excessivo;0,0;312,77;0,0;1-Config ML (Painel);Prophet;15012,96
PC000343;Loja Centro;Fornecedor Delta;E;Baixa;37,0;2,2;509,2;55;100;10,0;0,72;4,71;🟡 Estoque excessivo;0,0;391,78;0,0;1-Config ML (Painel);SARIMAX (c/ sazonalidade+promoção);14495,859999999999
PC000727;Loja Norte;Fornecedor Alfa;D;Baixa;58,0;3,6;482,0;40;75;10,0;0,76;6,35;🟡 Estoque excessivo;0,0;233,16;0,0;1-Config ML (Painel);ARIMA;13523,28
PC000935;Loja Sul;Fornecedor Delta;D;Baixa;44,0;2,5;517,8;40;75;10,0;0,7;6,35;🟡 Estoque excessivo;0,0;307,0;0,0;1-Config ML (Painel);Prophet;13508,0
PC000900;Loja Sul;Fornecedor Gamma;D;Baixa;38,0;2,9;388,6;40;75;10,0;0,94;6,35;🟡 Estoque excessivo;0,0;354,44;0,0;1-Config ML (Painel);Ensemble;13468,72
PC000588;Loja Norte;Fornecedor Alfa;D;Baixa;72,0;3,5;618,3;40;75;10,0;0,59;6,35;🟡 Estoque excessivo;0,0;186,71;0,0;1-Config ML (Painel);ExponentialSmoothing;13443,12
PC000563;Loja Norte;Fornecedor Alfa;D;Baixa;36,0;3,7;291,7;40;75;10,0;1,25;6,35;🟡 Estoque excessivo;0,0;352,99;0,0;1-Config ML (Painel);Ensemble;12707,64
PC000953;Loja Norte;Fornecedor Alfa;D;Baixa;46,0;3,5;399,1;40;75;10,0;0,91;6,35;🟡 Estoque excessivo;0,0;272,42;0,0;1-Config ML (Painel);Prophet;12531,320000000002
