Produto;valor;pct;pct_acumulado;classe_abc
PC000882;3447931,27;0,4976692830583752;0,4976692830583752;A
PC000104;2803235,29;0,4046148219822946;0,9022841050406698;A
PC000278;2779534,74;0,40119391976500957;1,3034780248056794;A
PC000244;2683082,23;0,38727210759939734;1,6907501324050767;A
PC000449;2629680,4;0,3795641667012294;2,070314299106306;A
PC000938;2484828,5;0,35865645840382954;2,4289707575101356;A
PC000478;2483934,1;0,35852736203504737;2,787498119545183;A
PC000845;2466127,81;0,35595722855955336;3,1434553481047365;A
PC000701;2459654,27;0,35502284740216744;3,498478195506904;A
PC000954;2430908,86;0,35087377757865;3,849351973085554;A
PC000829;2419406,58;0,3492135555519109;4,198565528637465;A
PC000713;2382789,8;0,34392834386307514;4,54249387250054;A
PC000866;2369969,46;0,3420778750118313;4,884571747512371;A
PC000335;2328426,65;0,3360816474626289;5,220653394975001;A
PC000890;2284649,32;0,329762892612475;5,550416287587476;A
PC000118;2284519,44;0,32974414592600654;5,880160433513482;A
PC000123;2237633,3;0,3229766700536772;6,203137103567159;A
PC000913;2236180,83;0,3227670226892262;6,5259041262563855;A
PC000646;2197379,97;0,31716656413419003;6,843070690390576;A
PC000818;2135326,83;0,3082099059884721;7,151280596379048;A
PC000141;2132867,62;0,3078549472663425;7,459135543645391;A
PC000105;2124113,89;0,30659144686797557;7,765726990513366;A
PC000762;2074308,82;0,29940265697090435;8,065129647484271;A
PC000323;2072930,48;0,2992037094206503;8,364333356904922;A
PC000470;2055207,9;0,2966456585223374;8,660979015427259;A
PC000674;2051336,35;0,29608684474040703;8,957065860167665;A
PC000640;2051037,02;0,29604363989238874;9,253109500060054;A
PC000554;2040506,21;0,29452363840386603;9,54763313846392;A
PC000410;2027931,21;0,2927085815641573;9,840341720028078;A
PC000905;2026466,45;0,29249716027934364;10,132838880307423;A
PC000931;2008337,34;0,28988043144408865;10,422719311751512;A
PC000055;2006472,15;0,28961121268728096;10,712330524438794;A
PC000221;1987482,98;0,28687034406788603;10,99920086850668;A
PC000224;1929597,3900000001;0,2785152239048583;11,277716092411538;A
PC000201;1908190,52;0,2754253880551361;11,553141480466675;A
PC000425;1902845,09;0,27465383662112547;11,8277953170878;A
PC000943;1897340,34;0,2738592891747329;12,101654606262532;A
PC000295;1869915,09;0,26990076928660395;12,371555375549136;A
PC000545;1867059,22;0,2694885572486859;12,641043932797821;A
PC000135;1841722,77;0,2658315316529453;12,906875464450767;A
PC000186;1819940,27;0,26268747792642805;13,169562942377196;A
PC000448;1817337,28;0,2623117662124564;13,431874708589651;A
PC000052;1809573,72;0,26119118548255665;13,693065894072209;A
PC000551;1809200,19;0,2611372707166452;13,954203164788854;A
PC000210;1807026,4;0,26082350909377516;14,21502667388263;A
PC000416;1805947,72;0,2606678140232498;14,47569448790588;A
PC000980;1799426,6;0,2597265652392688;14,73542105314515;A
PC000426;1799277,91;0,2597051035453128;14,995126156690462;A
PC000680;1785294,74;0,2576867935374154;15,252812950227877;A
PC000819;1777160,86;0,25651276136824086;15,509325711596118;A
PC000684;1773491,76;0,25598316891889095;15,765308880515008;A
PC000036;1772213,51;0,2557986682107114;16,02110754872572;A
PC000357;1723647,69;0,24878874981969248;16,26989629854541;A
PC000782;1714592,61;0,2474817530095049;16,517378051554918;A
PC000897;1710633,11;0,24691024465508526;16,764288296210005;A
PC000689;1708514,64;0,24660446783892476;17,01089276404893;A
PC000806;1700888,66;0,24550374520206736;17,256396509250997;A
PC000420;1698278,34;0,2451269754867729;17,50152348473777;A
PC000271;1678416,68;0,2422601729554831;17,743783657693253;A
PC000600;1672713,65;0,24143700606812213;17,985220663761375;A
PC000687;1670632,43;0,24113660586168564;18,226357269623062;A
PC000618;1668138,81;0,24077668045121772;18,46713395007428;A
PC000495;1666916,25;0,2406002179549987;18,70773416802928;A
PC000874;1658055,13;0,23932121704338996;18,94705538507267;A
PC000028;1633833,8;0,23582514621370074;19,18288053128637;A
PC000019;1633316,61;0,2357504957765692;19,418631027062936;A
PC000304;1630943,17;0,23540791696896377;19,6540389440319;A
PC000007;1625703,25;0,23465159469178476;19,888690538723683;A
PC000328;1625452,13;0,23461534840362666;20,12330588712731;A
PC000774;1621763,31;0,23408290959873967;20,35738879672605;A
PC000773;1614573,65;0,23304516474321837;20,590433961469266;A
PC000144;1605890,44;0,23179184309700548;20,822225804566273;A
PC000150;1605812,58;0,2317806049001435;21,054006409466417;A
PC000190;1600560,81;0,2310225722115489;21,285028981677968;A
PC000835;1599217,06;0,23082861733056606;21,515857599008534;A
PC000650;1598205,01;0,2306825395353671;21,7465401385439;A
PC000197;1595172,27;0,23024479834411;21,97678493688801;A
PC000855;1584819,14;0,2287504429231244;22,205535379811135;A
PC000016;1577407,31;0,22768063037948558;22,43321601019062;A
PC000775;1569559,71;0,2265479194406945;22,659763929631314;A
PC000385;1543373,79;0,22276828260569922;22,882532212237013;A
PC000634;1514656,24;0,2186232340532398;23,101155446290253;A
PC000146;1509906,57;0,2179376737335691;23,319093120023823;A
PC000591;1504827,02;0,21720449902421385;23,536297619048035;A
PC000061;1501316,24;0,21669775824872972;23,752995377296767;A
PC000023;1500066,54;0,21651737840518429;23,969512755701952;A
PC000828;1496177,06;0,21595597663366062;24,185468732335615;A
PC000682;1488428,68;0,21483758696243496;24,40030631929805;A
PC000574;1483618,2;0,21414324941760143;24,614449568715653;A
PC000010;1468337,02;0,21193758657244677;24,8263871552881;A
PC000896;1463608,91;0,21125513819118272;25,037642293479283;A
PC000003;1463154,12;0,21118949447745458;25,24883178795674;A
PC000673;1457981,99;0,2104429569082806;25,45927474486502;A
PC000631;1455807,7;0,21012912311615256;25,669403867981174;A
PC000707;1454087,64;0,20988085220818362;25,879284720189357;A
PC000131;1445144,22;0,2085899722367015;26,08787469242606;A
