Produto;valor;pct;pct_acumulado;classe_abc
PC000646;1471048,99;0,6642618948364604;0,6642618948364604;A
PC000782;1396396,56;0,6305520966291647;1,2948139914656251;A
PC000123;1383615,22;0,6247805980695217;1,919594589535147;A
PC000410;1380421,51;0,6233384572091021;2,542933046744249;A
PC000954;1333085,12;0,6019633974185252;3,1448964441627743;A
PC000845;1246413,56;0,5628262816151747;3,707722725777949;A
PC000713;1229805,57;0,5553268339544785;4,263049559732427;A
PC000554;1216672,49;0,5493965048728896;4,812446064605317;A
PC000701;1153300,82;0,5207806084076395;5,333226673012956;A
PC000118;1140873,21;0,5151688389675961;5,848395511980552;A
PC000689;1107943,99;0,5002994320196421;6,3486949440001945;A
PC000282;1075599,19;0,4856939237856123;6,8343888677858065;A
PC000634;1038590,62;0,46898245938129784;7,303371327167104;A
PC000023;1018218,5;0,4597832939387956;7,7631546211059;A
PC000674;1017104,6799999999;0,45928034115562094;8,222434962261522;A
PC000707;1015537,68;0,458572751947998;8,68100771420952;A
PC000135;1010524,06;0,45630881869775997;9,13731653290728;A
PC000190;957181,02;0,4322214163966734;9,569537949303953;A
PC000901;955928,56;0,43165585980511023;10,001193809109063;A
PC000618;940509,78;0,4246934077804047;10,425887216889468;A
PC000774;911854,38;0,4117538725027273;10,837641089392195;A
PC000866;908369,31;0,410180166108464;11,247821255500659;A
PC000853;872131,84;0,39381689700599887;11,641638152506658;A
PC000600;858126,7000000001;0,387492783467231;12,029130935973889;A
PC000913;858117,38;0,3874885749596272;12,416619510933517;A
PC000400;858065,0;0,38746492242440367;12,80408443335792;A
PC000806;830833,9400000001;0,3751685572883892;13,17925299064631;A
PC000055;822350,0700000001;0,37133760971284574;13,550590600359156;A
PC000955;807593,17;0,36467403397706266;13,915264634336218;A
PC000844;802494,72;0,3623717951796117;14,27763642951583;A
PC000141;798869,09;0,36073461798826884;14,6383710475041;A
PC000640;794465,19;0,35874600783418403;14,997117055338284;A
PC000105;787179,17;0,35545595734374025;15,352573012682024;A
