Produto;Categoria;Emissao;Quantidade;Vlr.Total;Filial;_periodo_val
PC000005;Arrefecimento;01/09/2022;4;2147,33;Loja Centro;2022-09
PC000005;Arrefecimento;01/10/2022;4;2147,33;Loja Centro;2022-10
PC000005;Arrefecimento;01/11/2022;6;3221,0;Loja Centro;2022-11
PC000005;Arrefecimento;01/12/2022;6;3221,0;Loja Centro;2022-12
PC000005;Arrefecimento;01/01/2023;4;2147,33;Loja Centro;2023-01
PC000005;Arrefecimento;01/02/2023;5;2684,17;Loja Centro;2023-02
PC000005;Arrefecimento;01/03/2023;5;2684,17;Loja Centro;2023-03
PC000005;Arrefecimento;01/04/2023;5;2684,17;Loja Centro;2023-04
PC000005;Arrefecimento;01/05/2023;4;2147,33;Loja Centro;2023-05
PC000005;Arrefecimento;01/06/2023;4;2147,33;Loja Centro;2023-06
PC000005;Arrefecimento;01/07/2023;4;2147,33;Loja Centro;2023-07
PC000005;Arrefecimento;01/08/2023;4;2147,33;Loja Centro;2023-08
PC000005;Arrefecimento;01/09/2023;4;2147,33;Loja Centro;2023-09
PC000005;Arrefecimento;01/10/2023;5;2684,17;Loja Centro;2023-10
PC000005;Arrefecimento;01/11/2023;6;3221,0;Loja Centro;2023-11
PC000005;Arrefecimento;01/12/2023;6;3221,0;Loja Centro;2023-12
PC000005;Arrefecimento;01/01/2024;4;2147,33;Loja Centro;2024-01
PC000005;Arrefecimento;01/02/2024;5;2684,17;Loja Centro;2024-02
PC000005;Arrefecimento;01/03/2024;5;2684,17;Loja Centro;2024-03
PC000005;Arrefecimento;01/04/2024;4;2147,33;Loja Centro;2024-04
PC000005;Arrefecimento;01/05/2024;5;2684,17;Loja Centro;2024-05
PC000005;Arrefecimento;01/06/2024;5;2684,17;Loja Centro;2024-06
PC000005;Arrefecimento;01/07/2024;5;2684,17;Loja Centro;2024-07
PC000005;Arrefecimento;01/08/2024;4;2147,33;Loja Centro;2024-08
PC000005;Arrefecimento;01/09/2024;4;2147,33;Loja Centro;2024-09
PC000005;Arrefecimento;01/10/2024;4;2147,33;Loja Centro;2024-10
PC000005;Arrefecimento;01/11/2024;6;3221,0;Loja Centro;2024-11
PC000005;Arrefecimento;01/12/2024;7;3757,84;Loja Centro;2024-12
PC000005;Arrefecimento;01/01/2025;4;2147,33;Loja Centro;2025-01
PC000005;Arrefecimento;01/02/2025;5;2684,17;Loja Centro;2025-02
PC000005;Arrefecimento;01/03/2025;5;2684,17;Loja Centro;2025-03
PC000005;Arrefecimento;01/04/2025;5;2684,17;Loja Centro;2025-04
PC000005;Arrefecimento;01/05/2025;5;2684,17;Loja Centro;2025-05
PC000005;Arrefecimento;01/06/2025;4;2147,33;Loja Centro;2025-06
PC000005;Arrefecimento;01/07/2025;5;2684,17;Loja Centro;2025-07
PC000005;Arrefecimento;01/08/2025;4;2147,33;Loja Centro;2025-08
PC000005;Arrefecimento;01/09/2025;4;2147,33;Loja Centro;2025-09
PC000005;Arrefecimento;01/10/2025;4;2147,33;Loja Centro;2025-10
PC000005;Arrefecimento;01/11/2025;6;3221,0;Loja Centro;2025-11
PC000005;Arrefecimento;01/12/2025;8;4294,67;Loja Centro;2025-12
PC000005;Arrefecimento;01/01/2026;5;2684,17;Loja Centro;2026-01
PC000005;Arrefecimento;01/02/2026;5;2684,17;Loja Centro;2026-02
PC000005;Arrefecimento;01/03/2026;4;2147,33;Loja Centro;2026-03
PC000005;Arrefecimento;01/04/2026;4;2147,33;Loja Centro;2026-04
PC000005;Arrefecimento;01/05/2026;4;2147,33;Loja Centro;2026-05
PC000005;Arrefecimento;01/06/2026;5;2684,17;Loja Centro;2026-06
PC000005;Arrefecimento;01/07/2026;5;2684,17;Loja Centro;2026-07
PC000005;Arrefecimento;01/08/2026;4;2147,33;Loja Centro;2026-08
PC000006;Arrefecimento;01/09/2022;18;8628,39;Loja Centro;2022-09
PC000006;Arrefecimento;01/10/2022;17;8149,03;Loja Centro;2022-10
PC000006;Arrefecimento;01/11/2022;22;10545,81;Loja Centro;2022-11
