Produto;Categoria;Emissao;Quantidade;Vlr.Total;Filial;_periodo_val
PC000005;Arrefecimento;01/09/2022;6;3186,31;Loja Norte;2022-09
PC000005;Arrefecimento;01/10/2022;6;3186,31;Loja Norte;2022-10
PC000005;Arrefecimento;01/11/2022;8;4248,41;Loja Norte;2022-11
PC000005;Arrefecimento;01/12/2022;9;4779,46;Loja Norte;2022-12
PC000005;Arrefecimento;01/01/2023;6;3186,31;Loja Norte;2023-01
PC000005;Arrefecimento;01/02/2023;9;4779,46;Loja Norte;2023-02
PC000005;Arrefecimento;01/03/2023;7;3717,36;Loja Norte;2023-03
PC000005;Arrefecimento;01/04/2023;7;3717,36;Loja Norte;2023-04
PC000005;Arrefecimento;01/05/2023;7;3717,36;Loja Norte;2023-05
PC000005;Arrefecimento;01/06/2023;7;3717,36;Loja Norte;2023-06
PC000005;Arrefecimento;01/07/2023;6;3186,31;Loja Norte;2023-07
PC000005;Arrefecimento;01/08/2023;7;3717,36;Loja Norte;2023-08
PC000005;Arrefecimento;01/09/2023;6;3186,31;Loja Norte;2023-09
PC000005;Arrefecimento;01/10/2023;7;3717,36;Loja Norte;2023-10
PC000005;Arrefecimento;01/11/2023;10;5310,51;Loja Norte;2023-11
PC000005;Arrefecimento;01/12/2023;11;5841,56;Loja Norte;2023-12
PC000005;Arrefecimento;01/01/2024;8;4248,41;Loja Norte;2024-01
PC000005;Arrefecimento;01/02/2024;9;4779,46;Loja Norte;2024-02
PC000005;Arrefecimento;01/03/2024;7;3717,36;Loja Norte;2024-03
PC000005;Arrefecimento;01/04/2024;8;4248,41;Loja Norte;2024-04
PC000005;Arrefecimento;01/05/2024;8;4248,41;Loja Norte;2024-05
PC000005;Arrefecimento;01/06/2024;8;4248,41;Loja Norte;2024-06
PC000005;Arrefecimento;01/07/2024;7;3717,36;Loja Norte;2024-07
PC000005;Arrefecimento;01/08/2024;7;3717,36;Loja Norte;2024-08
PC000005;Arrefecimento;01/09/2024;7;3717,36;Loja Norte;2024-09
PC000005;Arrefecimento;01/10/2024;7;3717,36;Loja Norte;2024-10
PC000005;Arrefecimento;01/11/2024;10;5310,51;Loja Norte;2024-11
PC000005;Arrefecimento;01/12/2024;12;6372,61;Loja Norte;2024-12
PC000005;Arrefecimento;01/01/2025;7;3717,36;Loja Norte;2025-01
PC000005;Arrefecimento;01/02/2025;9;4779,46;Loja Norte;2025-02
PC000005;Arrefecimento;01/03/2025;7;3717,36;Loja Norte;2025-03
PC000005;Arrefecimento;01/04/2025;8;4248,41;Loja Norte;2025-04
PC000005;Arrefecimento;01/05/2025;8;4248,41;Loja Norte;2025-05
PC000005;Arrefecimento;01/06/2025;7;3717,36;Loja Norte;2025-06
PC000005;Arrefecimento;01/07/2025;8;4248,41;Loja Norte;2025-07
PC000005;Arrefecimento;01/08/2025;7;3717,36;Loja Norte;2025-08
PC000005;Arrefecimento;01/09/2025;8;4248,41;Loja Norte;2025-09
PC000005;Arrefecimento;01/10/2025;7;3717,36;Loja Norte;2025-10
PC000005;Arrefecimento;01/11/2025;10;5310,51;Loja Norte;2025-11
PC000005;Arrefecimento;01/12/2025;12;6372,61;Loja Norte;2025-12
PC000005;Arrefecimento;01/01/2026;8;4248,41;Loja Norte;2026-01
PC000005;Arrefecimento;01/02/2026;7;3717,36;Loja Norte;2026-02
PC000005;Arrefecimento;01/03/2026;9;4779,46;Loja Norte;2026-03
PC000005;Arrefecimento;01/04/2026;8;4248,41;Loja Norte;2026-04
PC000005;Arrefecimento;01/05/2026;7;3717,36;Loja Norte;2026-05
PC000005;Arrefecimento;01/06/2026;6;3186,31;Loja Norte;2026-06
PC000005;Arrefecimento;01/07/2026;6;3186,31;Loja Norte;2026-07
PC000005;Arrefecimento;01/08/2026;6;3186,31;Loja Norte;2026-08
PC000006;Arrefecimento;01/09/2022;7;3709,44;Loja Norte;2022-09
PC000006;Arrefecimento;01/10/2022;7;3709,44;Loja Norte;2022-10
PC000006;Arrefecimento;01/11/2022;11;5829,12;Loja Norte;2022-11
PC000006;Arrefecimento;01/12/2022;12;6359,04;Loja Norte;2022-12
PC000006;Arrefecimento;01/01/2023;9;4769,28;Loja Norte;2023-01
PC000006;Arrefecimento;01/02/2023;9;4769,28;Loja Norte;2023-02
PC000006;Arrefecimento;01/03/2023;9;4769,28;Loja Norte;2023-03
PC000006;Arrefecimento;01/04/2023;9;4769,28;Loja Norte;2023-04
PC000006;Arrefecimento;01/05/2023;9;4769,28;Loja Norte;2023-05
PC000006;Arrefecimento;01/06/2023;8;4239,36;Loja Norte;2023-06
PC000006;Arrefecimento;01/07/2023;8;4239,36;Loja Norte;2023-07
PC000006;Arrefecimento;01/08/2023;8;4239,36;Loja Norte;2023-08
PC000006;Arrefecimento;01/09/2023;8;4239,36;Loja Norte;2023-09
PC000006;Arrefecimento;01/10/2023;7;3709,44;Loja Norte;2023-10
PC000006;Arrefecimento;01/11/2023;9;4769,28;Loja Norte;2023-11
PC000006;Arrefecimento;01/12/2023;13;6888,96;Loja Norte;2023-12
PC000006;Arrefecimento;01/01/2024;8;4239,36;Loja Norte;2024-01
PC000006;Arrefecimento;01/02/2024;10;5299,2;Loja Norte;2024-02
PC000006;Arrefecimento;01/03/2024;10;5299,2;Loja Norte;2024-03
PC000006;Arrefecimento;01/04/2024;10;5299,2;Loja Norte;2024-04
PC000006;Arrefecimento;01/05/2024;8;4239,36;Loja Norte;2024-05
PC000006;Arrefecimento;01/06/2024;9;4769,28;Loja Norte;2024-06
PC000006;Arrefecimento;01/07/2024;8;4239,36;Loja Norte;2024-07
PC000006;Arrefecimento;01/08/2024;9;4769,28;Loja Norte;2024-08
PC000006;Arrefecimento;01/09/2024;9;4769,28;Loja Norte;2024-09
PC000006;Arrefecimento;01/10/2024;7;3709,44;Loja Norte;2024-10
PC000006;Arrefecimento;01/11/2024;10;5299,2;Loja Norte;2024-11
PC000006;Arrefecimento;01/12/2024;15;7948,8;Loja Norte;2024-12
PC000006;Arrefecimento;01/01/2025;8;4239,36;Loja Norte;2025-01
