Produto;Categoria;Emissao;Quantidade;Vlr.Total;Filial;_periodo_val
PC000005;Arrefecimento;01/09/2022;11;7587,79;Loja Sul;2022-09
PC000005;Arrefecimento;01/10/2022;11;7587,79;Loja Sul;2022-10
PC000005;Arrefecimento;01/11/2022;16;11036,78;Loja Sul;2022-11
PC000005;Arrefecimento;01/12/2022;19;13106,18;Loja Sul;2022-12
PC000005;Arrefecimento;01/01/2023;15;10346,98;Loja Sul;2023-01
PC000005;Arrefecimento;01/02/2023;15;10346,98;Loja Sul;2023-02
PC000005;Arrefecimento;01/03/2023;15;10346,98;Loja Sul;2023-03
PC000005;Arrefecimento;01/04/2023;14;9657,18;Loja Sul;2023-04
PC000005;Arrefecimento;01/05/2023;14;9657,18;Loja Sul;2023-05
PC000005;Arrefecimento;01/06/2023;11;7587,79;Loja Sul;2023-06
PC000005;Arrefecimento;01/07/2023;12;8277,58;Loja Sul;2023-07
PC000005;Arrefecimento;01/08/2023;11;7587,79;Loja Sul;2023-08
PC000005;Arrefecimento;01/09/2023;12;8277,58;Loja Sul;2023-09
PC000005;Arrefecimento;01/10/2023;11;7587,79;Loja Sul;2023-10
PC000005;Arrefecimento;01/11/2023;18;12416,38;Loja Sul;2023-11
PC000005;Arrefecimento;01/12/2023;23;15865,37;Loja Sul;2023-12
PC000005;Arrefecimento;01/01/2024;15;10346,98;Loja Sul;2024-01
PC000005;Arrefecimento;01/02/2024;16;11036,78;Loja Sul;2024-02
PC000005;Arrefecimento;01/03/2024;15;10346,98;Loja Sul;2024-03
PC000005;Arrefecimento;01/04/2024;13;8967,38;Loja Sul;2024-04
PC000005;Arrefecimento;01/05/2024;14;9657,18;Loja Sul;2024-05
PC000005;Arrefecimento;01/06/2024;16;11036,78;Loja Sul;2024-06
PC000005;Arrefecimento;01/07/2024;12;8277,58;Loja Sul;2024-07
PC000005;Arrefecimento;01/08/2024;14;9657,18;Loja Sul;2024-08
PC000005;Arrefecimento;01/09/2024;14;9657,18;Loja Sul;2024-09
PC000005;Arrefecimento;01/10/2024;13;8967,38;Loja Sul;2024-10
PC000005;Arrefecimento;01/11/2024;17;11726,58;Loja Sul;2024-11
PC000005;Arrefecimento;01/12/2024;20;13795,97;Loja Sul;2024-12
PC000005;Arrefecimento;01/01/2025;16;11036,78;Loja Sul;2025-01
PC000005;Arrefecimento;01/02/2025;13;8967,38;Loja Sul;2025-02
PC000005;Arrefecimento;01/03/2025;15;10346,98;Loja Sul;2025-03
PC000005;Arrefecimento;01/04/2025;13;8967,38;Loja Sul;2025-04
PC000005;Arrefecimento;01/05/2025;13;8967,38;Loja Sul;2025-05
PC000005;Arrefecimento;01/06/2025;15;10346,98;Loja Sul;2025-06
PC000005;Arrefecimento;01/07/2025;14;9657,18;Loja Sul;2025-07
PC000005;Arrefecimento;01/08/2025;12;8277,58;Loja Sul;2025-08
PC000005;Arrefecimento;01/09/2025;13;8967,38;Loja Sul;2025-09
PC000005;Arrefecimento;01/10/2025;12;8277,58;Loja Sul;2025-10
PC000005;Arrefecimento;01/11/2025;17;11726,58;Loja Sul;2025-11
PC000005;Arrefecimento;01/12/2025;19;13106,18;Loja Sul;2025-12
PC000005;Arrefecimento;01/01/2026;13;8967,38;Loja Sul;2026-01
PC000005;Arrefecimento;01/02/2026;17;11726,58;Loja Sul;2026-02
PC000005;Arrefecimento;01/03/2026;15;10346,98;Loja Sul;2026-03
PC000005;Arrefecimento;01/04/2026;14;9657,18;Loja Sul;2026-04
PC000005;Arrefecimento;01/05/2026;14;9657,18;Loja Sul;2026-05
PC000005;Arrefecimento;01/06/2026;13;8967,38;Loja Sul;2026-06
PC000005;Arrefecimento;01/07/2026;13;8967,38;Loja Sul;2026-07
PC000005;Arrefecimento;01/08/2026;13;8967,38;Loja Sul;2026-08
PC000006;Arrefecimento;01/09/2022;14;7360,16;Loja Sul;2022-09
PC000006;Arrefecimento;01/10/2022;13;6834,43;Loja Sul;2022-10
PC000006;Arrefecimento;01/11/2022;19;9988,78;Loja Sul;2022-11
PC000006;Arrefecimento;01/12/2022;19;9988,78;Loja Sul;2022-12
PC000006;Arrefecimento;01/01/2023;14;7360,16;Loja Sul;2023-01
PC000006;Arrefecimento;01/02/2023;12;6308,7;Loja Sul;2023-02
PC000006;Arrefecimento;01/03/2023;16;8411,61;Loja Sul;2023-03
PC000006;Arrefecimento;01/04/2023;16;8411,61;Loja Sul;2023-04
PC000006;Arrefecimento;01/05/2023;14;7360,16;Loja Sul;2023-05
PC000006;Arrefecimento;01/06/2023;14;7360,16;Loja Sul;2023-06
PC000006;Arrefecimento;01/07/2023;13;6834,43;Loja Sul;2023-07
PC000006;Arrefecimento;01/08/2023;13;6834,43;Loja Sul;2023-08
PC000006;Arrefecimento;01/09/2023;13;6834,43;Loja Sul;2023-09
PC000006;Arrefecimento;01/10/2023;15;7885,88;Loja Sul;2023-10
PC000006;Arrefecimento;01/11/2023;18;9463,06;Loja Sul;2023-11
PC000006;Arrefecimento;01/12/2023;23;12091,68;Loja Sul;2023-12
PC000006;Arrefecimento;01/01/2024;14;7360,16;Loja Sul;2024-01
PC000006;Arrefecimento;01/02/2024;15;7885,88;Loja Sul;2024-02
PC000006;Arrefecimento;01/03/2024;16;8411,61;Loja Sul;2024-03
PC000006;Arrefecimento;01/04/2024;14;7360,16;Loja Sul;2024-04
PC000006;Arrefecimento;01/05/2024;16;8411,61;Loja Sul;2024-05
PC000006;Arrefecimento;01/06/2024;14;7360,16;Loja Sul;2024-06
PC000006;Arrefecimento;01/07/2024;14;7360,16;Loja Sul;2024-07
