Vencimento;Valor
2026-08-03;70000,0
2026-08-10;70000,0
2026-08-24;108333,33
2026-09-03;70000,0
2026-09-07;65000,0
2026-09-10;70000,0
2026-09-21;76000,0
2026-09-24;108333,33
2026-10-03;70000,0
2026-10-05;77500,0
2026-10-07;65000,0
2026-10-10;70000,0
2026-10-19;49000,0
2026-10-21;76000,0
2026-10-24;108333,33
2026-11-03;70000,0
2026-11-05;77500,0
2026-11-07;65000,0
2026-11-09;58333,33
2026-11-10;70000,0
2026-11-19;49000,0
2026-11-21;76000,0
2026-11-24;108333,33
2026-12-03;70000,0
2026-12-05;77500,0
2026-12-09;58333,33
2026-12-19;49000,0
2026-12-21;76000,0
2026-12-24;108333,33
2027-01-03;70000,0
2027-01-05;77500,0
2027-01-09;58333,33
2027-01-19;49000,0
2027-01-21;76000,0
2027-01-24;108333,33
2027-02-19;49000,0
