Produto;EstoqueAtual;CustoUnitario;Fornecedor
PC000001;36,0;4242,13;Não informado
PC000002;43,0;4752,68;Não informado
PC000003;22,0;300,79;Não informado
PC000004;20,0;8285,64;Não informado
PC000005;108,0;2141,14;Não informado
PC000006;0,0;813,97;Não informado
PC000007;7,0;5705,8;Não informado
PC000008;17,0;80,57;Não informado
PC000009;26,0;762,63;Não informado
PC000010;112,0;817,15;Não informado
PC000011;17,0;670,95;Não informado
PC000012;82,0;156,93;Não informado
PC000013;4,0;5521,4;Não informado
PC000014;35,0;183,33;Não informado
PC000015;16,0;273,31;Não informado
PC000016;11,0;1385,75;Não informado
PC000017;7,0;4121,35;Não informado
PC000018;16,0;690,31;Não informado
PC000019;142,0;362,45;Não informado
PC000020;0,0;2941,33;Não informado
PC000021;224,0;82,8;Não informado
PC000022;9,0;1048,27;Não informado
PC000023;10,0;457,2;Não informado
PC000024;4,0;1285,27;Não informado
PC000025;2,0;4867,73;Não informado
PC000027;5,0;534,68;Não informado
PC000028;18,0;221,77;Não informado
PC000029;26,0;64,01;Não informado
PC000030;2,0;1227,62;Não informado
PC000031;0,0;263,71;Não informado
PC000032;4,0;586,0;Não informado
PC000033;2,0;112,91;Não informado
PC000034;8,0;776,19;Não informado
PC000035;21,0;914,49;Não informado
PC000036;4,0;1037,51;Não informado
PC000037;6,0;2062,53;Não informado
PC000038;3,0;240,32;Não informado
PC000039;4,0;687,52;Não informado
PC000040;5,0;16,41;Não informado
PC000041;2,0;18,41;Não informado
PC000043;9,0;193,59;Não informado
PC000044;1,0;346,08;Não informado
PC000045;4,0;1099,71;Não informado
PC000046;17,0;287,3;Não informado
PC000047;20,0;2817,85;Não informado
PC000048;56,0;386,1;Não informado
PC000049;14,0;91,57;Não informado
PC000050;6,0;108,51;Não informado
PC000051;5,0;249,59;Não informado
PC000052;33,0;911,19;Não informado
PC000053;113,0;565,17;Não informado
PC000054;55,0;253,52;Não informado
PC000055;23,0;813,7;Não informado
PC000056;583,0;769,69;Não informado
PC000057;124,0;1295,12;Não informado
PC000058;10,0;24,94;Não informado
PC000059;1,0;746,69;Não informado
PC000060;21,0;5013,71;Não informado
PC000061;6,0;169,71;Não informado
PC000062;11,0;1647,35;Não informado
PC000063;36,0;487,04;Não informado
PC000064;49,0;571,45;Não informado
PC000065;28,0;638,0;Não informado
PC000066;3,0;1077,47;Não informado
PC000067;112,0;122,92;Não informado
PC000068;14,0;2474,86;Não informado
PC000069;4,0;396,72;Não informado
PC000070;14,0;815,3;Não informado
PC000071;5,0;2118,7;Não informado
PC000072;1,0;505,31;Não informado
PC000073;39,0;256,31;Não informado
PC000074;7,0;1720,54;Não informado
PC000075;0,0;692,25;Não informado
PC000076;17,0;297,74;Não informado
PC000077;102,0;1327,3;Não informado
PC000078;30,0;1123,98;Não informado
PC000079;82,0;843,67;Não informado
PC000080;74,0;601,79;Não informado
PC000081;52,0;3712,71;Não informado
PC000082;4,0;402,34;Não informado
PC000083;1,0;805,35;Não informado
PC000084;4,0;5107,5;Não informado
PC000085;46,0;407,15;Não informado
PC000086;6,0;911,79;Não informado
PC000087;14,0;2117,67;Não informado
PC000088;8,0;5441,38;Não informado
PC000089;99,0;5248,06;Não informado
PC000090;3,0;4014,3;Não informado
PC000091;15,0;1211,36;Não informado
PC000092;23,0;205,3;Não informado
PC000093;6,0;326,71;Não informado
PC000094;64,0;158,54;Não informado
PC000095;18,0;546,32;Não informado
PC000096;4,0;62,79;Não informado
PC000097;3,0;60,27;Não informado
PC000098;16,0;227,68;Não informado
PC000099;6,0;1054,24;Não informado
PC000100;41,0;804,26;Não informado
PC000101;5,0;862,92;Não informado
PC000102;114,0;422,17;Não informado
PC000103;2,0;270,16;Não informado
PC000104;121,0;29,81;Não informado
PC000105;3,0;96,99;Não informado
PC000106;1,0;954,63;Não informado
PC000107;23,0;746,94;Não informado
PC000108;60,0;715,97;Não informado
PC000109;8,0;4311,91;Não informado
PC000110;318,0;1089,69;Não informado
PC000111;3,0;3186,77;Não informado
PC000112;1,0;933,36;Não informado
PC000113;7,0;126,68;Não informado
PC000114;1,0;54,4;Não informado
PC000116;28,0;614,57;Não informado
PC000117;28,0;412,62;Não informado
PC000118;56,0;115,38;Não informado
PC000120;12,0;1078,11;Não informado
PC000121;78,0;464,78;Não informado
PC000122;134,0;74,69;Não informado
PC000123;20,0;1809,71;Não informado
PC000124;123,0;6381,78;Não informado
PC000125;1,0;134,16;Não informado
PC000126;106,0;4846,44;Não informado
PC000127;6,0;437,76;Não informado
PC000128;54,0;489,21;Não informado
PC000129;1,0;2688,23;Não informado
PC000130;143,0;1940,12;Não informado
PC000131;112,0;178,14;Não informado
PC000132;18,0;2724,87;Não informado
PC000133;0,0;1662,5;Não informado
PC000134;84,0;618,97;Não informado
PC000135;12,0;1548,8;Não informado
PC000136;1,0;1338,63;Não informado
PC000137;2,0;430,45;Não informado
PC000138;2,0;1290,82;Não informado
PC000139;14,0;95,15;Não informado
PC000140;0,0;193,24;Não informado
PC000141;64,0;4432,31;Não informado
PC000142;15,0;199,2;Não informado
PC000143;6,0;1101,34;Não informado
PC000144;10,0;978,67;Não informado
PC000145;16,0;1804,66;Não informado
PC000146;52,0;845,29;Não informado
PC000147;2,0;91,29;Não informado
PC000148;20,0;3375,83;Não informado
PC000149;7,0;361,75;Não informado
PC000150;3,0;305,72;Não informado
PC000151;35,0;1158,78;Não informado
PC000152;10,0;3263,81;Não informado
PC000153;7,0;4978,03;Não informado
PC000154;80,0;1110,71;Não informado
PC000155;831,0;686,11;Não informado
PC000156;34,0;223,83;Não informado
PC000157;8,0;171,25;Não informado
PC000158;38,0;764,56;Não informado
PC000159;30,0;156,47;Não informado
PC000160;5,0;111,4;Não informado
PC000161;65,0;41,17;Não informado
