Produto;Descricao;Categoria;Emissao;Quantidade;Vlr.Unitario;Vlr.Total;Custo Total;Promocao
OFF-SU-10001343;Elite Scissors, High Speed;Office Supplies - Supplies;15/08/2014;2,0;22,53;45,06;39,66;0
OFF-AR-10000127;Newell 321;Office Supplies - Art;12/04/2014;8,0;2,62;20,99;18,63;1
TEC-AC-10003038;Kingston Digital DataTraveler 16GB USB 2.0;Technology - Accessories;12/10/2012;2,0;8,95;17,9;14,5;0
TEC-AC-10001341;Enermax Memory Card, USB;Technology - Accessories;13/06/2013;3,0;61,12;183,36;160,44;1
OFF-EN-10001977;Cameo Business Envelopes, Recycled;Office Supplies - Envelopes;14/09/2014;2,0;15,75;31,5;24,6;0
OFF-AVE-10003549;Avery Binding Machine, Recycled;Office Supplies - Binders;22/10/2013;2,0;49,2;98,4;56,1;0
OFF-BI-10004195;Wilson Jones Binding Machine, Clear;Office Supplies - Binders;15/08/2011;7,0;48,42;338,94;237,3;0
OFF-EN-10002003;Ames Clasp Envelope, Set of 50;Office Supplies - Envelopes;25/10/2014;2,0;7,2;14,4;8,22;0
FUR-CH-10002880;Global High-Back Leather Tilter, Burgundy;Furniture - Chairs;19/04/2013;4,0;86,09;344,37;437,84;1
TEC-PH-10004402;Cisco Headset, with Caller ID;Technology - Phones;16/05/2013;8,0;88,44;707,52;410,4;0
OFF-FA-10000585;OIC Bulk Pack Metal Binder Clips;Office Supplies - Fasteners;29/12/2014;4,0;3,49;13,96;7,54;0
OFF-ST-10001562;Fellowes Box, Industrial;Office Supplies - Storage;05/10/2012;3,0;20,16;60,48;57,51;0
OFF-SAN-10003285;Sanford Pens, Fluorescent;Office Supplies - Art;02/06/2011;2,0;4,94;9,89;17,82;1
OFF-BI-10003975;Cardinal Index Tab, Durable;Office Supplies - Binders;22/10/2014;4,0;3,05;12,19;12,24;1
FUR-SAU-10002255;Sauder Classic Bookcase, Pine;Furniture - Bookcases;14/08/2014;8,0;437,34;3498,72;2904,0;0
TEC-MA-10003198;Konica Phone, White;Technology - Machines;10/05/2011;1,0;71,91;71,91;54,99;1
OFF-AR-10000904;Sanford Sketch Pad, Blue;Office Supplies - Art;09/12/2011;6,0;30,32;181,92;172,92;0
OFF-AP-10003622;Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;Office Supplies - Appliances;03/08/2011;1,0;2,6;2,6;2,31;1
FUR-FU-10003694;Rubbermaid Clock, Duo Pack;Furniture - Furnishings;01/06/2012;3,0;33,48;100,44;84,42;0
TEC-NOK-10001283;Nokia Smart Phone, Full Size;Technology - Phones;30/03/2012;2,0;637,35;1274,7;1134,54;0
OFF-LA-10000436;Novimex File Folder Labels, 5000 Label Set;Office Supplies - Labels;23/05/2011;5,0;7,78;38,88;39,0;1
OFF-AR-10004825;BIC Canvas, Fluorescent;Office Supplies - Art;26/06/2011;1,0;54,96;54,96;35,73;0
FUR-CH-10004997;Hon Every-Day Series Multi-Task Chairs;Furniture - Chairs;17/11/2011;5,0;131,59;657,93;751,92;1
OFF-BI-10001266;Acco 3-Hole Punch, Economy;Office Supplies - Binders;28/05/2014;9,0;27,11;243,97;230,58;1
OFF-PA-10000994;Enermax Message Books, 8.5 x 11;Office Supplies - Paper;03/05/2013;5,0;10,66;53,28;53,3;1
OFF-SAN-10000931;SanDisk Message Books, 8.5 x 11;Office Supplies - Paper;20/09/2011;4,0;27,96;111,84;57,12;0
OFF-SU-10001442;Acme Scissors, Steel;Office Supplies - Supplies;23/08/2013;3,0;13,17;39,5;64,17;1
OFF-ST-10003305;Rogers Box, Blue;Office Supplies - Storage;09/09/2014;1,0;21,57;21,57;23,52;1
OFF-BI-10004970;"ACCOHIDE 3-Ring Binder, Blue, 1""";Office Supplies - Binders;15/11/2013;2,0;4,13;8,26;4,38;0
OFF-AR-10003113;Binney & Smith Pens, Blue;Office Supplies - Art;06/08/2014;3,0;11,94;35,82;20,79;0
FUR-HON-10001504;Hon Rocking Chair, Black;Furniture - Chairs;05/03/2014;6,0;51,28;307,66;477,0;1
OFF-BI-10003952;Acco Binding Machine, Recycled;Office Supplies - Binders;09/10/2012;2,0;34,3;68,6;41,88;0
TEC-AC-10002335;Logitech Media Keyboard K200;Technology - Accessories;14/10/2014;6,0;34,99;209,94;170,05;0
OFF-OIC-10004810;OIC Paper Clips, Metal;Office Supplies - Fasteners;09/03/2011;2,0;14,55;29,1;21,54;0
TEC-MOT-10004345;Motorola Office Telephone, Full Size;Technology - Phones;17/09/2013;6,0;29,22;175,32;298,08;1
OFF-ST-10003729;Tenex Box, Industrial;Office Supplies - Storage;04/03/2013;1,0;11,32;11,32;9,4;0
OFF-BI-10001362;Avery Binder, Clear;Office Supplies - Binders;10/05/2012;2,0;8,24;16,48;13,04;0
FUR-FU-10004848;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";Furniture - Furnishings;18/06/2014;3,0;51,75;155,25;108,68;0
OFF-AR-10002221;12 Colored Short Pencils;Office Supplies - Art;11/11/2014;3,0;2,6;7,8;5,69;0
OFF-STI-10004202;Stiletto Scissors, Steel;Office Supplies - Supplies;06/09/2012;4,0;23,01;92,04;71,88;0
OFF-SME-10001754;Smead File Folder Labels, 5000 Label Set;Office Supplies - Labels;21/10/2014;2,0;3,71;7,42;10,02;1
TEC-AC-10004708;Sony 32GB Class 10 Micro SDHC R40 Memory Card;Technology - Accessories;16/07/2014;2,0;20,95;41,9;33,1;0
OFF-SU-10003332;Elite Letter Opener, Steel;Office Supplies - Supplies;07/12/2011;2,0;21,6;43,2;28,32;1
OFF-FEL-10000070;Fellowes Box, Industrial;Office Supplies - Storage;18/01/2013;1,0;20,16;20,16;19,17;0
TEC-PH-10004093;Panasonic Kx-TS550;Technology - Phones;22/01/2013;4,0;27,59;110,38;130,61;1
FUR-OFF-10003104;Office Star Bag Chairs, Red;Furniture - Chairs;03/04/2013;1,0;16,63;16,63;44,37;1
OFF-ACC-10003788;Acco Hole Reinforcements, Clear;Office Supplies - Binders;04/02/2013;1,0;6,12;6,12;5,88;0
OFF-LA-10000220;Hon Removable Labels, Laser Printer Compatible;Office Supplies - Labels;03/12/2014;2,0;6,05;12,1;16,56;1
OFF-AR-10002747;Boston Canvas, Fluorescent;Office Supplies - Art;19/10/2014;2,0;54,9;109,8;65,88;0
OFF-ST-10002522;Tenex Folders, Blue;Office Supplies - Storage;16/08/2012;4,0;15,48;61,92;37,2;0
OFF-AR-10000584;Sanford Pencil Sharpener, Water Color;Office Supplies - Art;25/06/2014;3,0;14,5;43,52;77,49;1
OFF-ST-10004794;Rogers Shelving, Blue;Office Supplies - Storage;21/08/2014;4,0;62,13;248,52;144,24;0
OFF-PA-10004359;Xerox Computer Printout Paper, Premium;Office Supplies - Paper;02/01/2013;2,0;10,54;21,07;25,64;1
OFF-AP-10000415;KitchenAid Toaster, Red;Office Supplies - Appliances;07/04/2011;7,0;76,79;537,52;316,68;1
OFF-FIS-10003234;Fiskars Trimmer, Serrated;Office Supplies - Supplies;04/11/2014;2,0;39,0;78,0;68,64;0
OFF-LA-10002334;Smead Shipping Labels, Alphabetical;Office Supplies - Labels;21/11/2011;4,0;7,62;30,48;18,64;0
