Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
PROD1830 - PROD1830;2022-12-01 00:00:00;ExponentialSmoothing;15900,67;74410,78;78,6;-58510,11;30260,74
PROD1830 - PROD1830;2023-01-01 00:00:00;ExponentialSmoothing;14177,59;24498,53;42,1;-10320,94;30260,74
PROD1830 - PROD1830;2023-02-01 00:00:00;ExponentialSmoothing;54811,64;342517,37;84,0;-287705,73;30260,74
PROD1830 - PROD1830;2023-03-01 00:00:00;ExponentialSmoothing;30155,35;79277,54;62,0;-49122,19;30260,74
PROD885 - PROD885;2022-10-01 00:00:00;SARIMAX;58265,89;93238,94;37,5;-34973,05;28219,6
PROD885 - PROD885;2022-11-01 00:00:00;SARIMAX;66931,11;110582,65;39,5;-43651,54;28219,6
PROD885 - PROD885;2022-12-01 00:00:00;SARIMAX;107196,73;315162,71;66,0;-207965,98;28219,6
PROD885 - PROD885;2023-01-01 00:00:00;SARIMAX;64362,34;81593,22;21,1;-17230,88;28219,6
PROD885 - PROD885;2023-02-01 00:00:00;SARIMAX;72806,63;77692,79;6,3;-4886,16;28219,6
PROD885 - PROD885;2023-03-01 00:00:00;SARIMAX;81043,9;36794,02;120,3;44249,88;28219,6
PROD1158 - PROD1158;2022-10-01 00:00:00;LightGBM (pooled);55540,84;85688,14;35,2;-30147,3;19990,96
PROD1128 - PROD1128;2022-10-01 00:00:00;LightGBM (pooled);96931,81;77654,25;24,8;19277,56;17947,74
PROD1128 - PROD1128;2022-11-01 00:00:00;LightGBM (pooled);88360,31;57548,32;53,5;30811,99;17947,74
PROD1128 - PROD1128;2022-12-01 00:00:00;LightGBM (pooled);90117,55;249143,29;63,8;-159025,74;17947,74
PROD1128 - PROD1128;2023-01-01 00:00:00;LightGBM (pooled);117670,82;111548,34;5,5;6122,48;17947,74
PROD1128 - PROD1128;2023-02-01 00:00:00;LightGBM (pooled);100891,0;50030,5;101,7;50860,5;17947,74
PROD1128 - PROD1128;2023-03-01 00:00:00;LightGBM (pooled);86283,14;67063,98;28,7;19219,16;17947,74
PROD189 - PROD189;2022-11-01 00:00:00;Prophet;15256,41;635,59;2300,4;14620,82;10803,37
PROD300 - PROD300;2023-02-01 00:00:00;LightGBM (pooled);9837,03;948,73;936,9;8888,3;17404,95
PROD1919 - PROD1919;2022-10-01 00:00:00;ExponentialSmoothing;17323,67;3813,56;354,3;13510,11;13542,35
PROD1167 - PROD1167;2022-10-01 00:00:00;Holt;98561,66;85504,24;15,3;13057,42;14131,51
PROD1167 - PROD1167;2022-11-01 00:00:00;Holt;115618,98;27237,3;324,5;88381,68;14131,51
PROD1167 - PROD1167;2022-12-01 00:00:00;Holt;132591,03;81346,58;63,0;51244,45;14131,51
PROD1167 - PROD1167;2023-01-01 00:00:00;Holt;149478,21;68557,63;118,0;80920,58;14131,51
PROD1167 - PROD1167;2023-02-01 00:00:00;Holt;166280,95;449974,32;63,0;-283693,37;14131,51
PROD1167 - PROD1167;2023-03-01 00:00:00;Holt;182999,69;81227,12;125,3;101772,57;14131,51
PROD486 - PROD486;2022-10-01 00:00:00;Holt;24610,36;62577,54;60,7;-37967,18;12026,38
PROD486 - PROD486;2022-11-01 00:00:00;Holt;26143,78;48430,51;46,0;-22286,73;12026,38
PROD486 - PROD486;2022-12-01 00:00:00;Holt;27370,52;91758,46;70,2;-64387,94;12026,38
PROD486 - PROD486;2023-01-01 00:00:00;Holt;28351,92;7245,76;291,3;21106,16;12026,38
PROD486 - PROD486;2023-02-01 00:00:00;Holt;29137,03;2415,25;1106,4;26721,78;12026,38
PROD1588 - PROD1588;2023-03-01 00:00:00;LightGBM (pooled);102860,49;95326,7;7,9;7533,79;14479,95
PROD1341 - PROD1341;2023-03-01 00:00:00;LightGBM (pooled);26056,37;93887,22;72,2;-67830,85;13377,5
