Emissao;Produto;Descricao;Quantidade;Vlr.Unitario;Vlr.Total;Cliente
02/01/2019;PROD901;PROD901;1;621,53;621,53;189
02/01/2019;PROD1128;PROD1128;4;199,15;796,61;499
02/01/2019;PROD883;PROD883;4;207,63;830,51;499
02/01/2019;PROD885;PROD885;4;190,68;762,71;499
02/01/2019;PROD823;PROD823;4;152,54;610,17;66
02/01/2019;PROD248;PROD248;8;228,81;1830,51;375
02/01/2019;PROD1048;PROD1048;1;440,68;440,68;289
02/01/2019;PROD1919;PROD1919;1;198,31;198,31;506
02/01/2019;PROD823;PROD823;4;156,78;627,12;106
02/01/2019;PROD243;PROD243;4;178,56;714,24;236
02/01/2019;PROD192;PROD192;4;250,0;1000,0;375
02/01/2019;PROD192;PROD192;8;250,0;2000,0;375
02/01/2019;PROD1344;PROD1344;1;237,25;237,25;230
02/01/2019;PROD1741;PROD1741;4;266,75;1067,02;261
02/01/2019;PROD1158;PROD1158;4;250,0;1000,0;499
02/01/2019;PROD1824;PROD1824;4;207,63;830,51;80
02/01/2019;PROD1624;PROD1624;2;366,78;733,56;52
02/01/2019;PROD142;PROD142;1;283,9;283,9;80
02/01/2019;PROD252;PROD252;12;241,53;2898,31;15
02/01/2019;PROD152;PROD152;1;403,89;403,89;45
02/01/2019;PROD1646;PROD1646;4;189,19;756,78;15
02/01/2019;PROD381;PROD381;4;374,5;1498,0;426
02/01/2019;PROD967;PROD967;1;1041,25;1041,25;45
02/01/2019;PROD1801;PROD1801;1;323,9;323,9;426
02/01/2019;PROD978;PROD978;4;283,9;1135,59;80
02/01/2019;PROD1473;PROD1473;4;199,15;796,61;140
02/01/2019;PROD1825;PROD1825;2;183,81;367,63;213
02/01/2019;PROD882;PROD882;8;168,64;1349,15;290
02/01/2019;PROD1568;PROD1568;1;541,31;541,31;125
02/01/2019;PROD16;PROD16;4;204,25;816,98;126
03/01/2019;PROD1824;PROD1824;4;207,63;830,51;80
03/01/2019;PROD689;PROD689;1;760,09;760,09;80
03/01/2019;PROD873;PROD873;2;334,75;669,49;336
03/01/2019;PROD841;PROD841;2;630,51;1261,02;336
03/01/2019;PROD152;PROD152;4;403,39;1613,56;394
03/01/2019;PROD484;PROD484;2;156,78;313,56;261
03/01/2019;PROD692;PROD692;4;614,3;2457,19;230
03/01/2019;PROD53;PROD53;2;402,54;805,08;185
03/01/2019;PROD1730;PROD1730;2;704,81;1409,61;125
03/01/2019;PROD1782;PROD1782;4;763,25;3052,98;405
03/01/2019;PROD252;PROD252;1;254,24;254,24;80
03/01/2019;PROD63;PROD63;4;168,64;674,58;80
03/01/2019;PROD1451;PROD1451;4;411,02;1644,07;143
03/01/2019;PROD923;PROD923;1;656,33;656,33;79
03/01/2019;PROD1205;PROD1205;4;553,09;2212,37;230
03/01/2019;PROD1695;PROD1695;1;338,97;338,97;230
03/01/2019;PROD1283;PROD1283;1;301,74;301,74;207
03/01/2019;PROD975;PROD975;8;233,05;1864,41;423
04/01/2019;PROD945;PROD945;1;1955,3;1955,3;230
04/01/2019;PROD227;PROD227;2;338,98;677,97;175
04/01/2019;PROD484;PROD484;20;152,54;3050,85;57
04/01/2019;PROD1744;PROD1744;4;247,47;989,9;350
04/01/2019;PROD757;PROD757;2;507,31;1014,63;230
04/01/2019;PROD192;PROD192;4;250,0;1000,0;494
04/01/2019;PROD1915;PROD1915;4;216,1;864,41;254
04/01/2019;PROD926;PROD926;12;140,68;1688,14;57
04/01/2019;PROD115;PROD115;4;572,03;2288,14;129
04/01/2019;PROD44;PROD44;4;205,93;823,73;45
04/01/2019;PROD1576;PROD1576;1;365,05;365,05;50
04/01/2019;PROD1589;PROD1589;1;496,31;496,31;79
04/01/2019;PROD188;PROD188;2;338,98;677,97;175
04/01/2019;PROD1741;PROD1741;4;228,81;915,25;134
05/01/2019;PROD13;PROD13;2;372,03;744,07;140
05/01/2019;PROD1296;PROD1296;16;334,75;5355,93;211
05/01/2019;PROD1684;PROD1684;4;199,15;796,61;218
05/01/2019;PROD1919;PROD1919;1;198,31;198,31;474
05/01/2019;PROD1296;PROD1296;4;334,75;1338,98;336
05/01/2019;PROD484;PROD484;4;165,25;661,02;261
05/01/2019;PROD1935;PROD1935;1;361,02;361,02;230
05/01/2019;PROD1938;PROD1938;4;449,15;1796,61;72
05/01/2019;PROD374;PROD374;2;172,63;345,25;25
05/01/2019;PROD1624;PROD1624;2;386,08;772,17;61
05/01/2019;PROD882;PROD882;4;168,64;674,58;405
05/01/2019;PROD1296;PROD1296;8;334,75;2677,97;413
07/01/2019;PROD1205;PROD1205;4;559,25;2237,02;162
07/01/2019;PROD1741;PROD1741;2;228,81;457,63;424
07/01/2019;PROD926;PROD926;2;152,54;305,08;424
07/01/2019;PROD1064;PROD1064;4;479,33;1917,32;272
07/01/2019;PROD1296;PROD1296;7;334,75;2343,22;458
07/01/2019;PROD112;PROD112;4;509,73;2038,92;272
07/01/2019;PROD1830;PROD1830;1;216,95;216,95;267
07/01/2019;PROD692;PROD692;4;654,88;2619,53;230
07/01/2019;PROD18;PROD18;4;688,98;2755,93;267
07/01/2019;PROD1684;PROD1684;8;199,15;1593,22;502
07/01/2019;PROD199;PROD199;4;381,36;1525,42;54
07/01/2019;PROD1852;PROD1852;4;369,58;1478,31;426
07/01/2019;PROD98;PROD98;2;479,91;959,81;230
07/01/2019;PROD1824;PROD1824;6;207,63;1245,76;353
07/01/2019;PROD1172;PROD1172;4;316,86;1267,46;254
07/01/2019;PROD902;PROD902;4;175,42;701,69;424
07/01/2019;PROD1381;PROD1381;1;700,74;700,74;117
07/01/2019;PROD1296;PROD1296;6;328,05;1968,31;447
07/01/2019;PROD1806;PROD1806;1;1338,98;1338,98;133
07/01/2019;PROD1125;PROD1125;1;330,51;330,51;290
07/01/2019;PROD59;PROD59;2;220,34;440,68;494
07/01/2019;PROD1751;PROD1751;4;245,31;981,26;122
07/01/2019;PROD692;PROD692;4;1292,2;5168,78;122
07/01/2019;PROD1214;PROD1214;2;323,57;647,14;122
07/01/2019;PROD1008;PROD1008;4;936,44;3745,76;330
08/01/2019;PROD82;PROD82;4;161,02;644,07;260
08/01/2019;PROD1649;PROD1649;4;186,44;745,76;140
08/01/2019;PROD1919;PROD1919;8;198,31;1586,44;317
08/01/2019;PROD77;PROD77;2;148,31;296,61;80
08/01/2019;PROD86;PROD86;4;259,75;1039,02;230
08/01/2019;PROD1684;PROD1684;4;199,15;796,61;272
08/01/2019;PROD873;PROD873;1;342,16;342,16;230
08/01/2019;PROD1830;PROD1830;4;228,81;915,25;317
08/01/2019;PROD1087;PROD1087;2;312,09;624,19;494
08/01/2019;PROD733;PROD733;1;503,8;503,8;79
08/01/2019;PROD1919;PROD1919;4;198,31;793,22;424
08/01/2019;PROD1841;PROD1841;2;292,17;584,34;494
08/01/2019;PROD1026;PROD1026;3;258,79;776,36;189
08/01/2019;PROD934;PROD934;1;819,16;819,16;189
08/01/2019;PROD247;PROD247;12;169,49;2033,9;15
08/01/2019;PROD247;PROD247;8;182,2;1457,63;329
08/01/2019;PROD1205;PROD1205;2;576,92;1153,83;423
08/01/2019;PROD151;PROD151;1;289,08;289,08;230
08/01/2019;PROD1757;PROD1757;2;522,88;1045,76;336
08/01/2019;PROD1684;PROD1684;4;199,15;796,61;94
08/01/2019;PROD1294;PROD1294;4;245,76;983,05;336
09/01/2019;PROD1684;PROD1684;8;199,15;1593,22;502
09/01/2019;PROD882;PROD882;4;173,73;694,92;482
09/01/2019;PROD143;PROD143;4;388,03;1552,1;345
09/01/2019;PROD1283;PROD1283;1;295,7;295,7;426
09/01/2019;PROD1826;PROD1826;2;502,9;1005,8;350
09/01/2019;PROD1684;PROD1684;4;199,15;796,61;185
09/01/2019;PROD902;PROD902;4;175,42;701,69;80
