Produto;Mes;Modelo;Previsto;Real;Erro %;Bias;MediaHistorica
1EUFVBCBCRCZZZG - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   G;2024-12-01 00:00:00;Ensemble;30832,35;39473,95;21,9;-8641,6;18048,04
1EUFVBCBCRCZZZG - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   G;2025-01-01 00:00:00;Ensemble;24851,17;29144,94;14,7;-4293,77;18048,04
1EUFVBCBCRCZZZG - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   G;2025-02-01 00:00:00;Ensemble;30925,18;30567,42;1,2;357,76;18048,04
1EUFVBCBCRCZZZG - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   G;2025-03-01 00:00:00;Ensemble;31548,97;41701,1;24,3;-10152,13;18048,04
1EUFVBCBCRCZZZG - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   G;2025-04-01 00:00:00;Ensemble;33087,24;34658,0;4,5;-1570,76;18048,04
1EUFVBCBCRCZZZG - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   G;2025-05-01 00:00:00;Ensemble;28258,15;19082,08;48,1;9176,07;18048,04
1EUFVBCBCRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   M;2024-12-01 00:00:00;Ensemble;20139,46;31467,7;36,0;-11328,24;17176,11
1EUFVBCBCRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   M;2025-01-01 00:00:00;Ensemble;20173,17;33037,46;38,9;-12864,29;17176,11
1EUFVBCBCRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   M;2025-02-01 00:00:00;Ensemble;21128,28;25655,78;17,6;-4527,5;17176,11
1EUFVBCBCRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   M;2025-03-01 00:00:00;Ensemble;23031,23;39935,15;42,3;-16903,92;17176,11
1EUFVBCBCRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   M;2025-04-01 00:00:00;Ensemble;23469,37;24581,8;4,5;-1112,43;17176,11
1EUFVBCBCRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO C/ REFLETIVO TAM   M;2025-05-01 00:00:00;Ensemble;20566,55;19665,29;4,6;901,26;17176,11
0ELVDKNISPAZZZG - LUVA DESCARPACK NITRILICA DESC.AZUL   G S/PO C/100 CA 44052/43653/31410/44049;2024-12-01 00:00:00;ARIMA;11638,85;16807,7;30,8;-5168,85;12951,38
0ELVDKNISPAZZZG - LUVA DESCARPACK NITRILICA DESC.AZUL   G S/PO C/100 CA 44052/43653/31410/44049;2025-01-01 00:00:00;ARIMA;11046,26;3925,02;181,4;7121,24;12951,38
0ELVDKNISPAZZZG - LUVA DESCARPACK NITRILICA DESC.AZUL   G S/PO C/100 CA 44052/43653/31410/44049;2025-02-01 00:00:00;ARIMA;10999,46;1185,6;827,8;9813,86;12951,38
1EUFVBCBSRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO S/ REFLETIVO TAM   M;2024-12-01 00:00:00;LightGBM (pooled);5681,17;7236,09;21,5;-1554,92;12623,19
1EUFVBCBSRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO S/ REFLETIVO TAM   M;2025-01-01 00:00:00;LightGBM (pooled);8558,49;9118,67;6,1;-560,18;12623,19
1EUFVBCBSRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO S/ REFLETIVO TAM   M;2025-02-01 00:00:00;LightGBM (pooled);7442,26;9462,67;21,4;-2020,41;12623,19
1EUFVBCBSRCZZZM - CALCA BRIM CINZA 1/2 ELASTICO S/ REFLETIVO TAM   M;2025-03-01 00:00:00;LightGBM (pooled);6724,75;4235,76;58,8;2488,99;12623,19
